Open, Close, High, Low, Volume
66.77,66.08,67.075,66.06,2898119
66.21,66.34,66.85,65.47,2725113
65.83,65.65,66.69,65.39,2528473
65.73,64.82,65.94,64.28,2908497
64.81,64.71,65.63,63.95,2983602
64.64,64.87,66.57,64.48,3568080
64.62,64.25,65.31,63.41,4781154
64.58,61.93,65.37,61.7,5595516
61.51,60.81,61.72,59.96,1937958
60.92,62.97,63.01,59.96,4409179
62.35,62.65,62.66,60.89,3668030
62.7,63.21,63.75,62.61,3727323
63.32,63.405,63.625,62.41,1982332
62.87,65.2,65.31,62.5492,3246767
64.55,65.12,66.24,64.11,2954656
65.88,67.54,67.56,65.55,3927583
67.37,68.505,68.61,67.01,2579752
68.67,67.915,69,67.37,4630633
68.65,67.63,68.67,67.12,3986840
67.44,68,68.86,67.22,2778282
67.83,68.975,69.06,67.4,3731216
68.41,67.925,68.54,67.42,1982998
67.81,66.95,68.56,66.7,4356883
67.51,66.62,67.61,66.38,2633358
66.72,66.18,66.75,65.64,2489317
67.11,66.93,68.05,66.37,3440291
66.75,66.68,67.19,66.2,1968842
66.8,67.765,67.8,66.57,1609086
67.72,68.61,68.66,67.22,2402732
68.93,68.445,69.27,68.2,3447842
67.87,67.555,68.49,67.06,1982118
67.66,67.715,67.94,66.63,2015442
67.74,68.295,68.69,67.09,1993393
68.41,69.71,70.12,68.03,4576298
69.46,69.6,69.78,69.08,2757955
69.41,69.36,69.63,68.88,1397011
69.7,66.85,69.7,66.82,4353620
66.8,66.87,67.2972,66.54,3196945
68,68.39,68.42,65.56,5253519
67.64,68.385,68.47,66.95,3687660
68.17,68.4,69.18,68,2102179
69,69.61,69.67,68.5,2258259
69.61,69.045,69.96,68.86,4004186
69.1,70.44,70.45,69.01,1883371
70.65,72.03,72.06,70.43,5116827
72.46,72.77,73.08,72.17,3747810
72.57,73.41,73.76,72.39,4150097
73.8,73.2,74.06,72.97,2205921
73.37,73.06,73.53,72.62,1985392
71.44,72.53,72.965,71.2538,2685928
72.13,72.1425,72.51,71.77,2457035
72.08,72.22,72.7,71.92,2279073
72.39,72.33,72.6,71.7774,1542067
72.24,71.65,72.34,71.28,2207711
71.75,71.42,71.98,71.28,1480586
71.41,70.78,71.6,69.99,4094249
70.62,71.34,71.38,70.52,1829609
70.93,70.65,71.25,70.18,2951746
70.83,71.44,71.58,70.41,2006055
71.47,71.7,72.13,71.25,2342827
72.12,72.27,72.48,71.68,1792782
72.25,72.35,72.44,71.94,1226294
72.76,73.43,73.5,72.1,2677469
73.28,73.67,73.91,72.9507,2342696
74,72.58,74.06,72.41,3509055
72.8,72.05,72.93,72.01,2783817
72.08,72.27,72.74,71.99,1756076
71.93,71.9,72.47,71.81,2851680
71.85,72.32,72.41,71.64,1557391
