Open, Close, High, Low, Volume
134,132.59,134.17,131.851,852454
133.23,134.89,135.345,132.91,1963627
135.6,135.23,137.29,134.69,1079522
136.01,135.54,136.61,134.93,812420
136.45,135.26,136.45,134.8,615445
135.88,134.44,136.2,131.44,578998
134.7,134.41,134.86,133.91,559274
134.9,134.77,135.6099,134.16,316234
134.93,134.755,135.14,134.29,630787
135.25,135.66,135.7,134.79,466949
136.02,135.66,136.49,135.28,476689
136.3,131.99,136.3,131.46,1491310
131.435,132.39,132.78,131.435,875111
133.18,132.4,133.751,132.36,830418
132.58,132.15,132.58,131.37,700028
132.16,131.42,132.4,131.1,889750
132.57,132.46,134.19,132.2,1615465
132.5,132.11,133.02,131.82,824628
132.09,132.33,132.875,131.66,665911
133.05,134.7,134.99,132.03,1371702
135.1,135.51,136.03,134.42,1080477
136.6,136.83,137.4,135.53,1176649
137,137.35,137.7,136.18,1089760
137.76,137.83,137.99,136.69,1106240
137.46,139.33,139.33,137.3191,2203198
144.34,146.23,146.96,142.79,3600859
147.62,147.66,148.05,146.27,1682447
147.43,148.49,148.88,146.95,1414061
149.4,149.37,150.1899,148.26,1658590
149.52,148.965,149.69,148.5552,1321925
148.69,148.73,150.42,148,1666876
148.31,149.92,150.18,147.72,1071694
149.68,149.99,150.48,148.8,1083309
149.69,147.9,150.55,147.81,1464370
146.63,141.5,147.88,139.57,2239376
136.63,140.86,141.21,136.33,2632193
140.08,142.15,143.9372,139.96,2010296
141.52,135.02,141.98,134.91,1933391
136,137.08,138.15,132.76,2625034
137.27,138.14,139.17,136.08,1398146
137.64,138.56,138.82,136.72,784244
137.63,140.64,140.88,137.63,1391986
141.95,140.87,142.24,139.905,809986
140.93,141.15,141.88,140.44,930128
140.48,139.02,140.8,138.39,999594
139.28,138.53,140.92,138.52,925546
138.68,137.66,139.9899,137.35,1144282
138.3,139.73,139.85,137.57,991059
140.21,142.58,143.4,140.21,1133565
143.13,141.54,143.41,141.08,1259235
141.97,138.93,142.77,138.89,770753
139.4,138.85,139.94,137.18,1628776
138.41,137.87,138.81,136.76,1370523
138.02,139.57,140.38,137.7,1125218
140.13,141.4,141.53,139.3,1056392
140.45,138.87,140.715,137.53,1200328
138.92,139.64,139.86,138.2,995835
140.2,142.28,142.43,139.83,910667
142.79,141.49,143.25,140.9,828606
142.29,140.69,142.61,140.51,885516
141.68,139.52,141.68,139.01,894425
140.24,140.48,141.82,139.38,827986
140.15,141.3,142.1,140.03,2308280
141.29,140.05,141.29,139.56,828259
140.64,141.51,142.12,140.18,630209
141.56,141.06,142.64,140.4,732985
140.01,138.18,140.63,138.09,1257807
138.39,134.9,138.65,134.77,1105122
136.57,138.25,138.39,136.17,799257
139.18,136.73,139.18,135.93,933749
137.12,138.8,139.34,136.49,1142251
139.48,138.88,139.97,138.4699,787930
138.52,134.89,138.73,132.89,1298722
135.4,136.96,137.28,134.84,966379
135.02,138.61,138.81,134.54,920559
139.2,139.29,140.03,138.05,792839
138.55,137.23,139.54,136.43,1212814
137.76,137.23,139.12,136.47,740132
138.7,137.84,139.26,137.12,913764
135.8,136.59,137.13,135.64,603903
137.35,137.31,138.33,136.73,695820
138.49,136.3,138.61,135.6,703159
137.55,137.52,138.32,136.3,920061
138.465,137.35,138.99,137.01,876823
137.77,136.48,137.92,135.18,1000012
135.75,136.6,137.52,135.645,1004789
136.86,136.89,137.84,135.85,943851
137.09,137.25,137.68,136.03,1031782
132.14,132.88,133.93,130.79,2357725
131.91,132.21,133.28,131.39,1375346
132.34,132.93,133.33,131.5,1195826
132.34,133.21,133.775,131.95,852967
133.88,131.58,134.35,131.48,1044472
131.56,131.08,131.56,129.7,915473
130.51,128.3,130.79,127.23,1605371
127.41,127.33,127.81,125.15,1702441
126.71,129.69,130.44,126.52,1110144
129.64,128.99,129.8344,128.77,892306
128.98,128.64,129.63,127.89,860602
129.39,129.76,130.21,128.58,815533
129.94,130.87,131.15,129.44,691546
130.99,131.25,132.09,130.61,734131
131.51,130,131.77,129.72,901042
129.2,129.88,130.35,128.84,1176683
129.83,130.16,130.54,129.52,575608
130,130.74,130.83,129.68,508094
130.76,129.83,130.7698,129.52,708210
130.71,131.13,131.96,130.02,640164
131.13,131.44,132.06,130.57,482288
131.1,130.88,131.24,130.11,603738
130.77,130.66,130.8799,129.34,569859
130.65,131.06,131.4799,130.11,610233
129.89,128.21,130.16,127.51,1081589
129.18,130.17,130.72,128.91,820947
129.91,128.56,129.935,127.71,924688
129.84,129.27,129.98,128.71,658556
129.94,129.69,130.51,129.52,748048
129.26,129.11,129.52,128.08,769933
129.9,128.77,130.48,127.61,1602642
128.37,129.78,130.08,127.64,927192
129.99,131.31,131.64,129.55,937097
131.34,130.48,131.53,130.44,566880
130.51,129.59,130.89,129.1,553508
130.03,129.73,130.82,129.23,693212
129.94,128.9,130.08,128.75,749622
128.06,129.37,129.43,127.76,2100647
128.05,127.6,128.25,126.74,1005679
126.54,128.16,128.35,126.54,770417
128.8,125.01,128.83,124.91,942867
124.37,123.47,124.94,122.83,1103729
124.2,124.4,125.31,123.675,797132
124.31,123.73,124.92,122.46,1079514
123.83,122.6,124.4016,122.53,748279
122.53,121.34,123.47,121.29,682214
121.04,122.44,122.825,120.74,859140
122.49,122.36,124.02,122.1,754329
122.08,122.36,122.45,121.395,663850
123.07,122.8,124.05,122.64,453159
123.43,122.59,123.49,121.81,579477
122.61,123.16,123.8,121.82,553551
123.84,125.4,125.6,123.54,629853
125.59,125.87,126.14,125.39,885620
125.36,125.06,125.67,124.53,811792
126.43,126,126.43,125.111,859143
126.17,126.62,126.79,125.4568,614274
127.01,128.19,128.23,126.62,718666
128.58,128.77,129.445,127.87,953387
128.83,130.02,130.46,128.34,915598
127,125.17,127.5,124.61,2205645
124.86,125.2,126.13,124.335,1397139
125.55,124.24,125.55,123.58,1202018
124.74,124.75,125.39,123.94,1466507
124.77,126.27,126.43,123.98,1590495
127.25,129.5,130.12,126.4935,1673792
129.94,130.73,131.63,129.71,1561567
130.52,131.11,131.975,130.13,1076887
131.28,130.14,131.42,129.77,1059310
130.03,128.97,130.45,128.91,1007791
128.06,128.32,128.86,127,1178332
128.14,129.69,129.7,127.73,1474831
129.72,130,130.52,129.6,764742
130.51,129.94,131.13,129.78,534797
129.87,129.21,129.87,129.11,945137
129.1,129.56,130.12,128.61,589238
128.73,128.86,129.16,127.61,621981
128.69,128.04,129.3534,127.61,618572
127.96,127.53,128.32,126.68,759775
127.12,128.77,129.09,126.92,862189
129.26,130.34,130.965,129.1441,893389
130.17,130.41,130.81,129.61,623750
130.75,131.43,131.64,130.5,684962
131.22,131.7,132.26,130.93,664015
131.88,129.43,131.88,129.26,676537
129.5,129.5,129.87,128.94,628882
130.06,130.51,130.68,129.85,822680
131.81,131.88,132.33,131.34,826557
132.05,132.28,132.77,132.05,739073
132.58,132.66,133.251,131.94,659351
132.55,131.65,132.64,131.1,914671
131.42,131.61,131.72,130.67,555419
131.71,132.11,132.24,131.01,707919
132.02,132.59,133.31,132.02,755734
132.43,132.57,133.4,132.09,830864
131.54,130.1,132.11,129.97,888304
129.39,127.62,129.55,126.93,1335832
126.52,127.83,128.31,125.71,1030445
127.87,126.88,128.2,126.3,1273540
128.5,128.82,129.41,127.738,961605
129,130.01,130.12,128.68,754893
130.22,129.9,130.6,129.59,618224
130,131.42,131.74,129.5042,969972
131.67,132.51,133.5,131.3719,892241
133.33,134.16,134.61,133.1,1026104
