Open, Close, High, Low, Volume
92.85,94.53,95.98,92.72,6830705
94.34,90.51,94.91,89.54,8471057
90.77,90.12,91.38,89.2,7900691
90.45,90.41,93.32,89.87,11149665
90,87.88,90.55,87.76,4839216
88.8,93,93.03,87.7,6232364
91.36,93.79,93.8,90.55,4768929
94.06,93.75,95.75,93.08,4096120
94.51,94.05,95.18,93.74,2929921
92.76,94.32,95.25,92.46,5199247
91.97,89.12,92.79,88.84,9510054
89.93,92.88,93.38,89.47,5634078
92.8,94.59,95.2185,92.36,4173101
95.26,94.35,95.64,93.03,4925013
95.05,96.185,96.49,94.72,6016426
95.76,97.74,97.94,95.474,4571956
97.03,98.565,99.07,96.8098,4027816
97.31,96.46,97.82,95.99,4244093
96.99,97.61,98.04,96.64,3931610
97.68,97.23,98.11,97.03,3671596
96.12,97.5,98.44,95.85,5914090
98.44,99.125,99.98,97.94,6220562
98.43,96.415,98.43,95.82,8457309
96.87,95.515,97.37,94.81,8054174
97.96,102.16,102.51,97.8,12589183
102.82,104.43,104.87,102.72,9682206
101.88,102.8501,104.1256,101.76,6182805
102.86,101.52,103.47,101.435,5409903
101.68,102.0599,102.625,100.18,5593738
101.02,100.685,101.79,100.17,6821575
100.55,101.88,102.04,100.26,4532115
101.98,101.73,102.34,101.07,4667131
102.21,102.25,102.4,100.98,4706952
104.26,106.5299,106.89,104.05,8653256
105.1,103.845,105.58,103.14,5932111
102.45,104.365,104.81,102.1408,4406240
105.23,104.72,105.45,104.25,3438786
105.93,106.39,106.58,105.75,4268328
106.79,107.18,108.12,106.66,4773328
106.78,107.04,108.39,106.425,3100359
107.83,107.56,107.87,106.69,3063174
107.11,107.305,107.89,106.61,2449915
107.72,107.99,108.46,107.24,3003557
106.97,106.64,107.75,106.2,3194949
107.9,107.3,108.38,106.645,3636559
109,108.25,109.49,107.83,3791382
108.15,107.29,108.17,106.83,2891198
106.42,105.71,106.42,104.71,3581086
105.18,105.81,105.84,104.81,3483728
106.86,106.76,107.09,105.78,3150711
107.46,107.4,108.13,106,2653056
107.67,106.56,107.79,106.52,2810876
106.6,105.41,106.75,105.26,3063064
104.34,104.93,105.72,103.68,4747911
103.69,104.84,105.11,103.35,4720735
105.16,106.45,106.9,104.995,2314139
106.85,106.53,107.05,105.76,2492000
107.16,107.6,108.29,106.66,2896136
107.26,107.15,107.68,105.97,4287381
109.76,110.66,110.8,109.58,4791826
110.05,109.82,111.14,108.92,3650294
110.58,110.09,110.8,109.545,2834300
110.14,109.64,110.9,109.03,2923753
110.01,112.19,112.98,109.95,4716163
111.72,109.69,112.41,109.53,3065805
108.13,107.14,109.22,106.26,4722953
108.28,108.34,108.75,107.39,2399775
108.39,105.96,108.83,105.4483,4081402
105.99,104.91,106.4,103.63,4845927
106.05,106.07,106.63,105.355,3042556
107.99,108.63,108.96,106.93,2994334
108.97,110.29,110.43,108.18,5991762
111.88,112.75,114.145,111.4,6323564
112.38,113.22,114.27,112.36,3539462
113.81,113.62,114.12,113.31,2470394
113.8,115.22,115.42,113.32,3809730
114.55,113.95,114.665,113.25,3717831
113.88,114.91,115.19,113.54,2318695
115.06,114.88,115.425,114.13,2176272
115.78,116.76,117.03,115.78,3818196
116.61,115.08,117.365,114.02,3556402
115.84,116.38,116.85,115.63,3495953
116.97,115.6,117.85,114.91,5672668
116.18,115.49,116.18,115.13,3893422
114.53,114.98,115.15,113.65,3204968
115.4,116.37,116.53,114.5201,5178976
115,118.41,119.32,114.85,11738181
117.84,117.175,118.42,115.65,4649321
116,117.21,117.25,115.31,2929935
116.73,116.7,117.34,116,2797280
116.88,117.825,118.37,116.66,3534508
118.06,116.3,118.92,116.2,2901794
116.4,117.46,118.5699,116.28,3830815
117.46,117.46,117.97,116.11,2765798
114.12,115.87,116,113.5,3234285
114,113.93,114.43,112.25,5106168
112.82,112.57,114.75,112.48,4167067
110.63,112.13,112.84,110.2,4432370
111.86,112.61,113.13,109.36,3646036
109.17,107.07,110.35,106.73,6644394
108.21,109.04,109.85,107.88,3359417
108,110.28,110.865,107.71,3536439
108.93,109.21,110.63,108.104,3940882
108.18,106.79,109.48,106.11,6196036
103.09,104.73,105.89,103.09,6312372
106.9,107.02,108,106.27,4215734
106.59,106.77,107.89,106.35,2810543
105.78,105.83,105.99,104.35,4044910
106.53,105.03,107.49,104.92,2449202
105.89,103.18,105.95,103.15,3390582
102.66,104.08,104.9,101.57,4258656
104.48,105.45,106.1,104.13,2941923
104.32,104.3,106.12,104.05,3246803
105.04,105.15,106.98,104.59,3910209
107.16,109.13,109.25,106.35,4051451
110,109.45,110.29,107.78,3456666
109.51,110.19,110.67,108.79,3348248
111.14,111.19,111.83,110.59,3492877
111.76,112.63,113.51,111,3722254
114.31,112.93,114.34,111.97,2959626
112.48,110.33,112.7924,109.98,3408054
110.76,111.185,111.36,110.32,5476738
106.84,107.28,109.05,106.8,11060806
107.3,106.72,108.0042,106.55,2722325
108.3,111.04,111.57,107.58,4252517
