Open, Close, High, Low, Volume
51.08,51.02,51.99,50.81,1454616
51.23,49.97,51.27,49.94,1200923
49.37,49.47,50.15,49.19,1898437
49.44,48.8,49.95,48.44,2047622
49.4,48.95,49.85,48.56,1465566
48.75,47.19,49.83,47.13,2365653
46.85,45.73,47.43,45.155,2990604
45.63,45.48,46.42,45.16,3194440
44.88,44.16,45.07,43.783,1014822
44.5,45.28,45.32,43.27,2725125
44.64,45.9,45.9,44.28,2060267
46.12,45.63,46.33,45.5,1856474
45.81,45.68,46.2,45.46,1361339
45.27,46.02,46.44,44.93,1200172
45.7,45.06,46.05,44.73,1505178
45.71,46.86,47.01,45.67,1792892
46.76,46.41,47.11,46.18,1601267
46.9,47.46,47.71,46.79,1402128
47.55,47.295,48,47.21,1481953
46.88,47.91,47.95,46.62,1150075
47.64,47.98,48.13,47.25,930343
47.6,48.03,48.265,47.49,1594635
48.18,48.12,48.649,47.82,1669043
48.15,48.0559,48.3,47.2,2021710
47.64,48.575,48.835,47.52,2019260
49.12,49.34,49.69,49.07,1234494
48.94,48.26,49.15,48.085,1717771
48.97,49.16,49.76,48.62,2519724
52.83,51.895,53.5,51.86,5079951
52.69,52.58,52.94,51.8,3197640
52.07,52.845,52.86,51.56,2026065
52.8,52.7,53.58,52.645,1502511
53.21,53.45,53.92,52.36,1700860
53.3,53.22,53.49,52.8,1460149
53.4,53.455,53.71,53.075,1166277
53.57,53.63,53.91,53.43,1439839
53.72,54.32,54.38,53.25,1590938
54.33,54.16,54.685,54.04,1180446
53.62,52.99,53.94,52.63,1441549
52.75,52.495,53.09,52.275,1358486
52.76,52.82,53.2425,52.41,1496123
53.26,53.89,53.99,53.23,1005477
54.12,54.56,54.67,54.02,1347667
54.29,54.05,54.53,54.02,1386112
54.53,54.77,54.88,54.25,985036
54.97,54.69,55.15,54.48,941590
54.98,55.06,55.14,54.72,697486
55.47,55.02,55.64,54.875,1087812
54.92,54.48,55.285,54.48,1089277
54.46,54.73,54.88,54.02,975175
