Open, Close, High, Low, Volume
18.5,19,19.44,18.33,7684468
18.75,18.41,19.2,18.25,6629583
18.56,18.8,19.14,18.28,5491720
18.64,18.11,19.09,17.83,6759340
18.07,17.68,18.28,17.46,7382058
17.77,16.96,17.95,16.85,7360861
16.74,16.76,17.36,16.57,2509120
16.79,17.82,17.84,16.52,3656810
17.58,17.91,17.91,17.1,4025507
17.95,17.53,18.05,17.42,2546807
17.64,17.585,17.925,17.54,3036635
17.44,17.85,18.045,17.16,2841901
17.64,17.4,17.88,17.11,3596108
17.6,18.15,18.25,17.57,3056132
18.22,18.66,18.83,17.99,2718802
18.71,18.875,19.02,18.57,3809578
18.9,19.245,19.38,18.82,2833114
18.81,19.19,19.32,18.58,2862804
19.21,19.585,19.87,19.08,4138388
19.52,19.685,19.84,19.41,2848327
19.7,19.73,19.88,19.5,4434522
19.75,19.6,20.05,19.565,2059453
19.53,20.05,20.1,19.4,3326988
20.22,20.48,20.49,19.995,4332340
20.96,20.425,21.08,20.36,6656927
20.58,20.315,20.64,20.13,2460232
20.28,20.78,20.78,20.18,3386558
20.96,21.425,21.435,20.78,3157660
21.25,21.335,21.52,21.05,3268248
21.29,20.8701,21.29,20.81,2849738
21.03,20.9,21.05,20.81,3265571
20.92,20.705,20.94,20.5,3735350
20.69,20.615,20.87,20.5,3039983
20.6,20.675,20.87,20.57,3859874
20.95,20.865,21.14,20.82,4422061
20.87,20.73,20.91,20.35,3257192
20.55,20.335,20.6,20.18,7116329
20.32,20.74,20.78,20.32,7860655
20.89,20.75,21.16,20.63,7419319
20.18,22.19,22.55,19.75,27879275
22.55,21.825,22.88,21.67,11592964
21.63,21.845,22.045,21.54,6862068
22.03,21.165,22.235,20.945,8162671
21.05,21.385,21.52,20.93,4797343
21.4,21.28,21.5,21.09,3178326
21.36,21.42,21.76,20.86,5454256
21.48,21.68,21.79,21.41,3168018
21.97,21.8,22.2,21.75,3542189
21.75,21.72,21.86,21.51,3744548
21.8,22.53,22.675,21.79,5127535
22.52,22.55,23.08,22.41,4216480
22.91,22.88,23.405,22.58,5261785
22.85,22.27,23.02,22.23,3239084
22.38,22.31,22.46,22.19,2542553
22.28,21.75,22.33,21.67,3678735
21.74,21.66,21.97,21.54,3436339
21.42,21.47,21.56,21.22,3035442
21.5,22.04,22.09,21.46,4870813
21.95,21.83,22.03,21.25,6595104
21.88,22.08,22.28,21.67,3419365
22.11,22.35,22.37,22.01,3291444
22.38,22.215,22.69,22.135,2624289
22.26,22.35,22.4274,21.94,2527527
22.37,22.15,22.46,22.07,1905151
22.12,21.38,22.21,21.36,3064713
21.37,21.7,21.74,21.2925,1957487
21.5,20.73,21.62,20.7,3434876
20.6,20.87,20.955,20.45,2439615
21.05,20.87,21.25,20.79,2535253
20.89,20.99,21.07,20.71,1982552
21.28,21.28,21.59,21.155,3077556
21.43,21.14,21.595,21.07,3129790
21.28,21.09,21.43,20.955,1913282
21.07,21.34,21.435,20.94,3470809
21.46,21.39,21.6765,21.32,2622376
21.42,22.02,22.04,21.42,2620327
22.02,21.83,22.15,21.65,2709791
21.74,21.74,21.86,21.485,2567189
21.62,20.73,21.65,20.56,6266336
21.15,21.37,21.51,21.03,4204128
21.43,21.4,21.69,21.26,2444732
21.54,21.88,21.9,21.47,2476234
21.92,21.91,22.15,21.82,2826652
21.97,21.8,21.99,21.68,2984236
21.79,21.93,22.22,21.695,2214659
21.83,22.16,22.36,21.74,3300100
22.06,21.94,22.18,21.82,2178590
22.03,22.38,22.49,22.03,2241347
22.44,22.83,22.98,22.27,3395611
22.8,22.47,22.86,22.39,3169106
22.59,22.8,22.82,22.39,2350980
22.88,22.86,23.09,22.77,2655671
22.83,23.1,23.17,22.79,5234241
23.16,22.03,23.3,21.98,7710693
23.96,22.82,24.1,22.56,15933618
22.82,22.74,23.01,22.31,5651248
22.28,22.33,22.415,21.84,4070690
22.11,21.885,22.435,21.65,4953442
21.81,22.28,22.505,21.73,3065741
22.22,22.11,22.295,21.67,4346313
22.04,21.79,22.08,21.4,4892531
21.32,20.95,21.35,20.835,4859160
21,21.64,21.68,20.9,3676710
21.53,21.36,21.72,21.34,3760044
21.44,21.88,22.05,21.41,3403325
22.6,23.63,23.71,22.41,13631744
23.4,23.75,23.81,23.1,6921199
23.76,23.86,23.92,23.355,3949583
23.72,24.26,24.305,23.58,4842046
24.05,23.45,24.16,23.35,4912234
23.44,23.53,23.66,23.225,2924707
23.65,23.53,24.02,23.53,2839666
23.35,22.78,23.4,22.57,5032570
22.65,22.94,23.15,22.42,2857123
22.62,22.81,23.07,22.61,3008448
