Open, Close, High, Low, Volume
63.62,63.75,64.47,63.26,4058045
64.12,64.5603,64.76,63.71,2987466
64.83,64.42,64.99,64.33,2350672
65.33,65.9,66.27,65.0401,3753775
66.17,67.28,67.625,66.15,3754101
67.44,67.26,67.48,67.11,1833866
66.94,67.36,67.72,66.481,2065639
67.62,67.11,67.62,66.6101,2395282
67.12,67.54,67.57,66.88,2135708
67.68,67.41,67.99,67.37,2616997
67.9,68.945,69.01,67.38,2743477
68.94,68.5,69.37,67.82,3576405
68.69,69.25,69.3652,67.64,3050076
69.4,69.35,69.4,68.77,2109439
69.37,68.51,69.37,68.01,3454779
68.5,68.49,69.76,68.39,2618819
70.62,73.07,73.151,70.45,7767249
73.615,76.45,77.09,73.25,5691105
76.74,78.39,78.84,76.48,3621050
78.35,77.47,79,76.8,2741536
77.53,76.59,77.61,76.48,2422575
76.6,76.3,77.1,75.991,2492518
76.82,76.49,76.84,75.8,2209973
76.6,76.88,76.88,75.5,2323323
77.1,77.97,78.21,76.4,3439005
71.43,69.05,72,68.07,23999235
69.355,66.07,69.4,65.8,15375005
66.33,66.56,66.77,65.44,5654263
66.22,65.78,66.75,65.46,4191778
66.26,66.99,67.52,65.78,6460978
67.74,67.83,69.09,67.32,5060565
67.22,67.11,67.95,66.23,4105572
66.63,65.68,66.89,65.48,3492385
65,63.4,65.44,63.2811,4355957
62.16,63.95,64.22,61.96,3696099
63.84,65.37,66.5783,63.75,4709329
65.17,63.38,65.67,63.33,3522789
64.24,62.98,64.52,60.44,5256780
63.33,64.13,64.83,62.97,2603057
63.83,65.7,65.75,63.66,2537845
65.4,65.685,66.32,65.16,2263341
66,66.74,66.755,65.64,3165894
67.05,66.52,67.51,66.51,2148381
66.1,66.59,66.72,65.78,1953993
66.39,67,68.52,66.36,2664658
67.5,66.71,67.7272,66.45,1873101
67.01,67.57,67.6801,66.74,2149378
68.26,69.26,69.48,68.25,3698096
69,67.83,69.4,67.79,2437844
68,67.8,68.61,67.33,2330772
67.78,67.53,69.34,67.0239,3292471
66.87,67.5,67.69,65.67,2544308
66.82,67.21,67.92,66.41,2267761
67.21,67.52,67.81,66.29,1984190
66.81,67.815,67.91,66.531,2108960
68.32,69.87,70.55,68.05,4509338
70.5,71.53,71.6399,69.73,4315608
71.82,71.99,72.1,70.4,2863401
72.87,72.59,73.41,72.47,3940635
72.35,70.74,73.24,70.44,3288253
70.98,70.13,71.42,69.93,2726619
70.42,70.85,71.45,70.1,2284945
71.03,70.13,71.1,69.51,1728715
70.43,70.48,70.96,70.075,1187784
69.12,69.94,70.635,68.81,2108618
69.46,68.45,70.4901,68.44,2734289
68.75,67.37,68.98,67.33,2010038
68.39,68.48,68.68,67.32,1856586
68.72,68.2,69.91,67.81,2239204
68.37,67.9,68.6898,67.23,2306333
68.07,69.47,70.04,68.07,2207420
69.12,66.75,69.3,65.6,2893188
67.16,69.25,69.61,67.07,3012479
68.25,70.02,70.13,67.94,2090295
70.23,70.69,71.21,69.8648,2123330
70.29,68.64,70.5548,68,2290180
69.28,68.48,69.73,68.28,2467870
69.26,67.58,69.5,66.58,4424110
67.02,64.87,67.87,64.795,4421648
65.76,66.12,66.88,65.32,4031294
66.72,66.53,67.32,66.13,2176774
66.75,67.3,68.18,66.71,2139018
67.74,67.34,68.24,66.75,3772679
69.5,70.58,72.1,67.63,8453391
70.62,70.23,71.19,69.13,5458553
70.42,71.75,72.6,70.42,4995430
72.18,70.33,72.25,69.71,2613434
70.65,68.95,70.83,67.715,3110528
68.71,68.5,68.88,67.14,2863770
67.36,66.61,67.36,65.45,4457809
66.84,67.87,68.23,66.84,1915834
67.85,67.53,68.78,67.44,1968696
67.59,68.38,68.44,67.07,1568890
68.16,67.92,69.35,67.8,2383279
67.92,67.52,67.92,66.53,1814676
67.15,68.32,68.84,67.15,1749670
68.48,67.51,68.67,66.98,1600215
67.66,67.69,69.2,67.24,2124622
67.28,65.8,67.59,65.5748,3671588
65.85,66.01,66.52,65.57,2248359
66.11,66.92,67.195,66.11,2419557
67.34,66.64,67.6,66.14,2247282
66.55,68.04,68.3575,66.1,2637269
68.03,69.75,70.14,67.72,2485510
69.75,69.48,70.39,69.315,2080669
68.94,68.41,69.64,68.4,2249091
69.01,70.07,70.66,68.92,2199621
70.6,70,71.41,69.71,2673047
69.75,69.54,69.89,68.87,1306169
69.62,70.47,70.67,69.45,1545106
70.76,71.69,72.74,70.645,3160475
70.99,69.51,71.52,69.04,1900273
69.58,69.8,69.86,68.985,2153497
69.96,69.58,70.53,69.2,1602177
70,69.23,70.44,69.1,1769100
69.36,69.99,70.495,69.36,1943867
69.72,69.31,69.92,68.57,1735659
68.14,70.36,70.53,67.93,2118599
70.2,69.54,70.21,68.92,2274546
69.37,69.98,70.15,69.07,1918825
70.83,72.14,73.29,70.56,3281014
72.4,72.405,72.745,71.42,1985511
72.87,72.51,73.52,72.38,1476097
73,73.04,74.04,72.63,1945559
72.97,73.88,74,72.28,3223402
73.34,74.58,74.75,72.75,2087485
73.8,73.01,74.25,72.38,1633300
73.12,74.06,74.61,72.83,1406395
73.78,74.43,75.44,73.78,1388264
74.19,72.93,75.53,72.795,1965404
72.8,71.33,72.8,70.82,2574090
71.39,71.03,71.77,70.57,1457333
71.08,69.59,71.23,69.53,1726707
69.68,69.45,69.8222,68.49,1677949
69.76,69.73,70.37,69.64,1540914
69.4,70.91,70.99,69.21,1456444
69.78,70.14,70.97,69.4,1027140
70.55,70.93,71.1625,70.42,1473551
71.01,70.97,71.37,70.565,1565735
71.23,71.79,72.19,70.69,1753578
71.77,71.285,71.77,70.25,2135706
70.4,68.87,70.7,67.94,5146933
69.53,71.05,71.34,68.86,3407648
70.93,72.11,72.24,70.93,2002463
72.33,72.26,72.751,71.52,2939788
72.21,72.66,73.175,71.98,3360446
75.6,79.02,79.49,75.56,13412396
80,80.58,80.92,79.31,7824357
80.55,80.9,81.55,80.22,3765829
80.77,81.59,81.91,80.42,2534956
81.75,80.03,81.8,79.55,2799253
80.4,80.57,81.01,79.94,2826405
80.45,81.24,82.04,80.13,3138635
81.03,80,81.78,79.6,2675482
79.62,80.08,80.9199,79.5,2164539
80.26,80.4,81.055,80.07,1707585
80.77,80.09,81.26,79.83,2243830
79.2,80.84,80.93,78.7,1923908
80.89,81.31,81.64,80.54,1525862
81.27,81.82,82.26,81.04,1477765
82.32,82.32,82.8452,82.02,1372139
82.64,82.79,83.45,82.41,1123589
82.91,82.75,83.6625,82.49,1239578
82.25,81.72,82.33,80.65,1726267
81.81,81.2,82.18,80.72,998718
81.05,81.44,82.44,81.04,1187084
81.26,81.86,82.005,80.35,1872609
81.84,81.9,82.74,81.04,1633935
81.69,82,82.21,81.52,1175863
82.41,85.22,85.33,82.13,4493138
85.47,85.62,86.6,85.08,2440655
85.23,84.52,85.46,84.365,821771
84.6,84.74,85.59,84.36,961266
84.49,85.14,85.52,83.71,1064028
85.7,85.93,86.32,85.57,1069385
86.04,86.815,87.37,85.89,2085274
86.99,87.11,87.44,86.4,1316477
86.86,86.92,87.59,86.51,1452191
86.9,87.42,87.67,86.67,1685578
87.84,88.29,88.84,87.66,1970591
88.64,88.21,89.075,86.26,2688750
88.16,87.13,88.44,86.5,1718613
87.01,87.68,89.48,86.5,1714289
87.68,88.09,88.45,87.15,2129955
87.96,89.13,89.35,87.8319,1566285
88.9,87.79,89.21,87.44,1568095
87.98,89.59,90.2,87.83,2308584
89.74,90.32,90.48,89.49,1835360
90.5,90.16,91.389,89.94,1282942
89.34,90.11,90.53,88.65,1356162
90.02,89.36,90.61,89.18,1355202
89.84,89.1367,89.9244,88.91,1709149
89.57,89.93,90.25,87.11,2551262
89.83,87.82,89.83,87.0299,2429123
87.83,87.93,88.04,86.8205,1420770
88.85,88.97,89.46,88.46,1437613
88.93,88.34,89.99,88.24,1503051
88.33,89.05,89.34,88.29,1406665
89.29,87.63,89.58,87.52,1724523
87.24,86.705,87.44,85.84,2320280
87.02,87.4,87.92,86.82,1396129
87.32,86.03,87.76,85.52,2190950
86.12,84.14,86.75,84.02,3144176
84.07,83.67,84.49,82.37,2094728
83.71,81.41,84.41,81.28,3133181
82.8,78.92,82.8,78.87,3910392
81.09,80.13,81.98,78.93,3730097
81.3,80.17,81.47,79.3283,1866367
80.4,81.34,81.95,80.1,2502607
81.6,83.54,84.21,81.23,3589058
88.02,88.5,89.48,86.16,8066925
89,87.09,89.61,86.52,3838106
87.26,87.43,88.83,87.02,3502737
87.84,88.61,89.23,87.34,1960580
87.02,86.28,87.61,84.435,3987880
86.07,82.12,86.71,81.92,3950513
82.69,85.61,86.27,82.48,2977629
84.1,84.62,85.58,82.84,2439405
85.98,84.99,86.95,83.92,2356293
84.38,85.86,86.25,84.38,3110258
87.25,85.51,87.7,85.37,2021424
85.62,88.04,88.47,85.62,2435630
88.45,88.7,90.28,88.005,2169140
88.98,89.46,89.82,88.28,1647377
90,89.64,90.25,88.83,1775744
90.22,92.15,92.33,89.65,3302389
92.09,92.56,92.85,91.53,1910193
92.41,92.34,93.6,91.74,2107263
92.36,91.2,92.69,91.03,2105858
91.63,92.61,93.38,91.63,2494881
93.03,91.78,93.47,91.38,2078348
91.4,91.96,92.66,89.02,3525743
91.84,92.27,92.6158,90.07,2528375
92.32,92.09,92.95,91.16,2349984
91.2,91.76,92.79,90.45,2989216
91.92,92.87,93.38,91.82,2547000
93.27,94.9,95.075,92.79,2535526
95.56,91.75,95.81,91.73,3102431
92.37,93.36,94.1929,92.1283,3723921
94.11,94.48,94.72,93.42,2341345
94.04,95.09,95.45,94.03,2969861
94.9,96.71,96.8,94.9,2737367
97.67,96.48,97.85,95.96,2117536
95.03,91.93,95.53,90.54,4439813
90.94,93.02,93.23,90.1685,2803714
92.24,88.2,92.65,87.61,4102216
88.05,88.57,89.87,87.07,2403320
89.49,88.14,89.65,87.53,3514001
88.92,89.62,90.295,88.35,1960509
89.63,87.45,90.15,86.23,3062591
86.58,87.755,89.85,86.58,2187724
87.88,86.2,88.15,85.92,3076941
87.17,87.79,88.88,87.17,2817314
87.78,86.36,88.69,85.39,2013750
86.28,84.41,86.89,83.26,3410753
84.04,81.64,85.5,81.25,4986673
80.91,79.13,81.26,79.05,2900574
79.85,83.81,83.98,79.85,3487177
82.82,83.04,83.5093,79.44,3093040
83.54,83.14,84.74,82.63,1867719
83.74,83.37,84.61,82.92,1811778
81.69,84.2,84.25,81.41,2022162
83.26,80.05,83.26,78.38,4481003
80.88,82.57,83.95,80.77,2934405
82.57,83.36,83.92,81.45,2072577
83.3,82.395,84.62,81.89,2906523
81.23,83.75,83.92,81.23,3737917
80.73,81.33,81.79,77.39,6427183
80.68,80.0599,80.97,79.23,3196191
79.28,79.7,80.39,78.68,3171621
80.59,81.2,82.1,80.0024,4819350
86.85,86.275,87.75,85.56,9598882
86.65,86.74,87.26,85.53,3272434
87.14,85.56,87.19,85.55,3228718
85.37,83.075,85.41,82.89,2481068
83.7,82.84,84.9593,82.63,2343669
84.5,84.05,85.69,83.715,2587976
84.7,84.125,85.17,83.55,3054061
83.17,84.51,85.2,83.1,1938501
84.7,85.61,85.76,84.6,1929230
85.9,87.47,87.965,85.545,1974369
87.56,87.305,88.15,86.785,1838980
