Open, Close, High, Low, Volume
41.26,41.89,42.13,41.26,2514010
41.78,42.01,42.09,41.71,1365392
42.05,40.71,42.36,40.59,2486681
40.93,41.23,41.53,40.91,1843924
41.49,41.17,41.84,40.97,2501533
41.22,41.09,41.64,40.72,2188655
41.21,40.61,42.28,40.6,3072297
40.61,38.51,40.8,38.485,1095399
38.57,39.51,39.51,38.14,1613354
39.26,39.52,39.53,38.34,1916833
39.88,39.4,40.12,39.05,1802416
39.47,39.51,39.63,38.94,1437633
39.24,38.36,39.24,38.18,1306189
38.37,38.55,39.11,38.37,1289380
38.65,38.5,39.05,38.39,1851399
38.57,38.555,38.94,38.36,2032609
38.71,39.42,39.53,38.61,1032361
39.33,39.09,39.33,38.74,842976
39.04,40.015,40.02,38.94,1235400
39.99,40.075,40.2,39.82,1300112
40.05,40.15,40.37,39.86,789107
40.19,40.83,40.88,40.19,949170
40.77,41.275,41.41,40.605,1157710
41.2,41.505,41.6,41.2,842859
41.56,41.63,41.72,41.31,957790
41.68,41.79,41.92,41.39,1134377
41.88,41.92,42,41.68,840556
41.88,41.9,42.05,41.55,575227
42.03,42.38,42.425,42,762885
42.38,42.93,43.13,42.2725,1643455
43.06,43.205,43.36,42.95,1427373
43.14,43.63,43.69,43.14,1496160
43.45,43.815,43.88,42.99,2104142
43.9,43.385,44.07,42.66,1149808
43.35,43.88,43.88,43.04,853499
43.81,44.12,44.13,43.48,936477
44.04,44.03,44.14,43.83,691087
43.95,44.5,44.57,43.78,949208
44.39,44.58,44.63,44.29,1616130
44.57,44.53,44.84,44.46,1087484
44.53,44.225,44.53,43.99,1321335
43.98,44.7,44.74,43.78,1184690
44.66,44.69,44.82,44.44,1060239
44.98,44.65,44.98,44.48,1289345
44.7,44.32,44.7,43.85,1282515
44.15,44.74,44.795,44.02,1445219
44.83,44.88,45.06,44.59,1341781
44.99,44.54,44.99,44.51,983008
44.68,44.61,44.72,44.405,1336401
44.47,44.36,44.56,43.85,1358229
44.35,44.42,45.01,44.2,1701796
44.38,44.31,44.43,43.79,1655628
44.49,44.75,44.87,44.24,1696593
44.75,44.9,45.11,44.71,1242651
44.96,44.67,45.165,44.66,1268722
44.77,44.66,45.21,44.505,1061158
44.68,44.89,45.01,44.48,1081476
44.76,44.9,45.09,44.5,1262020
45.01,44.99,45.1,44.785,1790014
45.09,45.14,45.27,44.98,1407914
45.26,45.32,45.38,45.02,1017099
45.21,45.13,45.3242,45.02,855183
45,44.61,45.31,44.4,1060566
44.67,44.53,44.74,44.375,687404
44.59,44.51,44.825,44.2,926229
44.46,45.12,45.27,44.44,1010376
45.24,44.98,45.78,44.94,2022438
45.06,45.06,45.24,44.73,837457
45.14,45.42,45.42,45.06,892613
45.5,45.32,45.51,45.06,927060
45.5,45.49,45.53,45.14,761713
45.49,45.44,45.7,45.14,1505797
45.39,45.26,45.45,44.62,747788
45.35,45.7,45.77,44.9,1168763
45.57,45.75,45.84,45.29,1772238
45.81,45.43,45.81,45.13,853236
45.38,45.62,45.63,45.19,864719
45.3,45.1,45.42,44.86,691347
45.12,45.13,45.24,44.94,815840
45.33,45.36,45.41,45.07,985811
45.43,45.48,45.71,45.305,1390192
45.33,45.81,45.81,45.01,1221786
45.84,45.71,45.92,45.53,694302
45.73,44.48,45.78,44.3,1021407
44.56,43.71,44.56,43.55,917717
43.71,44.23,44.27,43.59,864969
44.1,43.51,44.2,43.04,858063
43.72,44.11,44.265,43.59,623689
44.54,44.46,44.85,44.27,783495
44.43,44.68,44.85,44.18,672724
44.98,45.03,45.15,44.72,609529
44.93,44.41,45.07,44.36,581861
44.35,44.91,45.1,44.224,1014706
44.93,44.48,45.51,44.08,1460493
44.61,44.27,45.07,44.1,1301002
44.36,44.46,44.665,44.13,715506
44.27,44.37,44.5,44.01,917308
44.39,43.55,44.39,43.21,667220
43.62,43.61,44.03,43.58,962408
43.61,43.71,43.8,43.27,586815
43.71,44.39,44.485,43.71,538214
44.12,44.38,44.46,44.02,622165
44.38,44.36,44.68,44.32,623871
44.41,44.63,44.82,44.2,523670
44.53,44.86,44.94,44.49,825758
44.69,44.87,44.88,44.47,957092
44.92,44.32,44.95,44.055,738211
44.43,44.61,44.83,44.43,628390
44.68,44.93,45.01,44.51,749286
44.9,45.12,45.13,44.72,1326123
45.2,45.31,45.46,45.16,845082
45.54,44.93,45.63,44.93,916194
44.92,44.12,44.96,43.98,1249474
44.17,44.22,44.55,44.02,873925
44.13,44.78,44.945,44.01,972019
44.96,45.01,45.09,44.51,997069
44.96,44.62,44.96,44.07,826364
44.93,45.875,45.88,44.71,809803
45.99,46.1,46.23,45.67,689873
46.35,46.14,46.57,46.1,509729
46.33,46.09,46.33,45.71,528458
46.07,46.04,46.22,45.515,781995
46.08,46.11,46.43,45.93,958387
46.1,46.35,46.37,46.07,661222
46.38,46.45,46.63,46.23,594927
46.63,46.74,47.08,46.58,945412
47.01,46.32,47.1,46.07,779126
46.13,46.5,46.67,45.97,992102
46.56,46.56,46.94,46.52,993607
46.06,45.67,46.2,45.29,1971707
45.77,45.5,45.98,45.35,1310957
45.72,45.1,46.02,45.09,1448279
45.02,44.15,45.04,43.94,1208898
44.48,44.56,44.86,44.32,1098006
44.65,44.89,45.22,44.55,1480910
45.21,45.1,45.245,44.22,1257773
45.25,45.66,46.07,45.17,1409118
45.69,46.24,46.33,45.61,652028
45.91,46,46.155,45.09,557847
46.04,46.47,46.57,46.04,1102015
46.21,46.64,46.7,46.06,1291945
46.72,46.91,47,46.44,1283621
46.83,46.5,46.91,46.23,837660
46.52,46.26,46.52,46.19,870951
46.34,46.3,46.54,46.1,1207730
46.28,46.44,46.47,46.03,918721
46.5,46.24,46.67,45.795,986061
46.18,46.35,46.49,45.82,853891
46.46,45.43,46.51,45.41,1086580
45.47,45.3,45.61,45.15,966416
45.36,45.78,45.835,45.07,1059788
45.91,45.65,45.91,45.37,694174
45.7,45.91,45.98,45.35,798945
46.03,46.09,46.3,45.88,819490
46.23,46.56,46.98,46.23,931074
46.54,46.57,47.15,46.27,929715
46.55,46.05,47.39,45.79,1761720
46.18,46.06,46.37,45.44,1751919
46.1,46.25,46.54,45.91,777954
46.22,44.8,46.22,44.45,1484187
45,46.33,46.34,44.87,1808056
46.15,46.32,46.82,45.55,1697954
46.3,46.73,46.87,45.96,1326440
46.53,47.12,47.13,46.33,1455574
47.11,47.49,47.73,47.02,901750
47.07,46.55,47.07,46.17,2691405
46.78,45.86,46.8,45.84,2032652
45.87,46.56,46.705,45.87,1519982
46.64,46.98,47.195,46.57,1243644
47.2,47.73,47.865,46.9,1576169
47.93,47.5,47.93,47.43,1109873
47.49,47.71,47.81,47.36,745640
47.85,48.18,48.24,47.77,1411347
48.22,47.5,48.43,47.31,1444230
47.78,47.75,47.9,47.3,1587841
47.99,47.62,48.25,47.62,1485892
47.76,47.75,47.93,47.48,950184
48.05,48.1,48.16,47.81,830681
48.24,48.13,48.3251,47.97,871776
48.06,48.48,48.6,47.99,1124535
48.8,48.67,49.07,48.46,954936
48.5,48.34,48.515,48.06,1126673
48.54,48.91,48.93,48.45,1135685
48.81,48.43,48.89,48.31,1169237
48.14,47.83,48.185,47.13,1282748
47.68,47.79,47.85,47.33,1102326
48.24,48.03,48.55,47.65,1002304
47.73,47.61,48.2,47.37,977175
47.75,48.15,48.22,47.52,915759
48.3,48.5,48.69,48.17,876102
48.65,48.3,48.66,47.93,1296879
48.48,48.21,48.53,48.15,878572
48.13,47.89,48.49,47.71,2537196
47.73,48.09,48.35,47.73,923584
48.2,48.08,48.56,47.83,1084663
