Open, Close, High, Low, Volume
255.73,251.52,256.235,250.528,757660
249.2,246.87,251.68,246.04,754814
245.56,241.95,248.5104,240.5,790669
244.86,241.02,248.945,237.55,915087
243.86,239.17,247.14,237.75,1044343
237.85,234.01,241.1,230.209,901921
235.19,230.46,238.15,229.26,1324471
228.65,229.09,234.29,224.4301,629829
230.74,242.38,242.42,229.4885,850147
238.77,242.48,242.495,233.85,584379
243.5,239.4,247.09,238.17,523004
240.35,243.71,244.845,239.5648,613858
239.96,247.91,249.4,239.31,721990
245.83,243.59,247,240.13,742777
247.08,255.03,258.48,246,732410
256.97,271.02,271.15,256.97,959840
271.92,276.15,276.5,267.43,815087
275.82,281.4,282.1,274.915,628250
274.8,277,277.71,269.29,839561
276.81,284.2,284.38,275.87,691943
282.06,275.325,282.93,275.05,582192
274.97,278.51,280.52,273.312,465982
277.76,282.05,282.18,277.505,402618
280.19,284.25,284.33,280,565865
286.28,291.32,292.22,286.06,822732
288.1,288.36,294.44,285.8198,638847
289.41,288.135,292.0349,286.13,389397
289.61,287.91,289.7,286.12,288571
291.1,290.53,293.66,287.63,473331
291,290.17,291.5,286.33,487091
290.37,288.585,290.4,286.13,456369
290.28,288.46,290.99,286.4,478700
288.66,291.88,294.07,286.04,413941
292.38,291.47,293.39,288.01,439603
289.76,288.8275,289.76,282.9,624039
290.5,294.08,296.5552,288.68,896687
293.57,293.28,295.95,288.05,416196
291.18,293.65,294.57,288.09,373748
291.58,295.89,296.48,289.25,673267
296.25,298.245,302.33,296.25,604996
301.23,302.49,305,300.73,462046
304.16,304.21,304.83,299.72,551771
302.68,305.77,307.59,300.92,526238
307.42,306.39,308.525,305.44,503984
306.28,307.955,309.7,304.115,637695
309.63,310.69,310.93,308,536791
311.54,308.88,313.6299,308.03,482623
308.65,309.92,311.02,308.18,404155
307.48,307.11,309.47,305.12,594878
306.02,312.54,315.16,304.3,615421
315.61,315.2,318.779,313.82,457602
316.97,311.68,317.78,308.03,738867
312.98,312.23,314.3,310.3,706999
312.11,312.52,313.21,308.98,554088
312.01,305.43,312.2,304.48,773851
302.87,306.42,306.99,294,794863
308,309.69,310.34,306.565,719389
310.69,311.41,312,304.32,694670
312.05,315.45,316.98,311.06,697050
315.73,312.51,315.73,311.61,890896
339.6704,338.39,344.75,336.35,2291415
338.6,342.29,344.53,336.87,868341
342.97,334.45,343.919,331.32,1354254
335,330.79,337.5,330.51,832719
329.22,334.99,336.55,328.829,709272
334.18,330.52,336.07,328.6343,579661
330.88,336.68,338.25,330.88,683440
339.62,342.89,345.63,337.45,734348
343.7,346.06,348.39,343.19,671058
347.89,345.21,351.434,343.3041,571108
347.6,348.59,350,344.95,357370
351.5,352.41,353.775,350.74,184745
353.37,347.39,354.09,346.59,449402
349.47,350.43,354.44,347.63,450375
350.53,349.87,352.5005,347.75,331160
351.73,353.74,354,348.74,482835
353.56,354.51,355.725,351.29,356595
352.36,348.2,355.2807,347.3,480915
349.76,350.28,350.85,345.3825,481074
350.88,350.23,351.87,348.0025,480692
350.65,344.83,351.88,344.27,440961
346.76,353.94,354.67,345.99,617541
354.78,355.08,356.8022,349.45,570392
355.08,354.39,359.69,353.93,442387
356.63,350.9,359.095,350.25,532409
350.33,347.42,351.47,344.26,451115
347.72,351.67,355.855,347.49,483265
351.33,355.84,357.91,351.33,361694
355.32,353.82,355.3424,348.54,340891
356.86,357.91,358.435,350.01,498158
356.97,351.04,357.895,350.65,508366
351.12,348.99,352.16,346.99,520537
347.81,334.92,348.33,334.65,1088894
335.01,343.48,344.11,335.01,757485
344.27,341.96,346.12,339.98,632246
336.53,346.77,347.61,335.78,665249
344.29,342.71,347.31,338.8946,601344
341.82,348.19,350.55,340.03,421672
344.52,347.98,349.13,343.28,381847
347.01,343.24,347.01,337.01,608641
337.21,330.23,338.98,328.34,751940
332,335.25,336.8,325.6186,837472
335.06,340.73,340.95,333.47,563846
341.31,343.24,348.46,341.31,420046
340,342.27,349.56,340,494971
340.5,347.89,348.31,339.0328,772611
348.61,353.09,354.54,347.9,493902
351.8,348.99,354.62,348.89,334563
347.03,338.06,347.1398,336.07,891531
338.81,335.09,340.84,330.43,563831
336.22,334.74,338.5,333.01,689385
332.37,322.02,334.59,321.82,967500
327.64,328.25,334.0253,321.18,1106766
315.33,333.39,335.1263,304.04,2919542
333.89,330.84,337.36,327.85,837828
332.3,335.53,340.55,331.6,717329
338.01,337.48,338.64,331.26,464344
339.85,340.12,341.96,336.38,521695
340.69,338.07,343.96,337.68,439405
339.11,336.92,344.49,335.63,462872
341.22,339.93,341.89,334.56,384250
341.88,342.82,343.88,339.14,440496
344.62,349.81,350.2,344.5,1308636
349.34,354.73,355.61,349.0271,1184239
355.61,350.19,357.54,349.56,537206
352.58,347.28,354.09,345.9,554032
346.77,357.83,358.43,343.628,479192
360.42,358.42,365.535,355.165,642719
359.28,355.71,360.47,355.28,553749
357.73,346.54,358.69,340.26,1503121
345.1,348.84,348.92,340.8745,561956
350.58,344.81,352.65,344.27,416259
346.5,344.22,347.425,339.5305,407159
344.95,346.91,347.38,343.89,452866
350.55,340.37,353.76,339.88,679409
340.76,341.28,345.78,338.25,477096
343.65,345.2,346,341.21,296693
343.33,345.06,348.49,343.33,411762
343.61,352.96,353.08,343.43,515295
351.2,348.43,353.19,347,645917
349.38,347.21,349.91,342.78,533108
348,346.98,349.95,346.155,481278
348,356.32,357.275,347.27,575081
356.97,355.71,361.27,354.3001,632175
356.57,360.68,361.85,355.61,1342996
361.52,366.31,368.83,361.52,661553
363.55,366.19,368.72,363.55,455042
365.19,356.94,367.01,356.45,476224
357.79,352.94,359.8,351.09,423123
354,351.99,354.11,349.98,480415
351.99,352.94,353.17,348.75,453408
353.73,354.76,359.74,352,397618
355.72,353.89,356.045,349.56,447803
352.67,346.24,353.195,341.4,760221
345.03,348.675,350.45,342.1516,508338
347.62,349.24,354,344.365,434831
348.73,345.76,352.08,341.895,506224
345.45,336.86,348.355,334.16,619064
331.98,330.06,331.98,326.34,593174
330.37,340.08,340.95,329,528827
337.22,343.68,344.36,336.7,667678
345.18,353.06,355.36,344.76,497294
351.49,346.595,353.3994,345,470066
345.91,336.52,345.91,332.68,665835
334.31,341.22,348.315,333.3344,495339
330.06,321.07,332.2,320.165,1148590
320.74,320.38,324.865,315.49,939307
323.52,321.89,327.89,319.26,473619
327.43,325.25,328.765,322.45,640634
325.17,322.9615,328.28,320.51,409480
327.24,328.12,331.486,326.81,463070
328.54,334.73,338.5,328.54,654433
330.64,322.31,332.37,321.2425,977303
327,330.24,331.99,324.54,837960
333.16,323.78,334.7999,323.6,746281
323.77,330.38,331.45,321.16,601558
337.5,337.74,342,333.09,1492053
252.81,237.6508,254.499,235.76,14878135
234.05,237.39,244.21,231.02,5236485
238,228.66,239.86,228.2,3740021
229.03,236.71,237.85,227.71,3050842
237.9,233.1,239.24,233.03,1807116
233.74,226.08,234.17,226.03,1838738
