Open, Close, High, Low, Volume
259.7,252.94,259.99,248.2,4343067
252.37,250.25,256.56,247.5929,3685950
248.5,242.17,249.011,240.05,6277383
240.73,238.1,247.5,237.45,7572953
236.24,233.24,237.9,232.51,2736877
232.7,243.35,243.37,231.81,3553449
239.1,245.94,245.94,235.235,3005394
246.71,246.14,249.79,244.81,2542331
248.06,247.4501,250.28,246.94,1926595
245,243.39,246.35,241.47,3346188
243.48,237.42,243.48,236.45,3635132
239.8,240.045,243.46,238.8,3778901
240.4,240.35,241.98,238.23,3372473
242.33,243.01,244.79,239.71,3047987
244.76,243.525,246.63,242.06,2711273
242.08,244.45,244.83,241.41,2213204
243.45,247.29,247.73,243.27,3183578
246.59,248.3,249.92,246.11,4331998
250,256.27,256.83,247,4481037
258.73,261.27,262.19,258.17,4904229
260.99,259.645,261.74,257.89,2950046
262.6,265.47,265.48,260.42,3927205
264.06,265.0584,267.5,263.74,2806087
267.75,266.79,269.47,263.67,2211770
266.8,266.098,268.16,264.26,2392544
268.8,268.08,270.41,265.7,2276711
266.9,266.46,266.93,264.61,2338394
266,267.03,268.45,265.44,1644730
269.69,270.46,272.4351,267.19,3216551
270.48,270.225,271.735,268.99,2744979
268.47,268.58,269.3885,266.03,2975988
268.31,268.04,268.69,264.27,2762162
270.12,265.995,272.09,265.84,3020431
265.14,269.43,269.93,264.98,1943703
268.64,268.85,270.58,267.2572,1895819
267.5,261.48,268.6999,260.32,3887873
261.17,256.93,261.18,256.34,4228303
259.22,263.39,264,256.92,3753902
263.52,264.11,266.29,263.15,2605849
263.24,265.195,267.07,262.71,2497647
267.79,270.19,270.95,266.62,2806644
271.17,270.31,272.49,269.28,2087415
269.21,269.56,270.59,268.18,2006087
269.47,266.4,269.94,265.1,2138162
266.5,267.09,268.39,265.95,2844150
267.58,264.71,268.17,264.38,3137585
264.66,262.99,265.425,262.8,2750314
261.61,250.13,261.61,248.9369,8312351
249.7,242.02,251.95,239.15,9989494
243.56,246.24,248,243.56,6390171
248.12,235.96,248.45,234.51,8042155
236.53,241.43,243.2024,234.9403,6418536
241.74,239.12,241.74,237.03,4573423
240.3,236.7,241.18,235.55,4404245
235.15,237.22,239.41,234.635,4495159
239.21,243.22,244.02,236.415,4126089
244.95,246.23,247.48,243.74,3531582
247.96,252.26,252.76,247.08,4200331
253,253.32,255.0568,252.34,3434435
252.51,251.26,253,249.94,2900300
252.66,254.97,255.31,250.42,3207207
257.06,257.24,259.2488,255.595,3010212
257.43,250.42,257.69,249.97,3387577
249.19,252.15,252.96,248.66,2294620
250.57,247.12,251.195,246.99,3235425
247.42,246.85,247.42,240.78,3615002
247.26,243.34,247.89,241.72,3973200
242.94,241.65,245.68,238.16,4180150
242.59,242.21,242.85,238.885,3321771
244.29,247.22,247.76,241.87,3138573
249.71,245.5,250.2,243.0598,2403138
245.51,244.42,246.4,242.8,3661350
246.31,245.86,247.54,244.59,2367888
245.48,247.42,249.11,244.64,2028159
248.95,248.79,249.31,245.17,2885689
249.68,248.79,249.68,246.31,1874557
247.57,248.96,249.94,245.95,2519384
248.78,246.05,249.87,245.52,2187559
246.05,235.33,246.92,232.681,7772526
236.5,223.28,236.78,220.77,12946185
225.77,230.35,230.97,224.41,9256510
238.01,221.02,238.01,215.82,26694188
223.79,216.85,224.2368,208.07,21325484
217.14,221.75,223,214.21,13182921
224,227.145,227.56,221.5,10219505
228.25,230.55,231.94,214.7,9377570
230.09,230.35,231.63,227.75,5196828
228.53,230.89,232.12,228.13,5125201
232.14,236.91,237.11,231.19,5399177
237.4,237.4,238.06,234.16,4603499
238.08,232.82,238.08,230.19,6646737
233.07,231.92,234.62,230.3501,3988729
230.9,232.35,233.34,228.08,4749236
232.84,231.88,233.9038,227.18,3612496
228.17,240.5,240.57,227.5,6487700
239.19,238.11,243.145,236.4,4563787
238,239.34,240.81,235.53,3293661
236.6,238,240.54,235.67,3988849
239.97,240.81,242.62,236.37,3657778
236.45,239.59,240.1,236.1974,4097362
240.64,236.54,240.99,236.28,4797911
235,236.08,237.53,232.62,4003801
235.89,236.78,240.445,235.72,3656582
236.17,241.415,242.44,235.645,3918377
240,245.95,246.735,239.77,4764644
247.01,249.98,251.18,246.8,4751305
249.1,249.31,251.03,248.71,3349311
247.98,246.48,248.1465,244.39,3235629
247.25,247.72,249.36,245.51,2562122
248.5,242,249.3,241.9,3123140
239.85,242.31,243.03,237.9,3061508
241.92,243.5,245.3529,241.34,2428940
241.95,241.89,243.62,239.48,2651634
241.49,236.61,243.8,236.02,4091449
238.13,240.77,241.05,234.834,4287570
243.17,242.88,245.79,241.23,2400873
243.13,242.08,243.94,241.73,2019413
242.9,246.76,247.07,242.19,2356751
247.08,248.11,249.67,245.99,2014434
248.52,245.89,250.69,245.73,2295302
246.2,244.46,246.5,242.3,2541521
244.82,244.96,245.34,243.12,2292440
244.72,245.37,246.05,242.79,1565343
246,245.96,247.1,245.22,1807939
247.5,245.7,249.34,245.15,2674173
246,250.22,251.37,245.51,2812289
251.6,247.78,252.82,247.4,2766209
248.78,252.29,253.4877,246.9,4222392
251.33,249.71,252.625,247.8642,2490041
249.3,247.66,251.04,247.42,2348008
248,243.49,248.08,243.13,2623566
244.26,246.38,248.15,243.16,2510350
245.27,243.94,246.34,238.65,4447327
245.95,242.65,246.17,240.72,3043290
242.59,243.97,243.99,239.535,2936628
