Open, Close, High, Low, Volume
55.07,54.27,55.115,54.14,1759612
54.37,54.03,54.56,53.96,1508258
54.51,53.96,54.51,53.84,1933335
54.35,54.21,54.435,53.98,2359130
54.75,54.78,54.92,54.35,961265
54.99,54.82,55.43,54.78,638177
55.08,54.8,55.08,54.39,658863
54.75,54.73,55.13,54.66,252209
54.76,54.74,54.87,54.56,335541
54.96,55.14,55.165,54.72,402020
55.35,54.9,55.44,54.89,437848
55.44,54.85,55.58,54.6,542794
54.85,55.24,55.36,54.75,845975
55.58,55.75,56.22,55.46,756026
56,55.97,56.035,55.48,750853
56.05,56.46,56.54,55.83,1156062
56.72,56.97,57.42,56.66,902233
57.02,57.52,57.85,56.73,896026
57.9,58.21,58.5,57.84,1039692
58.61,58.6,58.73,58.29,708025
58.19,55.53,58.19,55.37,2935641
55.84,56.355,56.55,55.65,1776186
56.62,56.14,56.96,56.04,884871
56.34,55.98,56.55,55.55,1244995
56.02,56.11,56.16,55.74,844630
55.86,56.21,56.44,55.69,812510
56.49,55.97,57.12,55.865,1230845
56.18,55.05,56.19,54.96,1082541
55.03,55.74,55.81,54.85,811804
55.79,55.26,56.28,55.25,859239
54.68,53.67,54.9,53.67,1539995
53.6,53.2,53.7899,53.035,2096778
52.39,53.28,54.32,50.4,3254402
53.2,52.7,54.73,52.68,1903244
52.09,50.46,52.595,50.2,1649403
49.17,50.63,50.89,48.49,1685556
50.37,50.57,51.23,50.21,2271408
50.64,47.86,50.64,47.84,1758572
48.49,49.22,49.59,47.53,1583154
49.59,50.47,50.93,49.27,3010428
50.65,50.84,51.16,50.18,1713467
50.46,52.46,52.6,50.41,1191416
52.8,52.15,53.1,51.81,1038581
51.84,52.46,52.81,51.06,986179
52.27,52.35,52.68,52.06,941320
52.39,51.98,52.86,51.96,998011
52.11,51.26,52.23,51.17,1166760
51.41,51.73,51.77,51.23,702071
51.96,52.42,52.5,51.77,579350
52.35,51.94,53.06,51.94,954951
52.22,50.95,52.45,50.95,1031560
50.9,49.3,51.15,49.11,1784163
48.93,49.16,49.26,47.79,1308527
48.71,49.96,50.33,48.52,919514
50.18,49.96,50.24,49.28,950440
49.32,49.94,50.07,49.21,832694
50.06,49.61,50.06,49.09,892415
50.18,51.2,51.23,49.81,1009921
51.15,50.67,51.33,50.64,1086434
51.12,50.32,51.2,50.21,629589
50.6,49.52,50.75,49.38,708779
49.8,49.82,50.24,49.485,697081
50,50.27,50.785,49.81,1175909
50.31,49.865,50.5,49.34,520255
50.21,50.26,50.51,50.05,434866
50.44,50.62,51.17,50.14,773958
49.94,48.62,50.15,48.52,637193
48.8,46.97,48.93,46.87,901670
47.86,48.23,48.32,47.105,972105
48.25,47.48,48.62,47.18,1100128
47.59,47.29,47.85,46.7,1103506
47.64,47.62,48.06,47.39,723283
47.67,46.67,47.96,45.91,1336627
47.14,47.17,47.36,46.48,1033333
46.3,47.69,47.82,46.3,738141
48.02,47.95,48.22,47.56,928173
47.5,46.6,47.61,46.21,953176
47,46.45,47.47,46.38,991340
47.22,47.62,47.975,47.04,1106044
47.08,46.8,47.31,46.735,821323
47.19,47.98,48.17,47.035,864934
48.38,47.51,48.48,47.37,793116
47.96,47.94,48.23,47.67,749667
48.31,47.56,48.31,47.45,608552
47.83,48.03,48.11,47.59,653548
48.12,48.74,48.85,48.06,939828
48.95,48.88,49.03,48.46,1036366
49.11,48.78,49.16,48.59,457004
48.91,48.25,49.33,47.96,592364
