Open, Close, High, Low, Volume
97.88,97.25,99.07,96.701,2668798
93.71,94.33,98.55,93.26,5684501
94.48,93.94,95.78,92.69,4230403
93.55,93.54,95.28,93.16,5679918
93.03,89.97,93.35,89.92,2346760
90.83,96.61,96.78,89.94,5599536
95.24,97.73,97.73,94.08,3355435
98.18,96.46,98.82,96.14,2565987
96.86,96.9701,97.56,96.44,2095566
96.12,96.88,97.36,95.78,2101859
96.47,94.49,96.6475,94.19,2075412
96.19,97.66,97.93,95.83,2408701
97.48,97.43,98.1535,96.181,2855534
98.46,97.44,99.11,96.53,2610942
97.59,97.91,98.33,97.16,3258093
97.4,98.995,99.14,96.85,1841446
98.29,97.89,98.96,97.31,4808897
97.33,99.23,99.65,96.63,3877188
99.14,97.45,99.14,96.815,4270700
97.9,97.02,98.95,96.865,3894188
96.95,99.44,99.65,96.8,3171253
100.43,101.5,101.77,100.11,3512028
101.5,102.28,103,101.15,3845577
103.04,100.87,103.13,99.24,3851246
100.36,99.725,100.64,98.83,2441484
100.7,100.7399,101.74,100,2708657
99.87,100.25,100.62,98.91,2027176
100.37,101.05,101.1408,99.78,1676498
101.89,101.2,102.05,100.25,3646393
105.5,105.315,108,102.75,6144708
105.72,106.125,106.5,105.26,2985564
106,106.515,106.57,105.42,2006213
106.81,107.49,107.71,106.04,2785988
107.45,108.54,108.68,107.17,3188357
108.35,107.98,108.945,107.39,2801092
107.39,107.93,108.08,106.74,2303528
108.21,108.92,108.94,107.89,2042191
109.56,110.7,110.77,109.56,2469984
111,111.98,112.06,110.48,2141615
111.41,111.89,112.17,110.607,2012352
110.93,110.88,111.95,109.615,3723515
110.9,110.705,111.75,110.165,2201114
110.93,111.11,111.16,110.4,2988001
110.77,111.76,112.28,110.71,2009450
111.89,110.349,111.89,107.85,3781934
109.9,110.82,111.23,109.65,2694953
110.72,111.05,111.9,110.67,1967829
110.93,111.12,111.2,110.4196,1692671
110.74,110.23,111.09,109.99,2085866
110.94,112.14,112.37,110.35,3135983
112.72,110.51,112.9,109.81,2153640
109.89,109.98,110.85,109.01,2142659
109.83,108.86,110.01,108.33,2102310
108.65,106.86,109.03,106.22,3249290
106.19,106.67,106.73,104.9401,2269142
106.87,108.85,108.92,106.79,2423931
109.08,108.99,109.84,108.62,1965309
109.72,110.87,111.73,109.58,2912930
111.16,110.88,111.18,110.08,1634241
110.86,109.53,110.93,109.42,1754963
109.55,110.7,110.87,109.5,2060325
