Open, Close, High, Low, Volume
105.05,105.4,108.49,102.95,1395253
106.3,104.53,109.52,102.86,1582258
104.24,100.89,108.54,100.07,2159821
100.34,101.4,103.1599,99.5,2133159
102.24,99.47,104.9,99.03,1655284
98.465,95.95,99.5661,95.65,950576
96.61,103.14,103.24,94.28,1468917
100.93,104.8,104.81,99.4769,1332291
105.43,101.41,105.43,100.84,1713187
102.78,101.7361,103.24,98.78,1593204
100.31,105.43,105.99,99,1465701
104.39,102.14,104.39,100.5,1585386
104.42,110.1,110.84,103.47,2160448
110.85,114.31,115.73,108.11,1971350
116.28,116.19,117.13,114.01,1849727
118.24,118.38,119.57,114.85,1529152
116.44,118.72,119.94,115.6,1431990
117.37,117.22,118.85,115.33,1205009
116,116.85,118,115.52,1095712
117.32,116.24,117.79,114.6,953973
116.74,117.52,118.5,116.1726,893932
117.13,119.34,120.63,117,1653439
120.96,123.24,124.55,119.3,1855558
121.1,117.71,122.01,117.03,2048468
119.34,115.795,119.4,114.06,2595283
121.52,123.43,125,119.73,3773701
124.7,126.95,127.66,123.4,2863086
124.49,124.7,126.76,123,2074433
125.59,124.32,126.27,124.01,1202498
125.67,127.9,127.91,122.3,1877415
127.71,125.39,127.71,124.4695,1342901
124.865,126.32,127.24,124.42,1572753
126.26,129.45,129.46,125.05,1240409
129.05,129.08,131,128.03,1164494
128.62,128.94,130.16,128,816969
127.75,125.79,128.35,124.53,1226986
124.6,126.06,126.38,123.66,1027708
126.55,127.9,128.73,126.14,846433
129.55,131.39,132.46,129.2,1213028
132.73,132.1,133.77,132.09,997460
131.41,131.9,132.1,130,1085981
133.07,134.865,136.05,132.11,1500344
134.39,134.32,135.4,130.63,1315168
134.96,136.26,137.6499,134.2104,1147280
136,135.05,136.95,133.8303,1096300
136.04,136.85,137.09,135.38,992393
137.88,136.28,139.03,135.7,1139461
135.45,134.85,136.7,134.15,1000736
134.92,135.72,136.27,133.42,835798
135.33,134.59,136.055,134.24,773378
136.64,135.71,138.5,134.045,985445
136.49,132.49,137.16,131.37,1342763
132.7,130.47,132.78,130.31,1299933
130.7,128.05,130.78,127.89,1078703
127.68,126.59,127.84,123.75,1454221
123.85,123.24,124.73,121.9,1373597
123.18,124.01,124.09,122.55,1134551
124.52,125.31,126,122.05,1456962
126.1,124.35,127.055,124.2,932598
123.53,121.7,123.75,121.62,905521
121.75,120.15,122.88,119.85,1531618
120.57,123.01,123.26,120,1027247
123.6,120.69,123.6,120.33,1086393
120.27,116.15,120.305,114.0605,2908463
115.66,119.06,119.19,115.38,1277294
118.11,110.95,118.15,110.89,2540823
110.63,111.125,113.1,110.25,1514121
113.21,111.61,113.65,109.86,1329403
111.94,110.72,112.55,109.185,1263711
110.67,112.57,112.69,110.02,1153969
114,114.25,115.16,113.31,1101122
115.59,118.11,118.69,114.38,1324669
118,118.53,120.05,117.35,1086374
119.93,120.98,121.76,119.785,1381399
121.58,122.56,122.78,121.3,1194629
123.81,123.35,124.77,123.11,959189
122.75,124.05,124.12,121.831,706378
122.63,119.58,122.6547,119.15,1443063
119.94,121.2,121.34,118.69,771802
121.55,124.75,126.12,121.38,2004878
127.41,126.74,128.75,125.135,1331818
127.02,125.42,127.835,125.04,1813710
126.67,126.06,126.99,123.72,1265074
126.63,125.8,127.18,125.15,1517436
135.3,136.09,138.49,134.11,4570016
135.36,135.4,137.15,133.66,1354273
135.41,138.38,139.32,135.13,1450846
138.53,139.9,140.6,138,1231794
139.3,137.54,139.96,136.77,928921
138.01,140.4,140.54,137.39,1020466
141.05,140.91,142.15,140.2777,722471
141.12,140.88,141.39,138.72,1020409
141.78,138.65,142.69,138.45,1133099
138.2,137,139.38,134.17,1638240
137.59,140.24,141.25,137.4852,874599
135.74,137.53,138.59,134.4021,1351195
134.93,134.22,135.765,132.44,1159001
134.08,134,135.99,133.36,788182
131.13,133.74,134.215,128.31,1174821
132.99,132.49,133.39,128.76,982600
128.39,126.16,128.905,124.23,1383236
127.32,127.08,128.745,125.65,971019
125.27,128.7,129.27,124.453,945256
129.04,128.48,130.61,128.13,838191
126.65,126.29,127.57,125.65,816960
124.26,123.97,125.46,122.93,1257574
125.38,126.73,126.94,124.77,956093
125.91,122.39,126.39,121.6,1290407
120.3,118.49,120.51,117.635,1158217
119.32,118.54,120.91,116.91,580559
118.64,114.97,119.47,114.96,1027164
114.13,115.82,116.08,112.89,1220192
116.48,115.18,118.1,114.63,1309022
112.6035,110.09,112.94,109.35,1492012
111.98,113.88,115.1,111.75,1786596
115.55,121.39,121.5,115.55,1671878
122.21,119.41,122.39,117.68,1028374
119.23,118.78,120.11,116.61,761595
118.7,122.26,122.81,118.577,1171357
123.38,123.55,125.88,123.05,947400
125.52,122.28,125.65,121.27,922296
121.34,121.55,121.98,119.92,675852
121.97,123.81,123.84,121.705,628743
123.44,122.87,123.61,120.94,615440
122.93,121.37,123.44,120.69,862760
123.96,127.77,128.98,123.42,1418204
127.56,126.28,128.2,125.7547,960701
129.18,130.75,131.58,128.36,1087505
130.45,129.89,131.58,128.7,741838
129.57,129.6,132.41,129.51,984415
129.61,128.62,130.25,127.9134,630280
129.86,130.57,131.95,129.4,1016252
131.55,131.96,132.38,129.76,533925
132.87,132.6,135.19,132.14,1225023
136,134.33,137.8,133.1,1169764
133.84,131.83,134.09,131.2,628844
132.52,132.84,133.54,131.92,369937
131.82,132.92,133.4,130,557080
131.85,131.85,134.04,130.97,570481
130.35,131.38,131.51,129.62,645524
132.18,130.48,132.3192,129.11,853236
130.55,131.35,131.37,128.77,743496
132.13,136.33,136.75,131.83,1030259
136.79,134.74,137.67,134.58,743028
134.53,137.56,137.9,132.82,1405631
136.65,131.49,136.895,131.26,2124346
123.5,121.1,125.34,120.82,5003477
121.18,118.98,122.54,118.8675,2897905
120,118.11,120.525,117,1926495
118.26,121.86,122.3,118.1,1764116
121.73,126.64,127.24,121.5,1689927
126.64,127.74,127.89,124.9,1109606
127.91,127.62,129.6,127.0532,1199617
127.55,128.97,129.805,126.3,999340
127.91,129.94,130.72,126.59,952595
129.66,126.54,130.5,125.95,1076093
125.72,120.88,126.21,119.61,1428926
119.36,117.28,119.47,116.16,1236645
114.19,113.36,114.435,111.78,1616512
115.23,114.43,115.79,112.52,1095297
111.77,113.4,113.57,110.56,1184557
114.68,117.845,118.26,114.68,1197115
117.08,115.58,117.24,114.5,1133001
113.91,110.78,114.06,110.4,894485
110.1,112.53,116.66,109.555,1309426
109.72,105.36,109.99,103.85,1944544
105.47,104.54,105.95,102.76,1496430
105.77,107.99,108.7979,105.29,1385049
110.34,110.67,111.38,109.27,1062516
110,109.14,110.12,109.04,614051
111.34,111.23,112.44,110.6,709740
112.06,109.85,112.8,109.33,879453
108.25,104.97,109.68,104.31,1254232
107.2,106.33,107.31,104.29,1068157
106.95,103.72,107.75,103,997679
103.45,106.33,107.624,101.9,993740
