Open, Close, High, Low, Volume
113.97,113.69,114.2,112.39,8588708
114.69,113.55,114.75,113.25,6255496
113.28,112.15,113.28,112.08,6229731
112.58,112.13,113.102,111.99,5026654
112.6,112.42,113.1,112.3194,4753113
112.39,112.73,113.11,112.25,4511706
112.07,112.99,113.4397,112.07,3008020
112.69,114.03,114.07,112.6515,5542389
114.3,114.32,114.9199,113.99,4085867
114.75,114.26,114.89,114.14,3274793
114.57,114.57,115.08,113.95,4546612
114.95,115.68,115.785,114.66,5661512
116.25,116.095,117.36,116.03,5911621
116.99,118.82,119,116.42,5371990
118.53,119.32,120.477,118.07,5392271
119.97,119.11,119.97,118.66,4415941
118.69,118.96,119.05,117.46,6247010
118.8,119.86,119.98,118.68,4344932
120.12,120.1,120.35,119.71,3971969
121.18,120.39,121.94,119.91,6228104
121.2,122.01,122.16,120.73,5669713
122.52,123.09,123.195,122.03,4615132
123.05,122.7,123.65,121.92,6018090
122.87,124.31,124.32,122.4,3728315
124.61,124.65,125.51,124.21,4146525
125.05,124.6,125.45,123.71,4578985
125,125.25,125.47,124.63,4165743
125.77,126.29,126.38,124.76,3776937
126.74,124.87,126.88,124.685,4587283
123.82,123.56,124.29,122.84,6205011
123.7,124.25,124.48,123.04,4685898
124.74,125.6,126.26,124.1,8666121
123.72,120.8,123.72,120.7,10877392
118.5,116.27,121.13,115.01,12979797
115.2,120.04,120.3,113.25,14456879
120.09,119.63,122.46,119.21,6477195
119.53,113.93,119.7,113.54,9654992
114.55,116.32,117.19,111.0201,14560596
117.79,118.36,118.84,116.88,6782866
117.85,118.37,118.8,117.1301,5937662
117.62,120.82,120.95,117.5,5868769
121.7,122.31,122.31,119.97,5310913
121.63,121.87,122.99,121.57,4484305
121.35,122,123.05,121.02,4752858
122.05,120.47,122.83,120.41,4475451
120.67,120.4,121.38,119.6167,3464669
121.57,122.91,122.96,121.221,3621865
123.58,124.58,124.6,123.32,4567572
124.7,123.4,125.3,123.35,4587819
123.65,122.9,124.98,122.88,3981776
123.26,120.28,124,119.62,6522488
119.09,120.74,120.98,117.86,5492920
120.45,121.88,122.31,119.44,4302175
122.83,121.09,123.24,120.67,5155478
120.03,121.88,122.24,119.7,3955368
121.96,122.26,122.82,121.1676,3886554
123.25,124.51,124.79,122.87,4628354
124.75,124.28,124.98,123.48,4884349
124.5,123.19,125,122.9,5114120
124.04,122.625,124.1,121.9,4902327
123.13,123.37,124.42,122.7,3947872
123.85,124.5,125.05,123.33,5405201
123.94,123.19,124.31,122.28,5229769
123.38,124.92,125.17,123.3,4476600
124.9,123.23,125.44,123.07,5445256
122.2,119.98,122.68,119.7,6745944
119.89,117,120.73,116.76,7249515
119.09,120.65,120.74,117.8,6126014
121.52,117.43,121.6,116.74,6140034
116.93,116.99,118.07,116.03,7376059
117.68,119.61,120.5949,117.04,8090751
119.27,118.36,119.83,116.76,7179877
118.89,119.2,119.99,117.49,4918270
116.9,119.8,120.12,116.7102,6542492
121,121.19,122.01,120.37,4828545
120.18,117.63,120.5567,117.12,5798112
118.63,118.83,120.67,118.63,4891360
120.56,120.79,121.16,119.64,5190333
119.99,119.82,121.66,119.62,4279823
120.51,121.05,121.98,120.3901,4383846
121.73,121.14,122.47,120.65,5356834
122.11,121.91,122.87,121.51,4092491
122.91,123.82,124.26,122.52,4097799
124.06,124.5,124.87,123.38,3353880
124.31,123.9474,124.72,123.15,5249342
124.06,124.2,124.82,123.31,5306657
124.3,124.46,124.97,123.9,5359285
124.87,121.42,125.04,120.55,7477142
121.14,121.08,121.35,119.373,6168539
125.14,127.11,127.59,123.781,11925458
126.44,126.01,127.06,125.39,5290962
126.74,126.91,127.9,126.66,5545210
126.86,127.47,127.57,125.51,5176498
128.1,126.37,128.1,126,6694019
125.81,127.19,127.46,125.3217,4650677
126.33,128.21,128.36,126.07,4529658
128.4,129.24,129.52,128.25,4202500
129.14,129.895,129.97,128.31,3507613
130.01,130.84,131,129.59,4721303
131.2,130.97,131.75,130.72,4889331
131,131.81,132.09,130.231,3755829
132.43,131.22,132.5,130.67,4071046
130.56,131.06,131.4,129.9,4263606
131.09,130.89,131.4,130.54,3769120
130.58,129.95,130.8,129.61,3876198
129.62,129.93,130.34,129.07,3912636
130.95,130.65,131.5066,129.9895,4003814
131,130.71,131.78,130.5,4895911
130.06,131.88,131.91,129.8,3702411
131.81,131.86,132.21,130.5,4303780
131.88,131.22,132.1,130.93,3087490
130.39,129.7,131.05,129.06,5769476
130.2,130.62,131.1,129.87,4931375
130.65,130.73,131.5817,129.98,4512543
131.84,130.86,132.51,130.36,6597073
131.94,133.09,133.57,131.43,4906750
133.38,133.55,133.62,132.7,4204187
134,136.25,136.31,133.61,5428425
136.36,133.82,136.58,133.05,5531965
133.44,134.73,134.915,133.23,3628640
134.9,133.93,135.19,133.81,4268014
134.04,134.88,135.129,133.54,3870953
135.18,134.44,135.77,134.31,3217720
135,135.03,135.7,134.75,4289943
135.1,135.01,135.73,134,6501875
134.37,136.1999,136.31,134.12,3837742
134.56,135.11,135.235,133.57,4251023
135.52,135.73,136.69,135.52,4512032
135.27,134.62,136.115,134.26,4157050
135.6,135.38,135.85,134.26,3549708
134.91,130.93,134.91,129.53,7558435
132.11,132.55,133.79,131.61,5958557
133.01,131.03,133.657,131.01,4995740
131,132.71,133.12,130.6535,4489287
133.28,132.69,134.19,132.47,4457313
131.96,132.8,133.05,131.15,4247090
133.01,131.62,133.41,131.42,2581419
132.13,133.26,133.33,131.83,2973138
133.58,134.08,134.28,132.5,2877428
134.94,135.67,135.9689,134.79,4234263
135.57,136.67,137.33,135.34,4833716
136.63,138.31,138.81,136.6,6428540
139.01,139.88,139.95,138.66,5622181
139.79,139.37,140.03,137.54,4186895
139.42,138.47,139.55,138.16,3562669
138.18,139.68,139.91,137.42,3884843
139.91,140.91,141.17,139.37,4761482
140.95,140.13,140.99,139.93,3973949
140,140.98,141.47,139.92,3776211
140.66,140.05,140.97,139.64,5501915
140.99,139.96,141.4725,139.51,6652669
140.34,142.69,142.77,139.9,6274903
141.61,142.4449,142.79,139.53,8292196
143.08,140.71,143.14,139.21,5223757
140.13,136.5,140.42,135.31,7314030
137.13,136.73,138.02,135.63,4875187
137.74,138.24,138.735,137.41,5352726
137.45,138.99,139.19,137,4549131
139.29,139.81,139.86,137.94,3194766
139.65,139.7,140.26,139.05,3188126
139.98,140.28,140.69,139.8726,3128058
140.21,140.72,140.99,139.83,2945037
140.73,140.02,141.24,139.9,3593475
139.91,139.68,140.7401,139.25,3527764
140.53,140.2,141.24,139.83,3372702
140.3,140.76,140.99,139.88,3860391
140.35,139.92,140.69,138.84,3682605
140.75,140.64,141.49,140.42,3688784
140.78,141.38,141.71,140.565,3938667
141.54,140.94,141.6,140.7,2815641
141,140.02,141.4574,139.8,3455094
139.85,141.15,141.53,139.85,2981091
141.01,142.09,142.445,140.77,3081943
142.32,144.21,144.38,142.32,4113601
144.99,145.4,145.6,144.71,4368373
145.63,145.26,146.17,144.87,3339510
145.46,147.04,147.2999,145.42,3161044
146.82,146.76,147.71,146.36,4493230
146.74,146.85,147.64,146.5,3751647
146.93,147.8,147.86,146.6669,3965078
147,142.71,147.82,142.55,8761110
143.29,144.5,144.7,142.54,5419954
143.99,143.24,144.44,142.75,4798607
144.13,144.13,144.44,143.21,3264767
144,145.49,145.52,143.25,3928761
145.85,146.58,146.8,145.0733,4628949
147.15,147.63,148.065,147.09,3938464
147.89,147.84,148.37,147.35,3055231
147.83,146.18,147.9,145.83,3876584
146.2,147.65,148.0897,145.95,3164870
148.28,147.47,148.82,147.251,3740483
147.99,149.25,149.485,147.2,3712732
149.95,149.93,150.26,149.35,7076532
149.16,149.1,149.65,147.27,3426297
149.71,149.57,149.96,149.1,3046275
150,149.34,150.42,149.04,3591767
149.9,150.04,150.64,149.562,3618056
149.81,150.05,150.37,149.55,3416089
150.89,150.84,151.56,150.61,3848978
150.84,149.69,150.84,149.17,4133600
150.71,149.45,150.71,149.19,4359406
149.18,146.77,149.31,146.1,5633398
146.64,145.355,147.41,144.4,5303436
145.01,141.89,145.01,140.18,8809284
141.48,142.37,143.29,141.12,4790077
142.57,135.53,142.6885,135.21,11088240
134.09,133.74,137.24,132.26,11177721
138.48,140.01,140.98,137.43,9151698
139.9,137.22,140.06,137.22,5492124
138.71,141.74,142.14,138.68,6808993
142.34,142.48,142.86,140.73,5052159
142.46,139.32,142.46,137.95,6033335
139.4,140.08,142.19,139.38,5969441
140.97,140.64,141.54,139.51,4425689
136.89,139.2,140.04,135.59,8007222
139.7,134.36,140.18,134,8815602
135.45,140.51,140.9,132.5,11240469
137.98,137.74,139.87,136.06,8695404
139.61,134.41,141.51,132.27,9256417
133.08,132.76,134.86,129.79,11746603
134.99,137.84,139.12,134.99,8880405
139,140.82,140.87,137.49,7601032
141.11,139.7,141.4546,137.85,7017962
139.8,139.79,140.21,138.07,5472273
139.8,140.78,140.91,139.72,4203592
142.34,144.79,144.9,142.32,8532136
144.6,145.24,145.46,143.652,4277204
144.2,143.92,144.57,142.36,5102581
143.42,139.79,143.64,139.17,6689546
140.35,139.72,141.9,139.01,4575627
142.02,139.48,142.6,138.4128,5777087
138.85,141.9,141.9,137.93,7723393
140.42,140.22,141.84,139.92,6085557
140.47,134.75,140.57,134.25,8656179
130.31,133.21,134.53,129.54,11466199
134.36,134.45,135.78,133.63,6581858
132.59,132.84,134.25,132.49,3291431
134.6,135.93,136.52,134.25,7661362
135.28,135.94,136.31,134.12,6233421
137.07,141.42,141.54,136.8686,9086427
140.69,139.13,140.7,138.71,8087210
139.01,141.59,142.26,138.63,6863291
145,145.03,145.72,143.855,9565189
143.13,138.77,144.35,138.5,11218516
135.04,141.06,141.07,133.48,13629297
140.82,137.14,142.13,135.9938,8598973
136.25,137.83,138.27,134.8555,6022139
139.94,136.79,140.05,135.92,6881757
139.3,137.84,140.88,137.75,7186721
138.3,137.49,139.13,136.15,6052874
135.69,135.09,136.72,134.55,7592973
134.21,131.44,134.43,130.69,9894361
132.29,132.7,134.17,131.8,7997342
132.93,131.25,135.87,129.52,9638601
130.16,128.82,132.01,127.15,12287802
127.18,124.03,130.33,122.9501,17599931
122.08,121.82,125.21,121.6,7566312
123.02,130.22,130.22,123,9580610
127.99,131.92,131.98,126.52,8094711
133.08,130.91,133.62,129.66,6418861
131.68,131.17,132.44,130.23,6150239
130,132.86,133.74,129.6,7588245
131.21,128.34,131.28,128.09,8326055
130.44,133.47,134.5886,130.13,8600537
134.45,136.1826,137.169,132.72,8492959
137.97,136.7,138.19,135.96,7620106
138.3,138.2501,139.48,137.62,8580410
136.81,138.7,138.8,136.36,5540686
137.75,137.9,138.6,137.41,4938149
136.99,137.18,138.13,136.65,5331425
136.96,137.065,137.72,135.25,6259402
138.4,137.4,138.87,137.32,5819511
136.97,137.32,137.91,136.59,5037018
138.31,138.43,138.53,136.64,7577692
137.9,137.615,139.52,136.975,6419833
138.77,137.18,138.98,136.1478,4537894
137.11,137.73,138.32,136.52,4258887
139,138.6,139.9,137.97,5590416
137.51,135.87,137.51,134.81,6820689
136.59,134.915,136.69,134.11,6030761
136.1,137.79,137.895,135.51,5841318
134.39,134.96,135.73,133.3,15564953
135.39,139.8893,140.35,135.26,11797593
139.79,141.1957,141.517,139.18,6199019
142,142.62,142.945,141.83,7278078
141.96,141.23,142.42,141.05,4693892
139.92,139.97,141.06,139.21,6515609
138.69,140.14,140.17,138.52,4429218
141.26,140.72,142.2877,140.45,4685233
141.79,142.025,142.8,141.25,4787800
142.89,143.47,144.7,133.3667,5908877
142.98,143.13,143.48,142.4,4798744
144.55,144.72,144.87,143.815,4843959
144.42,144.46,144.88,144.02,4567488
144.35,144.81,144.84,143.52,4457541
144.35,144.02,145.0298,143.18,4824256
144.42,145.86,146.2836,144.42,5432287
146.91,146.06,147.2,145.81,4985807
145.2,147.02,147.4,145.02,5633496
146.5,147.24,147.49,145.51,4703995
147.26,148.17,148.82,147.23,4606486
149.46,149.53,149.93,148.38,6280902
150.07,148.05,150.19,146.951,5989261
148,147.99,149.29,147.83,4702654
148,147.87,148.52,147.42,3906848
147.26,146.83,147.81,146.04,4539355
145.44,147.35,147.48,144.5,4468746
148.11,150.67,150.97,148.02,6053733
151,151.74,153.14,150.87,7952829
152.3,152.51,154.04,152.04,7261099
152.56,154.28,154.69,152.3,7512309
155.145,155.53,156.82,154.8252,8240147
155.92,154.99,156.41,154.42,5362063
155.05,154.73,155.51,154.14,4420955
154.34,153.72,154.87,152.7134,4872430
153.32,155.78,156.68,153.31,6140378
154.99,153.08,155.68,152.85,6479760
152.36,153.04,154.0617,151.54,6380264
153.77,155.34,155.6,153.77,5306815
155.47,154.24,155.86,153.36,5448802
154.93,154.64,155.08,153.61,7122578
155.73,156.18,156.29,154.93,8086935
157.53,157.32,157.73,156.55,2429975
157.66,157.79,158.15,156.75,4259012
158.55,158.44,159.11,157.85,5107471
158.53,157.64,158.69,156.53,4573658
158,157.65,158.63,157.23,3757952
157.55,157.73,157.8501,156.32,4013211
156.56,157.57,157.99,156.47,3507810
157.99,158.7,158.78,157.52,3339799
159.11,157.85,159.3,157.44,3683568
158.71,159.62,159.63,157.4154,4668854
159.83,160.42,160.48,159.19,4202281
161.04,160.25,161.1,159.55,4385837
160.87,160.45,161.07,160.31,4103023
160.93,160.16,161.105,159.0007,5064163
159.2,160.4,160.48,159.0684,3609253
161,161.63,161.88,159.87,5790663
161.75,161.5,162.03,160.65,6209402
160.52,161.02,161.6,158.55,8082980
161.26,162.95,163.03,160.4,4934531
163.21,164.105,164.5,163.1,5249114
164.98,164.34,165.7,163.92,5413532
165.54,162.76,165.74,162.75,4480865
162.1,161.07,163.08,160.43,5120897
162.3,162.03,162.74,161.18,3683567
158.21,162.29,162.65,158.2,4744821
160.95,160.21,161.78,158.68,5321621
159.77,160.79,161.7,159.52,4603012
158.86,159.77,159.85,157.17,5998202
158.86,160.76,161.3994,157.27,4711590
157.19,157.29,158.72,156.42,5954503
158.1,160.29,161.52,157.94,4979732
159.32,162.79,163.16,159.1038,5148721
163.45,164.86,165.6036,162.86,6211348
163.29,164.08,165.2,163.2,3935754
163.35,163.48,164.74,162.33,3973448
164.58,163.88,164.859,163.19,4352062
163.6,164.27,165.63,163.45,4276867
163.5,161.5,164.25,160.82,5026432
162.75,162.73,163.41,161.72,3505406
163.4,163.62,165.77,163.33,4938442
163.3,162.63,163.5,161.48,4721509
162.8,162.79,163.5,161.94,4289858
160.91,161.32,162.13,160.56,3942889
161.54,158.3683,162.83,156.75,6881502
160.29,162.22,162.37,158.6501,5591741
163.5,165.4,165.4,162.69,4988680
165.88,167.04,167.4,164.94,4996570
168,170.03,171.61,167.8,6743706
171.84,170.84,172.02,170.51,5920840
171.95,170.31,172.18,168.42,5366991
170.38,171.6,171.62,169.7,4160611
172.14,169.35,172.2,168.72,5810151
169.77,169.68,170.64,168.84,3836989
169.73,169.55,170.42,169.03,3728430
170.65,169.32,170.67,167.55,6045470
169.39,170.72,171.2,169.21,5188674
172.51,173.68,173.94,171.75,7570027
173.27,173.41,174.8065,173.16,6967478
174.6,173.88,174.73,172.72,4186638
174.81,171.26,174.94,170.59,5397779
171.39,171.09,172.39,170.8176,3949677
172.12,171.09,172.4,170.32,3548474
171.8504,172.66,173,170.52,4321275
175.33,173.93,175.54,172.74,5112524
174.1,175.32,175.32,173.3,4205796
176,176.84,176.98,175.74,3269908
175.86,176.79,177.0311,174.51,3470258
176.3,176.2401,176.61,175.4,3002091
175.43,177.72,177.89,175.3,4159909
178.58,179.33,180.26,178.58,3858732
180.12,180.74,180.94,179.46,4298371
181.35,180.27,181.35,178.92,4664648
180.56,180.54,181.07,179.94,3521926
180.37,179.34,180.88,178.73,4473545
179.56,179.16,180.205,179.01,3291550
178.63,180.55,180.62,178.58,3891868
181.84,179.24,181.84,179.14,4242947
179.64,180.55,180.98,179.14,4281235
180.89,180.88,181.27,179.06,6223921
180.79,183.33,183.43,179.25,7304287
183.87,181.7,183.99,181.3,5391826
182.41,183.69,183.82,182.21,4078845
183.89,183.23,184.07,182.7338,3592885
182.54,181.53,183.38,181.27,4246672
181.79,177.95,182.05,176.06,6454198
179.19,179.18,182.4,178.17,7481169
178,177.48,178.27,174.69,5768080
172.01,168.9,173.5,166.975,12360153
171.79,172.49,172.95,170.13,8245393
171.5,175.29,175.73,170.34,6329236
177.46,179.9,179.95,176.57,6203102
179.67,179.09,180.1,177.85,4461310
177.44,176.26,178.65,175.6,4344927
174.39,178.64,178.92,174.21,5940704
176.24,173.54,177.25,173.1601,5852444
174.26,176.28,177.02,173.52,4950567
178,178.29,178.75,177.2,3487217
180.42,179.74,180.42,178.12,4619699
179.43,179.21,180.63,178.49,3123851
180.69,180.94,181.69,180.24,3247517
181.95,180.15,182.33,178.61,4516737
179.55,175.33,180.5,174.235,5476061
176.41,177.61,177.67,175.35,3932848
178.32,178.35,179.19,176.94,3141824
176.99,178.6574,178.99,176.032,2964865
180.4,181.15,181.39,179.31,3161618
181.99,180.705,182.18,179.6661,2764125
180.52,179.2105,181.25,179.1,3985808
180.9,181.75,182.2,180.05,3658347
183.73,184.65,185.68,183.38,4702122
184.74,185.705,186.71,184.55,5642665
186.92,181.56,187.05,179.5073,6327227
179.41,176.3,179.7,173.81,12875986
177.4,174.89,177.925,174.45,7652212
176.85,178.01,179.41,176.68,6755668
178.65,177.28,178.77,176.02,5150255
176.17,176.12,177.2,175.51,3341671
176.83,176.42,178.26,175.04,5107660
177.09,175.32,177.18,172.825,5978140
176.2,175.95,177.41,175.61,5075996
177.4,174.07,177.63,173.9495,8344003
172.9,174.92,175.25,172.79,3901388
176.11,174.54,177.2,173.4,6575587
173.8,175.245,175.67,172.39,5410233
175.65,175.79,176.45,174.611,5471030
176.7,174.03,176.83,172.36,4503554
174.17,172.79,175.45,172.39,5567619
