Open, Close, High, Low, Volume
110.04,111.86,112.05,109.98,387111
112.21,110.75,112.28,110.39,443855
111.04,110.69,111.77,109.45,370703
110.7,110.77,111.07,110.13,253981
111.03,110.67,111.35,110.57,265114
110.58,110.92,111.85,110.2625,195412
111.11,110.78,111.75,110.5301,158550
111.05,111.06,111.99,110.805,265764
111.33,112.29,112.41,111.21,197585
112.59,111.19,112.59,111.15,227383
111.14,110.97,112.59,110.59,433145
110.16,111.29,111.46,109.24,399301
111.39,109.87,111.57,109.83,463951
110.26,110.86,111.375,109.73,591088
110.69,111.36,111.47,109.87,461725
111.71,112.97,113.22,111.6,363715
112.9,111.69,112.9,111.45,326132
111.9,111.53,112.58,111.16,349511
107,108.49,109.94,107,1090805
108.81,108.07,110.24,107.54,721983
108.74,109.3,109.62,108.51,537875
109.09,109.58,109.97,108.81,373010
110,110.3,111.25,109.6,371497
109.78,110.03,110.35,109.53,329314
109.77,110.82,111.17,109.45,518324
111.37,113.07,113.99,111.13,742250
123,126.98,129.0499,121.12,3881659
127.4,129.52,130.29,127.04,1368268
129.19,128.58,130.21,128.3,728237
127.38,127.72,128.88,127.02,743088
128.07,127.51,129.19,127.005,492385
126.78,127.34,127.72,125.94,514078
127.08,124.86,127.9099,124.84,504472
124.49,119.69,124.84,119.59,697309
117.86,118.58,119.94,116.25,988752
118.24,116.91,118.9,116.74,686505
116.87,112.84,117.03,112.79,596132
113.74,114.47,115.3,111.5,639092
115.27,116.7,117.75,114.87,497141
116.25,116.24,116.92,114.7579,444565
115.58,119.53,119.71,115.29,526532
120.23,121.92,121.95,119.501,561507
121.33,121.27,122.85,120.26,359605
120.65,120.21,121.8,119.71,347661
120.25,120.15,122.525,119.74,405064
120.6,119.81,122.38,119.41,279246
120.38,121.19,121.24,119.24,194860
121.41,122.42,122.64,107.35,216187
122.66,121.55,123.12,121.54,267674
122.26,119.37,122.6,119.34,348954
119.5,117.45,119.63,116.22,605853
116.69,120.46,120.68,116.2,300021
119.99,122.63,122.95,119.64,284878
122.76,123.44,123.49,122.06,237257
122.22,123.69,124.14,122.22,334433
124.12,123.49,124.48,123.09,390758
124.42,126.52,126.84,123.98,268279
126.45,126.55,126.9,125.7,220342
127,125.54,127,125.09,259125
126.07,125.74,126.39,124.72,329334
125.84,125.38,126.68,124.56,288897
125.39,124.84,125.94,124.77,359683
124.86,123.89,126.19,122.8069,251521
123.87,124.19,125.43,123.61,402374
124.37,123.42,124.525,123,218748
122.55,121.07,123.495,120.99,389624
