Open, Close, High, Low, Volume
123.06,120.25,123.11,119.35,928196
121.45,120.78,122.59,120.57,699678
121.5,122.34,123.5,120,794891
122.49,119.25,122.879,118.85,1127673
120.22,118.97,120.37,117.74,1005362
119.87,122.85,122.92,118.69,1015038
122.56,124.25,125.68,119.99,855667
124.02,126.71,127.85,124.0001,673690
127.15,127.49,127.885,125.89,619727
127.5,127.59,127.97,126.56,548492
128.48,128.46,129.63,127.03,693987
129.75,131.88,132.32,128.96,1476751
132.59,134.25,135,132.23,2229455
135.08,133.38,135.45,132.55,1057729
133.45,131.89,134,130.86,1021842
131.9,133.93,134.08,129.8,690956
133.84,134.16,135.6,133.49,1003512
133.24,132.39,133.73,131.46,1029234
133.37,135.18,135.89,132.66,624517
135.27,133.97,135.35,133.61,536072
134.35,133.67,136.32,132.94,694401
134.56,134.58,135.45,133.71,428616
134.85,135.15,136.49,134.18,975466
135.89,135.04,137.65,134.43,1025716
135.2,133,135.2,132.02,1024099
132.76,134.87,135.22,131.8,852007
134.7,135.49,136.96,133.32,929913
136.11,138.55,139.19,135.24,845476
139.02,141.11,141.2,138.545,1282212
141,138.92,141,138.18,1124581
138.23,139.82,140.81,137.52,1439015
140.49,135.43,140.49,132.745,1682501
134.61,134.25,136.94,133.92,1709245
132.86,130.99,133.85,129.99,1444808
130.13,125.2,131.29,123.07,1795045
123,126.81,128.66,122.74,1178219
125.92,128.24,131.2695,125.63,1076473
128.48,121.4,128.62,121.4,1265194
122.31,125.02,126.12,119.34,983311
126.4,127.17,128.41,125.38,1117626
128.2,129.38,132.03,128,1243591
128.07,129.64,130.06,126.48,1070582
130.98,133.5,134.4389,130.17,1361579
128,126.67,131.54,125.5,2584603
125.67,124.47,126.67,122.505,1404454
124.63,122.01,125.95,121.88,1017407
122.18,122.1,123.62,120.6693,1055129
122.98,121.68,123.1699,121.11,1029166
121.69,121.74,122.3,119.62,1060023
121.4,118.87,121.99,118.3,1421846
119.33,117.68,120.03,117.66,870902
118.36,117,119.66,115.84,1039976
116.03,117.76,118.36,114.225,1450622
117.64,117.73,118.5,115.59,1232370
118.35,119.41,120.35,117.78,867955
117.91,119.11,119.51,117.08,669264
119.3,119.24,121.2,117.4,1343521
120.15,121.2,121.53,119.81,727627
121.59,121.02,121.68,120.08,406752
121.79,121.7,123.45,121.42,624705
122,120.45,122,119.12,698047
120.52,117.93,120.91,117.64,760101
116.2,117.12,118.26,115.63,1357060
116.4,114.9,116.5277,113.59,789811
115.12,114.15,116,112.965,774332
114.55,114.81,116.32,113.84,772323
113.9,113.63,115.565,113.52,879184
114.27,115.59,117.38,113.975,1282125
116.77,116.75,118.07,114.89,1031789
116.7,114.66,117.25,114.06,948338
114.43,111.31,114.605,110.23,1288648
112.23,114.16,114.91,111.4,1259381
113.83,112.22,114.39,109.96,1376490
112.29,112.71,113.18,111.16,1111961
110.53,114.41,114.52,110.01,572471
114.89,116.97,117.38,114.56,1270406
116.045,113.52,116.045,112.82,1108675
113.72,112.92,114.81,112.29,1173646
114.23,115.99,116.43,113.79,652349
115.01,114.78,115.51,114.275,625618
115.36,114.91,115.72,114.5501,577929
114.98,112.79,115.71,112.08,1155376
113.94,114.73,115.47,112.685,942350
115.38,117.77,118.28,114.25,1638354
117.76,118.37,118.86,117.26,1363178
118.46,115.29,118.8,114.9,604952
115.87,113.73,116.14,113.22,750267
113.86,113.8,114.7,113.19,568441
114.67,111.35,115.34,110,776494
111.15,112.13,112.4039,109.69,883628
112.92,110.92,112.92,110.32,1180396
111,112.39,112.58,110.32,1173119
112.51,111.7,114.86,111.66,978830
111.9,111.78,112.02,108.17,982330
113.85,113.66,115.61,112.495,1248130
119.89,122.23,123.86,115.94,3835167
121.35,122.7,124.22,119.81,1617167
122.9,123.45,124.58,122.07,1069315
123.73,126.76,127.68,123.12,1611014
126.73,127.05,127.6,124.73,933763
127.39,125.69,127.54,125.49,960584
126.08,127.37,127.89,125.54,890356
127.9,126.78,127.92,126.435,616864
125.69,127.34,127.5,125.54,862942
127.5,128.21,129.34,127.165,844304
127.6,126.04,128.14,125.44,797537
126.04,129.24,129.42,125.8,1149648
129.77,129.56,130.48,129,839890
129.76,128.21,130.34,128.13,561357
126.61,129.27,129.39,125.83,617174
128.57,127.9,129.74,126.64,555547
128.14,127.34,128.88,127.04,703200
126.11,127.22,129.44,126.05,867307
127.6,127.78,128.92,126.84,545574
128.15,127.71,130.05,127.02,763303
129.04,129.31,130.08,128.34,542613
129.86,129.5,130.33,128.51,464557
129.57,128.81,130.43,128.545,530732
129.55,130.2,130.73,128.36,820545
130.28,130.55,131.69,129.555,461731
130.29,130.03,130.38,128.44,763314
130,130.28,130.98,129.635,463780
130.75,130.94,132.39,130.51,598580
131.42,131.23,132.77,130.78,759045
131.51,131.87,132.25,130.63,655585
131.48,132.08,132.845,130.56,981261
131.07,132.59,132.86,130.43,535198
131.08,131.2,132.275,130.64,716772
132,133.24,133.55,131.1,588401
132.53,129.88,133.59,129.78,689622
130.69,131.56,132.33,130.03,691115
130.26,128.42,130.724,127.54,564272
128.21,127.77,129.36,126.71,926562
127.93,128.34,129.76,127.45,925357
127.74,127.07,128.29,125.62,756597
127.93,129.09,130.07,127.5,782932
127.67,127.22,128.65,126.26,780916
128.07,128.52,129.27,127.71,579233
129.4,129.48,129.58,127.58,339916
129.35,130.44,131.52,129.2553,349445
130.52,129.29,130.85,128.86,592593
129.03,127.34,129.6,127,852137
126.21,127.12,128.95,125.51,950829
128.39,127.27,128.39,125.59,976850
127.63,126.17,128.19,125.88,642251
125.89,122.9,125.9,121.77,1255583
122.65,123.64,124.47,122.36,870093
123.91,124.44,124.99,123.72,569578
124.25,124.92,125.06,123.53,461407
124.43,123.89,124.94,123.56,507775
124.49,123.65,124.49,122.884,588143
124.27,122.57,124.655,122.18,828592
121.93,120.5,121.93,117.65,1905249
121,116.79,121,116.02,1952972
117.31,118.39,119.52,116.92,1144028
117.93,117.21,118.37,115.43,1524759
115.59,111.99,115.68,111.08,3509568
113.91,113.43,114.8499,111.61,2132830
112.94,114.66,115.06,112.14,910134
114.54,114.51,115.57,114.06,748853
114.2,114.79,114.977,113.54,581545
114.5,115.82,117.43,114.5,674077
116.05,113.96,116.08,113.88,502720
113.84,112.9,114.45,112.82,718436
112.18,110.51,112.48,110.42,870474
110.51,110.34,111.23,109.4625,710986
110.35,111.36,111.84,110.01,604281
111,109.81,111,109.145,699193
110.5,109.84,110.96,109.65,1966862
109.75,110.33,110.73,109.65,595490
110.02,110.04,110.48,109.38,552036
110.11,111.78,112.22,110.11,634684
111.81,112.47,113.18,111.66,611771
112.57,111.1,112.79,110.29,735485
111.43,111.61,112.13,111,512013
113.09,113.58,114.69,111.91,1065729
113.54,112.19,114.14,111.96,589502
111.92,113.4,113.65,111.26,593968
113.35,112.15,113.35,112,618475
111.8,110.81,112.145,110,682185
110,110.65,111,109.33,596027
110.36,110.01,111.19,109.23,644894
110.5,110.24,111.44,109.42,373282
109.74,110.83,111.09,109.25,614599
110.44,107.2,110.63,106.1,1719595
106.7,109.09,109.88,106.24,1246427
109.19,108.87,109.82,107.65,773554
109.79,109.69,111.32,108.99,415532
109.7,111.19,111.5,109.7,492323
112.03,110.96,112.49,110.71,520171
110.84,112.86,113.09,110.84,594155
112.64,114.44,114.9,112.56,818205
114.64,115.1,117.57,114.6196,881428
115.41,115.57,115.9,112.79,1666590
114.85,114.54,115.085,113.63,853195
114.5,112.86,115.04,112.71,838661
112.72,112.88,113.93,111.28,822574
113.39,113.03,115.66,112.94,930891
112.4,111.18,112.835,110.42,842716
