Open, Close, High, Low, Volume
114.11,114.14,114.67,114,348767
114.53,114.97,115.2,114.1,522078
115.9,116.13,117.13,115.4,458274
116.14,115.55,116.36,114.54,572779
116.09,116.01,116.5,114.83,363493
116.11,114.2,116.5,114.04,437111
114.37,113.99,114.37,113.1601,295623
113.35,113.93,114.22,112.51,438154
113.9,114.38,114.5399,113.69,226476
114.65,115.49,115.6,114.37,275744
115.76,114.47,116.43,114.38,333903
114.69,109.45,115.13,109.32,1083978
109.53,110.89,111.03,108.55,846182
111.54,111.46,112.35,110.6,473368
111.79,112.99,113.02,111.58,324848
112.44,114.28,114.6,112.27,384120
114.79,112.97,114.79,112.11,539118
112.43,111.97,112.61,111.74,379615
112.32,112.25,112.81,111.6,459635
112.23,113.59,113.79,112.01,459467
113.75,112.67,114.03,112.5,339371
113.07,113.99,114.47,112.36,402249
114.09,114.54,115.17,114.09,502309
115.07,114.5,115.26,114.1,563330
114.48,114.45,115.08,114.25,432281
114.4,115.78,115.99,114.31,416310
116.07,115.78,116.62,115.35,314063
116.28,115.98,116.635,115.63,406564
116.62,115.31,116.63,115.15,442104
114.89,112.42,115.44,111.92,691151
111.65,112.15,113.12,111.51,274701
112.35,114.94,115.32,112.22,554038
114.21,114.68,116.34,113.6401,635592
113.85,112.5,114.42,112.46,503234
111.9,108.73,113.3299,108.7,647049
106.92,109.43,109.85,106.091,818686
109.11,109.12,110.91,108.19,622268
109.24,105.62,110.16,105.53,880970
107.3,109.06,110.63,105.4,1801303
109.56,111.03,111.53,109.28,561480
110.45,110.57,111.41,109.2,639250
110.18,113.98,114.03,110,595764
114.8,116.37,116.48,114.17,757819
116.47,120.56,121.61,116.23,1232352
119.7,116.34,120,116.18,1285587
116.83,115.71,118.11,115.58,865599
116.47,114.91,117.73,114.53,718581
115.49,117.64,118.12,114.7892,435838
118.46,117.26,118.99,116.62,491723
117.59,116.43,118.48,116.41,595737
117.1,116.02,118.36,116,438898
116.06,115.02,116.86,113.78,555970
113.97,115.76,115.99,113.04,442302
115.1,117.25,117.4,114.88,357074
117.65,117.43,118.45,116.12,403615
116.61,117.93,118.49,116.32,731033
117.43,118.33,118.44,116.66,614180
119.28,120.45,120.91,117.76,798700
120.72,120.24,120.99,119.835,715323
121.24,120.51,122.52,120.08,891448
121,123.02,125.07,120.21,1568812
123.77,125.31,126.5,123.77,1430066
125.57,125.91,127.24,125.57,1216390
125.14,124.21,126.39,123.14,1100633
124.72,125.2,126.28,124.72,724184
125.13,124.59,126.5,124.37,693510
122.81,122.65,125.16,122.58,667805
123.06,119.48,124.39,119.43,951003
121.31,121.47,122.81,119.36,1024702
121.57,117.47,122.63,116.74,1117472
117.78,116.4,119.07,115.66,916137
116.93,118.56,119.73,116.32,826890
118.17,115.72,119.54,115.015,743108
116.86,117.17,117.8,115.595,818198
115.16,117.84,118.12,114.011,619823
119.07,119.23,120.32,118.33,645594
118.3,117.69,119.81,117.08,730150
118.12,118.3,120.25,118.12,702677
120.37,120.54,120.98,119.115,627518
120.09,120.39,121.58,120.09,633794
121.33,121.7,123.05,121.12,540703
