Open, Close, High, Low, Volume
52.57,52.63,52.89,52.39,13409537
52.94,53.27,53.39,52.66,12967855
53.27,52.8,53.59,52.695,9179350
53.11,52.76,53.35,52.68,8932195
52.81,53.01,53.6,52.605,9500398
53.11,53.19,53.63,53.06,8218864
53.13,53.235,53.69,53.13,4767932
53.41,53.27,53.5,53.09,5105352
53.41,53.43,53.55,53.16,5350630
53.37,53.03,53.46,52.962,6683787
53.16,53.52,53.57,52.8,11059353
53.3,52.42,53.34,52.18,13514702
52.37,52.605,52.89,51.83,9485360
52.8,52.46,52.88,52.35,10290132
52.56,52.405,52.75,52.04,10678994
52.12,51.62,52.435,51.55,11364533
51.39,51.69,51.73,51.15,10120327
51.89,52.12,52.175,51.64,11932044
51.94,51.87,52.24,51.7801,12785736
51.66,51.66,52.02,51.42,10949200
51.81,51.73,51.9,51.21,8953637
51.9,51.57,53.3,51.385,24440390
51.74,51.91,51.92,51.155,17781634
52.05,53.45,53.49,52.01,21810868
54.6,53.22,54.6,52.81,25041574
53.82,54.25,54.44,53.5,16057850
54.28,54.295,54.77,54.01,15796565
54.49,54.71,54.75,54.34,9476278
53.55,54.11,54.58,53.4,13520089
54.3,53.92,54.5,53.79,11725799
53.99,54.08,54.4199,53.53,12787070
54.49,54.3,54.75,54.01,12415655
54.27,52.95,54.27,52.9,11010228
52.52,50.52,53.19,50.5,17939517
49.44,50.81,51,49.07,28724596
50.63,50.98,51.93,50.5,12432241
50.89,49.02,51.08,49,17535982
49.6,49.87,50.3,48.37,23396257
50.22,50.07,50.66,49.58,12849149
49.91,50.1,50.26,49.17,10013971
49.76,49.51,50.1,49.32,13993637
49.55,49.73,49.78,48.95,16445047
49.68,50.18,50.455,49.67,9745856
49.84,48.91,49.89,48.76,17250580
48.8,47.96,48.86,47.94,18050352
48.25,47.87,48.7,47.78,15095079
48.09,48.29,48.3,47.535,21264386
48.72,49.09,49.15,48.45,16799219
49.02,48.05,49.17,48.05,17226864
48.8,47.72,48.96,47.72,13939690
47.69,47.95,48.6,47.51,18383404
47.83,48.25,48.325,47.76,13110679
48.15,48.71,48.94,48.02,10924872
48.75,48.87,48.88,48.3,9429345
48.54,48.86,49.21,48.46,10564294
48.89,49.01,49.03,48.32,11688989
49.2,49,49.23,48.35,12008520
49.03,48.8,49.26,48.67,9878114
49,48.64,49.26,48.5,10624304
48.93,48.45,49.1,48.355,8976139
48.53,48.3,48.765,48.14,7753110
48.41,48.49,48.775,48.215,11409252
