Open, Close, High, Low, Volume
76.97,76.67,78.21,76.57,564710
77.17,78.07,79.2,77.17,393633
78.1,78.91,79.23,77.81,376269
79.29,80.39,81.12,79,697283
80.31,79.83,80.81,79.67,262892
79.55,79.61,79.815,78.89,306005
79.77,80.78,81.02,79.77,221608
81.11,81.37,81.99,81.03,355336
81.61,81.49,81.6999,80.6,275790
81.51,81.4,82.12,81.08,291161
81.72,83.03,83.11,80.44,553771
82.62,82.23,83.045,81.65,584224
83.04,83.43,84.01,82.81,478079
83.68,81.87,83.96,80.69,858571
81.83,82.38,82.47,81.67,238077
82.76,83.09,83.68,82.34,291511
83.3,82.37,83.36,82.15,312325
82.82,83.98,84.15,82.82,261700
84.27,85.19,85.365,84.17,337220
85.2,84.22,86.24,84.03,426865
84.51,82.73,84.85,82.45,487555
82.82,81.86,82.99,81.61,488563
81.99,82.79,82.83,81.55,404974
82.7,82.5,82.88,82.1,365120
82.73,82.72,82.96,82.165,463606
83.13,82.74,83.43,82.29,490446
83.39,82.32,83.54,81.83,427360
82.35,82.25,82.71,81.52,700212
82.32,83.86,84.79,82.32,640867
83.03,82.42,83.5,81.53,279988
82.8,81.02,83.48,80.8,338714
80.61,81.27,82.06,80.01,392791
79.35,73.4,80,72.89,3043743
72.72,71.88,74.51,71.85,1495861
70.95,72.86,73.48,70.1,1593473
72.43,72.83,73.66,72.16,773609
72.56,71.16,73.04,71.11,1169005
71.52,71.79,72.37,69.75,951834
71.78,72.03,72.87,70.85,626198
71.66,72.03,72.7,71.06,380476
71.3,73.2,73.495,71.24,1434913
73.73,74.62,74.87,73.205,443333
75.12,77.26,78.3799,74.825,1134972
76.73,79.95,81.5,74.76,1358988
79.9,81.74,83.16,79.9,808221
82.25,82.3,84.14,82.035,986719
82.35,83.4,83.41,82.35,414276
83.98,83.85,84.32,82.895,450602
83.51,82.06,84.48,82.05,1014859
82.39,81.43,82.78,81.315,689787
81.34,79.97,81.45,79.42,731471
79.09,81.24,81.44,78.84,547998
80.97,83.2,83.48,80.44,403596
83.69,83.45,84.37,82.88,533836
82.7,83.04,83.48,82.34,480258
83.19,82.39,83.39,82.19,463615
83.12,83.58,84.04,82.68,411420
83.92,82.86,84.285,82.79,545378
83.19,82.57,83.86,82.2863,400607
83.16,82.86,84.1,82.76,334711
82.85,81.88,83.54,81.6601,315938
82,82.42,82.8075,81.31,466360
81.88,81.92,82.4999,81.07,209035
81.85,81.06,82.64,80.88,461125
81.05,81.52,82.19,80.34,446274
80.66,78.34,81.17,78.3,403231
78.75,77.48,79.495,77.45,444694
78.74,80.6,80.74,78.03,747728
81.15,80.71,82.624,80.3,565426
80.76,80.02,80.8,79.295,341273
80.67,81.375,82.08,80.06,561927
81.16,79.78,81.5,79.055,465305
80.25,80.62,81.12,79.78,607312
79.19,80.83,81.06,78.8,605627
81.39,81.46,82.29,80.7,607755
81.07,80.16,81.77,78.97,399629
80.9,79.95,81.15,79.89,384219
81.06,82.04,82.63,80.72,374916
81.22,81.4,81.69,80.58,284587
81.92,82.73,83.3,81.62,217529
83.13,81.69,83.79,81.32,401961
82.55,83.18,83.79,82.22,296713
83.82,82.72,84.43,82.69,466095
83.08,83.43,84.22,83.0303,336372
83.39,83.77,84.16,83.01,412985
83.64,87.57,89.47,82.57,3664484
88.99,88.06,90,87.72,1187359
89.4,90.34,92.17,89.39,1726461
90.74,89.39,91.35,88.83,676109
89.48,88.95,90.36,88.43,442015
88,89.36,89.51,87.61,423785
89.85,88.8,90.38,88.7,326120
88.38,88.72,88.93,87.23,436547
88.47,87.6,89.03,87.415,501789
87.55,88.62,89.29,86.65,406915
88.26,89.96,90.57,87.89,282530
90.2,91.1,91.96,87.86,281365
91.27,92.08,92.61,90.72,895855
92.15,93.47,93.85,92.06,768945
93.48,93.83,94.29,93.32,799753
94,93.05,94.21,92.61,365534
94.19,93.195,95.54,92.97,585169
92.58,93.16,93.2,91.96,427104
93.22,94.58,95.16,93.21,547259
94.42,94.16,94.95,93.62,478412
94.35,95.2,95.42,94.26,262717
95.28,98.55,100.28,95,2867204
99.05,97.46,99.79,97.3,1013869
96.9,96.65,97.055,95.21,636540
96.44,96.97,97.44,96.26,312498
97,97.34,98.53,96.31,460311
97.23,96.91,97.55,96.04,533982
97.42,98.38,98.97,97.235,526033
98.41,97.52,98.46,96.85,490274
98.56,99.91,100.04,98.01,689404
100.16,99.07,100.96,98.78,448633
99.2,100.02,100.09,98.735,617323
100.5,101.61,101.9,100.2,457409
101.68,101.87,102.11,101.01,287200
101.95,102.69,102.99,101.715,682096
102.61,102.79,102.98,101.83,253945
102.64,102.98,104.21,102.35,340804
103.01,101.03,103.41,100.91,516459
101.25,102,102.11,100.9,330269
101.09,102.46,102.89,100.48,524756
101.73,102.62,103.04,101.02,367675
101.39,102.04,102.35,100.885,426257
102.43,102.61,102.77,102.01,325725
102.35,100.45,102.84,100.14,453454
101.31,100.67,101.815,100.17,674744
100.41,98.67,100.49,98.12,653049
99.09,98.41,99.32,98.205,346706
99.03,98.39,100.19,98.3,596297
98.21,98.14,98.98,97.45,602164
98.28,98.57,99.53,97.78,698385
98.13,99.14,99.51,97.38,430205
99.66,99.34,100.325,99.07,148895
100.29,99.81,100.33,98.82,427222
99.71,100.09,100.68,99.3801,450195
100.73,101.62,102.07,100.06,584992
101.58,101.86,102.28,100.82,679729
100.76,102.17,102.34,100.57,472379
102.81,103.67,103.76,101.33,594263
103.55,104.1,105.1,103.55,516020
104.39,102.75,104.49,102.74,490755
102.59,102.38,103.23,101.93,454213
102.68,103.84,103.9,102.04,616013
103.26,104.79,105.04,103.04,697602
104.92,104.66,105.45,104.11,552906
104.14,105.12,105.29,103.23,1054002
104.09,106.99,107.185,102.552,1402070
107.41,109.68,109.82,107.41,1334078
109.64,108.89,111.73,108.78,1631000
109.44,108.37,109.44,107.01,745497
108.89,108.88,110.66,108.52,777933
109.43,110.32,111.38,109.4,715969
109.75,110.62,110.78,107.84,526845
109.88,112.03,112.4,109.72,423268
111.92,113.21,113.38,111.62,431431
113.5,113.54,114.53,112.75,447473
114.07,113.75,114.85,113.47,444882
113.85,113.01,114.14,113,466461
113.03,111.5,113.555,111.45,411697
111.03,110.49,111.5,110.29,401526
111.46,111.18,113.43,110.77,1267450
111.19,111.67,112.5,111.19,577130
110.89,109.67,111.48,108.775,595723
110.22,110.6,111.29,109.84,466792
109.38,109.96,110.51,107.73,573578
110.09,110.21,110.46,109.74,398297
110.5,110.41,110.75,110.33,581475
110.17,110.1,110.59,109.67,341470
109.96,108.81,109.96,108.68,274703
109.04,109.18,109.53,108.57,383911
109.64,110.55,110.76,109.64,356551
110.92,110.05,110.92,109.99,374608
110.51,109.07,110.51,108.99,322443
108.52,108.5,109.16,108.13,421919
108,108.33,108.62,107.43,277119
108.53,109.56,109.85,108.1401,607599
109.81,112.59,112.59,109.6825,743756
112.57,113,113.26,112.08,611424
112.74,114.53,114.685,112.42,467506
114.88,112.61,115.4,112.45,600064
111.92,113.72,113.72,110.59,447624
113.63,112.88,114.07,112.28,374807
113.24,112.11,113.24,111.6,333606
111.82,98.21,112,96.56,5903586
100.07,105.1,105.29,99.32,2088610
105.53,105.37,106.5,103.56,1522551
106,105.37,106,104.81,1059309
105.78,105.34,106.55,104.57,637563
105.04,104.93,106.39,104.35,851025
104.49,105.61,105.75,104.37,504821
106.32,106.73,107.1,105.99,517940
106.38,106.67,107.66,105.9,925522
106.69,106.89,108.26,106.03,578150
106.73,104.89,107.28,104.85,405537
105.75,104,107.02,103.4,538425
103.77,103.7,105.08,102.76,429770
104.1,104.96,106.13,103.51,473256
104.79,105.49,106.12,104.3299,580064
104.81,104.29,105.3,103.86,539272
104.2,102.8,104.75,101.07,385899
102.32,102.28,103.31,101.73,868003
101.61,99.54,102.16,99.28,858008
98.84,96.89,100.39,96.77,896640
97.96,95.25,97.96,93.88,875251
95.77,96.97,97.62,95.77,406161
98.22,100.29,100.41,97.175,454062
99.51,100.07,101.04,99.27,479113
99.79,97.97,100.44,97.65,434334
98.22,95.82,98.8,95.5301,342926
96.61,97.1,97.28,95.5535,559486
94.01,95.07,95.855,92.16,680309
94.84,91.15,96.08,90.59,739035
91.51,91.06,92.695,89.8315,524801
90.34,88.42,91.12,87.95,1006767
89.78,90.04,90.93,87.625,1239866
86.4,85.65,86.4,81.39,4470303
85.9,82.02,87.85,81.39,1681774
81.98,84.89,86,81.85,1007688
86,85.15,86.69,82.84,879384
85.05,84.12,86.38,83.405,612984
84,84.65,86.065,83.22,666120
85.25,87.18,87.25,84.22,612245
86.67,87.5,87.53,86.1,585745
86.07,87.06,87.38,85.46,678637
87.3,83.99,87.3,82.18,612769
84.02,83.12,85.84,82.68,523624
83.6,82.85,84.76,81.99,412638
81.89,86.05,86.25,81.89,740090
86.23,86.99,87.34,84.81,598162
86.39,87.33,87.68,85.265,724088
86.11,84.95,86.3,84.29,1077437
85.16,86.06,86.7,85.09,382531
84.86,85.73,86.68,84.86,220463
86.49,88.265,88.48,86.44,577641
88.05,88.21,88.78,87.08,498744
88.72,91.79,92.13,88.015,854467
91.11,92.66,93.04,91.11,1240461
92.25,94.59,95.02,91.79,978310
96.5,92.83,96.5,92.085,1187174
92.23,88.97,92.23,88.505,1147035
86.88,88.27,88.37,84.88,1230488
88.28,84.56,89.07,84.15,816931
84.7,82.43,85,81.43,820735
84.08,80.31,84.19,79.84,868995
81.7,79.15,82.22,78.855,1282501
79.88,75.28,80.98,74.95,1265464
74.38,73.26,75.924,72.91,1290288
73.27,72.03,74.05,71.29,964571
72.58,71.09,73.31,70.54,1343827
71.41,71.05,73.27,70.34,1801461
70.76,69.52,71.6,68.6,1114948
69.41,68.16,70.45,67.46,1366403
67.64,66.33,68.033,65.74,533000
66.67,69.97,70.07,65.45,976434
68.81,70.13,70.26,67.29,1008391
70.21,68.36,70.6795,67.76,958217
68.77,69.92,70.15,68.4,697368
69.04,70.645,71.7,68.2,600025
70.2,69.44,70.64,67.97,794037
70.65,71.36,73.45,70.395,1035984
71.44,70.66,72.25,69.97,1712250
71.2,71,71.63,69.62,1867403
71.72,72.23,74.13,70.85,1040821
72.27,73.05,73.45,71.71,714626
72.68,73.42,73.64,72.36,453297
72.82,72.53,73.86,72.26,436409
72.66,71.15,72.78,70.53,687987
71.34,71.87,72.64,70.665,641228
71.41,74.25,74.61,71.41,749855
74.83,75.705,76.35,74.47,674497
74.39,71.82,75.22,71.45,1128672
72.24,70.2,72.46,70.05,1088269
70.09,71,71.64,69.91,666675
72.21,68.27,75.23,65.77,6129391
67.26,67.06,67.579,65.09,2899534
67.53,68.95,70.16,67.4929,1517484
69.59,68.21,69.59,67.92,799994
68.47,69.1,69.83,67.82,759257
69.08,70.08,70.09,68.02,1221668
70.03,71.17,71.21,69.345,662459
71.46,72.72,72.78,71.42,850096
72.5,72.73,73.01,72.09,663844
72.34,73.21,73.3,71.72,626960
72.76,73.39,73.41,71.6,792395
74.1,73.85,74.3,73.35,581843
74.45,70.53,74.8986,70.42,1451239
70.83,73.39,73.45,70.83,1081163
73.17,71.77,73.47,71.69,753952
72.3,74.9,75,72.3,910183
74.45,74.67,75.74,74.25,783324
74.96,75.1,75.74,73.99,739859
74.82,73.6,75.31,73.0975,1135765
72.73,73.36,74.12,72.26,1634870
73.45,78.06,80.46,73.45,4583347
76.33,74.27,77.57,73.2,7553382
73.47,75.31,76.21,72.23,4793996
75.25,73.27,75.25,71.19,3771412
72.76,72.45,74.109,71.16,3010284
72,73.63,73.98,72,2142793
73.04,73.05,73.45,72.255,2141898
72.52,69.01,72.66,68.61,3367872
68.79,69.71,69.74,68.09,1602678
68.9,70.11,70.27,68.37,2024854
69.7,71.11,71.34,69.55,1728162
71.1,71.79,72.33,70.76,1775291
71.79,72.45,72.68,71.596,2219189
72.15,72.26,72.71,72,1578144
72.27,71.14,72.62,71,1128057
71.33,72.12,72.35,71.03,1251512
72.5713,72.34,72.79,71.98,1755595
71.79,72.48,73.01,71,2948185
72.3,73.86,74.51,72,1936818
73.36,70.05,73.8,69.63,2154478
70,70.03,70.7,69.31,1340506
70.6,72.18,72.33,70.26,1541334
72.35,71.99,73.11,71.74,1485232
71.67,72.95,73.02,71.42,1918011
73.2,73.73,74.43,72.05,2267199
74.13,74.68,74.77,73.42,829822
74.6,74.76,75.42,74.185,850480
75.06,74.99,75.49,74.18,979483
75.07,76.08,76.09,74.8,1060919
76.4,76.19,76.8,76.04,934567
76,75.41,76.1,75.05,1018486
74.84,73.96,74.905,73.85,897253
74,74.36,74.53,73.48,763684
74.36,74.94,74.98,73.815,724893
75.65,76.79,77.02,75.48,1047146
76.62,75.67,76.83,75.15,773339
75.78,76.97,76.99,75.52,912873
77.17,77.13,77.83,76.69,1237089
77.47,77.94,78.35,77.04,1299903
77.5,76.52,77.64,76.37,669291
76.62,76.73,76.925,76.2,874689
76.19,76.56,77.31,75.44,981349
77.25,71.42,77.25,70.24,4974283
71.65,73.23,73.28,71.6,2663533
73.18,73.85,74.48,72.26,1967898
73.8,74.06,74.75,73.63,1569273
73.55,75.11,75.87,73.45,2847271
74.02,74.98,75.84,73.82,9532910
75.41,75.13,75.88,74.69,3966193
73.56,74.26,74.6,72.305,2897616
73.51,72.9,73.75,72.24,4451299
72.36,72.25,72.88,71.94,1973725
71.53,71.52,71.7,69.85,2431601
71.43,73.04,73.04,70.785,2089030
71.23,70.48,71.95,69.77,3430473
70.65,69.54,70.65,69.28,2521704
68.91,68.39,68.97,67.41,2313685
68.64,68.34,69.21,68.21,1474899
67.42,65.96,67.79,65.75,2473242
65.49,64.36,65.73,64.1,1701303
64.86,64.63,65.495,64.01,1621895
64.18,65.31,65.42,64.01,1946509
64.71,63.37,64.71,62.6669,2020230
63.9,65.46,65.57,63.78,2538731
65.71,65.97,66.39,65.5,1554262
65.65,64.32,65.65,63.3,2042768
64.14,63.7,64.83,63.43,925615
63,62.38,63.1,62.22,1662973
62.35,63.31,63.57,61.95,1960886
63.98,65.95,66.01,63.98,1423884
66.27,67.36,67.4,65.5,1817691
67.43,67.21,68.105,66.77,1447504
67.58,67.36,68,66.94,1159998
67.95,68.01,68.75,67.62,961300
68.55,68.45,69.46,68.225,1478003
68.22,68.21,68.525,67.8,904259
68.46,69.05,69.07,67.85,1134872
