Open, Close, High, Low, Volume
189.53,189.09,191.26,188.28,374444
188.58,184.58,190.68,183.59,554760
185.89,184.24,187.01,182.76,440832
184.59,182.33,187.49,179.98,627289
181.78,177.78,182.24,176.925,394421
177.7,176.58,182.26,175.9,608801
176.49,173.63,178.1,173.41,262008
173.78,181.19,181.21,173.43,401019
178.87,185.21,185.21,177.06,384624
186.43,184.78,187.29,183.66,337277
185.4,187.615,188.55,185.4,284241
186.08,183.19,186.77,182.57,553376
182.5,176.645,182.5,174.95,719114
178.57,179.82,181.36,178.3,658962
180.47,187.3,188.21,180.47,543458
189.17,192.47,192.495,188.66,604173
193.67,194.85,197.16,192.71,426995
193.75,196.98,197.07,192.68,372181
195.85,198.24,198.36,195.42,245517
196.46,195.79,197.66,195.23,377649
196.29,197.48,198.83,195.67,386948
198.4,198.62,201.58,197.32,683348
198.08,202.25,202.46,198.08,484638
203.27,206.54,207.58,202.63,639095
205.59,203.31,205.59,202.04,662757
224,229.25,229.46,220.29,2263382
229.38,223.665,230.18,223.43,962943
225,229,229.99,223.85,869876
227.94,228.39,229.73,226.82,692574
230.64,229.26,231.89,227.85,627582
229.06,231.52,232.325,226.2,707710
231.2,231.36,231.7,228.04,564993
231.62,230.6499,233,229.78,603451
230.8,230.245,232.41,228.58,664611
230.31,232.76,233.27,230.26,354251
231.45,232.62,233.48,231.26,475993
231,229.88,231.55,228.86,434118
228.75,230.65,230.65,228.06,441072
232.17,232.39,233,231.58,315486
234.82,233.92,234.82,232.93,486517
234.69,234.26,235.85,233.47,448745
232.87,231.48,232.88,231.48,585056
233.44,234.72,234.84,231.49,514153
234.25,234.09,234.53,232.36,354524
233.05,234.63,234.91,232.218,379928
235.19,235.41,236.3,234.26,263972
237.37,239.09,240.975,237.37,596638
238.31,238.55,239.39,236.78,593640
237.54,241.65,242.1,237.54,353165
240.78,242.21,242.53,240.53,574311
244.42,244.83,246.43,244.17,628494
244.81,240.9,245.94,239.45,487717
240.54,241.18,242.81,239.55,449348
241.23,239.63,241.69,238.85,396500
239.38,238.38,239.935,237.1911,398468
237.12,238.55,239.63,236.53,402347
238.77,239.68,240.32,238,430808
240.72,241.01,241.44,239.06,413332
241.56,241.34,242.1,238,485254
241.18,242.49,242.59,239.86,409007
244.55,244.87,245.13,243.19,445651
244.28,245.24,246.375,242.94,435263
246,246.54,247.29,245.65,319581
246.69,245.25,247.665,243.58,383225
244.26,250.23,250.54,244.26,301870
249.54,245.38,250.6,245.23,347417
245.78,246.22,247.55,243.92,374205
248.1,248.77,249.7,247,347095
249.15,246.73,249.54,244.3401,361620
247.3,248.31,249.06,246.32,280414
250.02,251.71,252.24,249.34,307720
253.31,252.89,255.21,251.905,205230
252.31,250.62,253.13,250.12,331267
252.08,250.43,252.77,250.12,412514
250.95,248.39,250.95,248.34,448917
248.54,252.33,253.26,248.54,324779
251.99,253.07,253.3,248.91,256226
251.77,249.41,253.35,248.54,575962
249.41,250.68,252.23,248.68,339340
250.77,250.77,251.26,249.25,253385
251.71,250.97,254.96,250.445,352148
250.92,248.93,251.63,248.14,305588
250.82,240.76,251.68,239.7091,643728
241.42,238.08,242.48,235.8,769323
239.01,239.62,241.73,236.58,486267
241.05,241,243.2,238.725,528890
202.55,211.3,213.87,199.31,3320746
210.98,207.54,211.9,206.78,1445715
207.23,213.39,214.41,206.86,1124569
214.04,214.23,214.35,211.93,472160
214.47,212.04,215.25,211.75,382808
212.86,213.51,214.02,211.79,378318
213.15,211.52,214.9,210.93,325065
211.5,215.99,216.29,211.16,400789
216.4,218.14,220.68,216.4,390255
214.25,217.74,218.13,213.86,340431
215.44,213.21,216.72,211.07,576406
213.35,213.67,215.13,211.15,437487
211.69,216.77,217.07,209.92,459810
215.78,217,218.38,212.18,814293
212.97,209.14,212.97,208.72,500274
210.53,211.19,214.19,210.53,452489
209.15,207.83,209.86,203.76,823045
209.02,210.11,211.41,208,518592
207.88,208.2,210.58,207.28,449766
207.56,208.25,208.97,206.11,352046
210.03,206.15,210.86,205.83,536560
206.08,207.18,208.3937,204.28,398937
205.67,205.07,206.35,203.37,504054
205.74,206.28,208.39,205.74,380016
