Open, Close, High, Low, Volume
41.21,39.96,41.22,39.735,4571653
39.27,38.79,39.99,38.76,5360475
38.73,38.21,40.12,37.95,5616340
38.25,38.73,39.81,38.2,4626844
38.42,36.57,39.175,36.13,7381619
36.52,36.69,38.36,36.15,7754656
36.92,35.91,37.61,35.86,7539056
35.68,35.02,36.35,34.75,3643256
35.73,36.92,37,33.83,6848087
35.92,36.89,36.9,35.39,4033815
37.285,36.69,37.57,36.2,4792832
38.04,36.75,38.09,35.82,6011635
36.15,38.229,38.87,36.02,5676468
37,35.755,37.16,35.53,6937696
36.6,37.14,37.42,36.265,5452292
37.32,38.495,38.72,37.16,5312464
39.26,38.1,39.43,37.15,6576082
38.36,39.735,41.585,38.35,8994720
39.52,39.77,40.25,38.88,4036849
39.56,39.995,40.5258,38.83,4479803
37.89,38.075,38.175,36.16,12172873
38.06,37.595,38.24,36.96,5777192
37.82,37.83,38.74,37.66,4135452
37.25,36.48,37.39,35.02,9073890
36.55,39.12,39.2098,36.26,8117796
38.97,37.465,38.97,37.43,5638558
37.93,37.6,38.35,37.19,4195909
38.67,40.23,41.34,38.55,13550185
45.5,42.955,47.95,41.5285,35510220
42.03,44.02,44.15,41.6,11024007
44,42.65,44.5296,42.46,5843607
43.17,43.82,43.99,42.48,5798079
43.81,45.01,45.025,43.5,6230835
44.73,47.02,47.28,44.73,7890746
47.06,47.87,47.89,46.1,5013260
47.44,47.41,48.25,47.135,5263195
47.42,48.005,48.68,47.41,4560988
47.49,45.835,47.5,45.45,6619127
44.45,46.675,46.7187,44.05,6624220
46.78,45.925,46.88,45.61,3512172
46.46,47.3,47.825,46.3457,4005276
48.68,47.7149,48.75,47.54,5731189
47.56,48.075,48.41,47.465,4804124
48.46,47.625,48.46,47.375,4111463
48.42,48.01,48.99,47.66,4048766
47.95,48.44,49.19,47.91,3870249
48.38,47.19,48.5,47.05,3320759
48.06,49.49,49.5516,47.44,4500986
50.9,51.36,52.24,50.76,6892127
51.19,50.97,51.6,50.5,3448409
50.83,48.51,51.37,48.5,6101015
48.15,50.3,50.52,46.66,9653230
51.02,51.66,51.945,50.59,6830952
52.27,52.62,53.4,51.58,7479754
52,50.74,52.24,50.48,5720391
50.36,48.12,50.36,48.1,7266993
47.86,46.99,47.86,45.41,8336020
46,47.49,47.56,45.73,5050877
47.75,49.64,50,47.66,5573335
49.69,49.16,50.56,48.75,4372920
49.14,49.01,49.47,48.07,5223838
48.6,47.59,48.72,47.15,7150686
48.6,48.1,48.69,47.97,3604320
48.19,48.29,48.6699,47.8281,3338194
48.72,47.9,48.835,47.72,4010951
47.84,47.17,48.1711,46.56,4897491
47.87,51.78,52.27,47.87,13714579
51.25,48.41,51.45,48.37,8011598
48.25,47.9,48.85,47.09,4158687
48.19,47.07,48.93,46.865,5757672
47.23,45.38,47.45,44.94,8445351
44.92,45.75,46.28,44.76,5432104
46.28,48.06,48.6,46.28,7505790
48.93,49.3,49.4602,48.35,3711058
49.23,50.39,50.835,48.84,5598084
51.5,52,53.43,51.402,7549240
51.41,51.38,51.87,50.75,3955099
51.77,52.05,52.35,51.29,3511457
51.42,51.59,51.76,50.3616,3857309
51.88,50.105,51.88,49.995,4467700
50.08,50.7,50.91,49.6,4060710
50.89,50.83,51.6,50.43,2737839
51.63,51.82,52.2799,51.27,3865557
52.5,51.86,52.74,51.475,4417623
53.16,54.29,54.67,52.87,7904737
55,54.46,55.54,53.34,6169421
54.47,55.4,55.44,53.9,5029710
54.96,54.21,55.22,53.52,4285372
54.37,54.4,54.75,53.42,3443567
54.505,53.96,54.505,52.8,3544985
54.5,52.95,54.65,52.53,3511766
49.95,50.93,50.98,48.8,9420038
50.61,50.46,51.54,50.31,7494911
49.3,51.18,51.54,47.81,17010673
51.59,50.79,53.04,50.63,7140562
50.94,49.75,51.27,49.57,5452634
50.11,50.78,50.94,49.68,3536449
48.84,49.54,49.87,48.28,4203167
48.71,47.22,49.48,46.65,6312494
46.94,46.69,47.95,46.615,4533079
45.97,46.42,46.58,44.57,5879804
46.02,45.86,46.13,44.22,4447119
44.1,43,44.18,42.84,6298972
43.34,44.61,45.11,43.34,4940606
44.1,45.49,45.945,43.99,4103595
44.82,45.09,45.4,44.35,3073235
44.35,44.61,45.81,43.43,4119686
43.58,41.97,44.16,41.66,8347334
42.55,43.45,43.72,42.55,3907569
42.97,42.2,43.11,41.87,2899668
41.29,41.49,41.6,40.23,4024058
41.73,40.98,42.11,40.77,3565263
41.24,39.58,41.57,39.555,4280596
39.07,39.67,39.95,38.75,4897443
39.92,39.45,40.91,39.08,3484348
38.69,37.22,39.6713,37.1701,6480401
37.34,37.07,37.97,36.825,5010852
37.52,39.12,39.18,37.42,4767866
39.45,37.9,39.99,37.795,4594703
38.18,38,38.4676,37.38,4503327
37.77,36.94,38.18,36.81,5388609
37.47,37.985,38.73,37.47,4418866
39.01,38.41,39.09,38.08,3499335
37.71,36.23,37.86,35.97,7598411
36.43,37.34,37.36,36.06,13787547
