Open, Close, High, Low, Volume
59.45,59.87,60.65,59.35,22999190
60.44,60.95,61.13,60.37,16194500
61.2,60.34,61.27,60.28,12845586
60.88,60.14,61.07,60.06,12277867
60.68,61.62,62.115,60.68,15877132
61.99,61.55,62.24,61.19,8801014
61.495,61.11,61.72,60.8,6529588
61.1,60.95,61.24,60.66,5886751
61.03,61.28,61.31,60.91,6534891
61.46,60.74,61.58,60.67,6966253
61.04,61.09,61.355,60.7,11296382
61.22,61.55,61.77,61.1,12043454
61.98,62.32,63.05,61.91,14192524
62.76,62.69,62.81,62.085,10323066
62.66,62,62.73,61.94,12361731
62.3,62.26,62.77,62.07,13014780
62.48,63.105,63.4,62.36,14220225
63.65,63.01,63.669,62.69,16610597
63.2,62.55,63.4,62.05,20906721
62.79,62.485,63.15,62.175,14442747
62.85,63.86,64.04,62.49,19513214
63.87,63.95,64.31,63.86,12888002
64.15,64.22,64.2601,63.83,13144672
64,64.75,64.75,63.97,9504300
64.31,64.49,64.85,64.2249,9748560
64.95,65.53,65.63,64.8,13224646
65.7,65.66,65.85,65.4,12209498
65.73,65.92,66.04,65.25,10344252
65.78,65.81,66.31,65.66,10620479
65.43,65.29,65.93,65.28,11883912
65.4,65.79,66.1,65.16,13455507
65.37,65.51,66.09,65.06,12269605
65.33,64,65.5254,63.83,14659587
58.7,58.15,59.89,57.5,91404125
56.905,57.26,58.5,55.87,73576999
56.94,57.54,58.115,56.75,40778541
57.33,55.42,57.44,55.35,35345878
56.14,56.14,56.53,54.72,41931748
56.36,56.5,57.12,55.88,17161169
56.06,58.01,58.09,55.95,19921757
57.9,59.56,59.6,57.8,19202248
59.82,60.03,60.1,59.15,19551378
59.67,59.97,60.43,59.67,15222409
59.86,59.95,61.2651,59.78,15620862
59.86,59.76,60.49,59.73,14735367
59.88,58.82,60.17,58.68,14474632
59.07,59.18,59.24,58.35,18296903
59.75,59.99,60,58.95,13459584
60.03,59.22,60.48,59.22,12672114
59.45,58.39,59.82,58.38,12398640
58.25,57.28,58.94,57.06,23665678
56.92,57.41,57.615,56.42,19414603
56.81,57.5731,57.97,56.59,15821922
57.71,57.08,57.87,56.64,20207770
56.4,56.6,56.735,56.01,20073417
56.75,56.72,57.02,56.23,13561054
57.16,58.24,58.27,57,13121552
58.27,58.03,58.56,57.96,10223177
58.39,57.56,58.42,57.42,11176775
57.86,56.64,57.9,56.45,9996753
56.77,56.84,57.12,56.24,8292912
56.99,55.87,57.17,55.87,24625172
55.88,55.48,55.99,54.97,14698797
55.77,54.91,55.89,54.655,23805123
55.02,54.79,55.58,54.54,14557550
54.21,52.53,54.28,52.175,27883129
52.72,50.98,52.94,50.94,25488237
51.95,52.3,52.55,51.52,21874263
52.4,51.11,52.8,50.69,18492206
51.16,51.48,51.93,50.945,19459611
52.06,52.41,52.7515,51.72,13441055
52.37,51.33,52.4,50.415,18198440
51.72,52.07,52.19,51.055,13626637
51.13,52.9,53.04,51.01,13395786
53.34,53.26,53.96,53.05,13248790
52.65,52.21,52.92,51.9607,20157477
52.49,52.27,53.33,52.16,12381694
52.99,52.6,53.06,52.12,11342915
52.32,51.92,52.47,51.72,12559980
52.16,52.69,53.27,52.03,16692531
52.01,50.9,52.3,50.81,27207387
50.59,50.81,51.335,50.31,29098121
50.95,50.575,51.16,50.49,22043913
50.78,50.39,50.97,50.26,18633195
50.6,51.55,51.61,50.49,19972767
51.93,52.57,52.82,50.9773,26355621
52.5501,52.61,52.84,52.175,13532606
52.95,52.5,53.745,52.18,20009249
52.44,53.11,53.49,51.925,16642357
52.99,52.44,53.11,52.255,13740384
52.28,52.37,52.94,52.205,10898115
52.56,51.97,53.05,51.97,11107449
51.76,52.56,52.6,51.6,11707139
52.38,52.19,52.87,52.06,13557541
51.62,51.54,51.79,50.81,15147797
51.17,52.405,52.9,51.07,13219237
52.97,52.63,52.99,52.38,11607569
52.7,53.22,53.71,52.5901,15556864
53.45,53.755,53.975,53.35,13628487
54.13,54.65,54.73,53.63,16369539
54.69,54.45,54.925,54.265,11473426
54.78,54.49,54.82,54.33,9870600
54.43,54.74,55.28,54.375,11454415
54.7,55.055,55.32,54.56,12465064
54.4,54.22,58.32,54.03,19093670
54.15,53.7,54.42,53.685,17652731
54.08,54.55,54.63,54.07,9271656
54.63,55.27,55.6456,54.44,13629264
55.03,56.17,56.18,54.625,20345858
55.87,54.67,55.9,54.435,19817318
54.6,54.91,54.99,54.53,10312206
54.04,52.96,54.26,52.64,25462396
53.66,54.24,54.4392,53.38,12040537
54.21,53.98,54.38,53.795,11013104
54.56,54.68,55.02,54.275,10997906
54.79,54.82,55.17,54.6,8112587
54.61,54.52,54.93,54.29,9107934
54.72,55.59,55.63,54.66,12731642
55.77,55.59,55.99,55.25,11138004
55.56,55.66,55.77,54.98,9869054
55.79,55.51,56.11,55.5,9590515
55.64,55.37,55.95,55.09,10904830
55.39,55.18,55.925,55.14,11758056
55.33,54.76,55.35,54.48,13302929
54.55,54.99,55.37,54.38,20651381
54.51,55.08,55.23,54.43,12489350
54.68,55.09,55.23,54.6,11685390
55.46,54.5,55.59,54.44,10404892
54.25,54.38,54.76,53.88,13707767
55.11,53.92,55.11,53.78,15568432
53.82,53.9,54.14,53.1,17410363
53.9,53.42,53.94,53.02,11855704
53.24,53.28,53.9363,53.06,16784367
53.55,53.63,53.86,53.015,11212542
55.62,55.48,57.12,55.41,37797423
55.2,56.3,56.38,55.07,18215841
56.43,55.61,56.63,55.43,9758393
55.92,55.25,56.08,55.05,10865237
55.3,55.87,56.1299,55.03,9941079
56.19,56.78,56.965,56.01,13015032
57.06,56.61,57.08,56.34,13651066
56.4,56.06,56.75,55.98,12941268
56.46,56.02,56.48,55.6,14252931
54.74,55.34,55.79,53.63,30107597
55.74,56.995,57.23,55.631,21601797
56.95,56.58,57.03,56.43,15522943
56.26,56.59,56.82,56.14,14956626
56.26,56.34,56.88,56.02,15513479
56.07,56.42,56.655,55.85,13826921
56.39,58.01,58.09,56.3,20140588
58.12,58.3,58.69,57.85,18122069
58.1,58.23,58.5,57.85,13165120
58.47,58.3,58.73,58.195,10963657
58.38,58.62,58.9,58.16,12816685
58.83,58.4,59.265,58.3,13661168
58.61,57.28,58.71,57.2,17784616
57.96,57.67,58.28,57.21,16869983
57.08,58.29,58.445,57.08,11181888
58.07,58.81,58.93,58.03,10404911
58.58,58.89,59.03,58.193,11061581
58.94,58.84,59.155,58.7,10254908
58.76,59.19,59.5,58.76,11072335
58.65,58.44,58.898,58.4,12710457
57.38,58.04,58.42,57.38,12310132
57.66,57.635,58.11,57.56,11946141
57.67,58.07,58.26,57.67,10723189
57.68,57.99,58.245,57.65,12252762
58.14,58.68,58.81,58.05,13584764
58.51,58.86,59.035,58.51,10742391
58.81,59.04,59.21,58.665,9176485
59,58.95,59.525,58.94,11440208
