Open, Close, High, Low, Volume
167.3,163.92,167.875,162.92,582377
164.34,164.48,165.11,163.22,620108
165.3,165.36,166,164.73,501519
165.61,166.11,166.87,164.7,409157
166.26,164.87,166.7,164.77,311248
165.4,169.59,170.79,165.34,868913
170.05,171.65,172.3,169.03,542858
171.71,170.17,173.2,169.77,334966
169.94,170.065,170.87,169.64,234034
170.28,170.66,170.76,169.16,190802
170.53,168.7,171.6753,168.255,246409
169.17,167.97,169.95,167,438622
168.28,168.91,169.5475,167.9,717019
169.91,168.81,170.25,168.1,476123
168.88,168.46,169.32,167.73,395179
168.6,169,170.43,167.905,557001
169.56,168.3,169.83,167.94,840846
167.04,166.215,167.115,164.33,548471
166.86,169.03,169.3,164.52,710193
169.81,172.76,172.99,168.49,682505
173,168.95,173.195,167.64,513392
169.78,171.37,172.3,168.54,604326
171.92,167.37,172.05,166.66,745684
167.36,167.51,167.81,165.5,691061
166.95,166.65,166.95,163.77,805323
176.155,171.98,177,170.4,1682301
173.68,179.65,181.89,173.48,1613413
180.01,183.13,187.47,179.02,2008273
185.74,186.01,186.95,184.5,1071092
186.37,182.51,186.37,182.2,667121
181.72,182.06,183.09,178.41,581741
183,181.42,183.6,180.45,606699
180.62,182.515,184.5,180.41,548973
181.27,178.075,181.59,177.26,607244
176.97,171.78,179.11,171.53,956398
168.58,173.81,174.44,167.51,935432
173.19,171.5,176.46,171.47,600279
170.99,164.95,171,164.94,621272
168.28,166.95,171.4,163.63,1255436
169.03,171.04,172.49,168.03,645639
170.4,170.16,171.67,168.84,430467
168.98,171.23,172.6599,168.08,550728
172.81,176.74,177.59,171.46,604626
176.46,172.7,180,172.16,1030925
172.3,168.48,173.34,167.77,625018
168.85,166.29,169.22,166.26,675080
166.64,168.48,168.65,166.25,473654
169.69,171.4,172.5545,168.48,496517
171.44,168.06,171.64,166.285,744334
168.67,165.2,169.54,165.2,377470
165.25,162.42,166.3363,161.911,708233
160.7,160.54,163.915,158.62,1109206
159.66,158.6,159.66,156.37,821105
157.96,158.55,160.198,157.88,579358
159.45,161.43,161.9,159.45,603755
160.75,158.59,161.75,157.71,527893
159.12,158.75,159.67,156.89,503427
159.85,164.1,164.24,158.47,725412
164.76,163.33,165.14,162.96,374566
164.01,162.71,164.61,162.1,320118
163.86,160.15,163.86,159.86,367281
160.15,160.55,160.87,158.98,456138
160.87,159.83,162.69,159.77,486978
158.9,157.93,159,156.55,753709
158.91,157.27,159.07,156.0184,795375
157.8,158.25,159.01,157.12,506305
157.07,155.48,158.38,155.47,529962
155.89,152.55,156,152.4,897757
153.98,153.44,154.9,152.46,494277
153.41,152.73,154.33,151.5,569504
152.8,151.17,153.45,150.22,577143
152.08,153.13,154.19,151.53,308785
152.55,150.42,152.885,148.62,726396
150.91,151.29,152.12,149.97,359180
