Open, Close, High, Low, Volume
75.63,75.05,76.1,74.85,231916
75.21,75.1,75.82,74.74,310627
74.7,74.68,75.04,74.41,287281
74.69,73.08,74.97,72.87,244407
73.43,73.49,74.15,72.987,235631
73.59,73.09,74.8165,72.73,266149
72.72,71.67,73.12,71.5867,440582
71.62,71.19,73.36,71.19,470661
70.64,69.61,70.75,69.1169,297445
69.59,72.07,72.07,68.87,436838
71.11,72.93,72.93,70.74,212059
73.1,72.96,73.78,72.74,330315
73.16,73.58,73.775,72.665,240434
72.85,72.39,73.1,71.9,203329
72.2,71.35,72.71,71.11,286845
71.94,72.415,72.645,71.82,244104
72.43,72.58,73.25,72.1698,224392
72.65,71.82,72.77,71.37,238611
72.52,72.285,72.5777,72,418510
72.15,73.045,73.14,71.97,414054
72.89,72.6,73.33,72.16,258724
72.3,73.21,73.22,72.11,216096
73.19,73.82,73.95,73.19,196681
74,74.88,74.96,73.76,261204
74.4,74.97,75.58,74.4,265459
75.26,75.63,75.92,75.01,165896
75.52,74.63,76.12,74.45,138786
74.71,75.455,75.54,74.58,161590
75.1,74.68,75.235,74.21,335919
75.09,74.88,75.4,74.59,443111
74.72,75.09,75.2,74.3901,179052
75.02,74.64,75.26,74.47,152061
75.53,77.08,77.76,75.11,495336
76.7,76.92,77.015,76.185,267316
76.81,77.73,77.75,76.73,208058
77.58,78.58,78.62,77.21,265395
78.89,79.6,79.63,78.3075,251686
79.4,79.86,79.955,79.0987,250840
79.72,80.81,81,79.72,334140
80.43,80.14,80.88,79.42,259432
80.3,80.26,80.32,79.72,190916
80.41,80.56,80.78,80.24,274416
80.89,81.495,81.607,80.82,183571
81.23,80.91,81.73,80.65,219974
81.36,81.51,81.96,81.24,269589
81.89,82.59,82.61,81.59,187625
82.59,82.41,82.68,81.96,177813
82.72,82.55,82.96,82.28,215966
82.65,81.74,82.93,80.95,650545
81.44,82.25,82.57,81.44,258453
82.78,83.05,83.425,82.61,284039
83.21,83.65,84.26,83.18,466115
84.15,84.34,84.65,83.84,329096
84.48,83.9,84.6,83.2,269016
84.15,83.79,84.15,83.405,218111
83.73,83.09,84.17,82.7,235016
83.13,82.77,83.13,82.21,238101
82.59,82.77,82.93,82.3055,215754
83.23,83,83.42,82.865,401313
83.26,83.41,83.72,82.99,318643
83.3,82.84,83.49,82.63,311816
82.88,83.32,83.64,82.25,246825
83.88,83.65,84.47,83.49,245907
83.77,84.08,84.41,83.67,202585
84,83.08,84.21,82.95,139563
83,82.79,83.66,82.59,228297
82.42,83.93,84.14,82.26,154426
83.62,83.53,84.66,83.385,335793
83.53,83.97,84.47,83.42,337732
84.32,84.07,84.9,83.56,170024
84.17,84.61,84.86,84.11,180938
84.84,84.6,85.125,83.84,305689
