Open, Close, High, Low, Volume
64,64.32,64.48,63.95,1158809
64.49,62.56,64.62,62.55,1273833
63.92,63.1,64.1,62.64,2418738
63.5,63.89,64.09,63.5,790610
63.83,63.39,64.19,63.15,880671
63.55,63.73,63.83,63.1,813279
64.09,63.81,64.24,63.73,561961
63.81,63.73,63.9625,63.16,612095
63.84,63.25,64.14,63.15,524382
63.3,63.08,63.49,62.96,590737
63.23,63.2,63.27,62.74,942580
63.3,63.22,63.66,62.85,790744
63.65,64.7,64.8,63.41,1841709
64.96,65.37,66,64.75,1732438
65.68,67.02,67.24,65.5,1825643
67.25,67.31,67.82,66.84,1521208
67.39,67.73,68.29,67.13,1443063
67.58,67.39,68.1,67.26,1643892
67.52,67.41,67.72,67.05,968601
67.74,68.26,68.26,67.22,916294
68.71,69.19,69.29,68.11,1014036
69.41,68.68,69.97,68.39,894871
69.19,69.27,69.5,68.75,1013498
69.14,68.04,69.39,67.87,1741449
68.28,69.16,69.3,68.18,1086134
69.25,68.79,69.355,68.26,905858
68.83,68.41,68.83,68.1,1291271
68.39,68.78,69.31,68.39,789069
68.96,69.1,69.68,68.43,741155
69.83,70.26,71.55,69.16,1468970
70.4,68.4,70.643,67.93,4314004
67.83,68.16,69.4708,67.83,2994262
68.44,66.62,68.44,66.09,3191482
65.18,66.28,66.95,65.18,1599024
66.01,67.24,67.54,65.885,2229205
66.97,63.94,66.97,63.77,2323710
62.98,64.56,64.62,62.001,2465286
64.39,64.4,65.94,64.14,1754295
64.06,60.93,64.38,60.89,1709757
61.89,62.33,62.87,60.1652,1567876
63.22,63.28,63.71,62.36,1010476
63.07,63.42,63.49,62.77,651200
62.77,64.31,64.36,62.77,1172152
64.76,64.92,64.99,63.68,1471861
64.6,66.31,66.68,64.51,1829721
66.01,65.12,66.27,64.92,1083441
65.04,65.13,66.21,64.87,1520106
65.63,65.29,65.85,64.785,1236311
65.79,66.12,66.16,65.3,938695
66.67,67.35,67.48,66.28,1228136
67.18,66.66,67.78,66.66,914537
67.45,65.74,67.47,65.72,758602
65.54,64.94,66.02,64.36,944044
64.57,65.39,65.57,63.75,848015
64.84,66.01,66.18,64.7,768503
66.29,66.41,66.75,65.14,1329509
65.73,66.19,66.54,65.32,952921
66.5,66.05,66.61,65.6,927534
66.31,67.06,67.07,65.9,782198
67.32,67.06,67.32,66.76,977828
67.51,67.01,67.96,66.96,1066136
67.22,66.22,67.2899,66.18,1103043
66.15,66.5,67.03,66.15,951536
66.58,66.35,66.68,65.81,1210297
66.32,64.81,66.32,64.45,1090409
65.24,64.59,65.39,64.1575,847536
64.54,64.83,65.49,64.235,866015
64.25,62.73,64.49,62.69,1042679
62.62,61.05,63.27,60.98,1198681
61.9,63.84,63.9,61.9,1423133
63.84,63.47,64.71,63.1401,1120473
63.77,63.16,64.14,62.95,1040682
63.69,64.17,64.74,63.2205,973958
64.02,61.95,64.26,60.93,1318627
62.31,63.16,63.25,61.84,752915
62.04,63.85,63.92,62.03,769051
64.75,64.45,64.78,63.76,1094161
63.71,62.65,63.94,62.28,1132132
63.02,62.99,63.68,62.77,817376
64.04,64.56,65.01,64,850712
63.92,64.24,64.62,63.68,501115
64.77,64.83,65.05,64.47,549858
65.44,65,65.5277,64.73,522889
65.93,65.36,66.02,65.2015,801750
65.94,66.09,66.23,65.41,784227
66.15,66.36,66.78,65.93,759539
66.7,66.59,67.01,66.15,534021
66.88,66.27,66.97,65.43,977106
66.42,66.36,66.6,65.98,694006
66.75,64.68,66.75,64.13,1070160
64.54,65.09,65.41,63.5,1125932
65.09,64.35,65.5,64.21,1301640
63.5,60.78,64.16,60.18,2693310
60.8,59.16,61.44,58.96,2045968
59.05,59.81,59.91,58.48,1877453
59.47,58.52,59.72,58.35,1711174
58,58.41,58.82,57.63,1040133
57.98,59.4,59.6511,57.91,2101950
59.75,59.99,60.4,59.58,2198253
59.84,60.12,60.25,59.7,1975158
60.5,60.48,60.68,60.03,969428
60.51,60.54,60.75,60.255,905427
60.91,61.015,61.56,60.71,676964
61.24,61.2,61.57,61.03,1046874
61.09,60.855,61.22,60.38,1417544
61.07,61.9,62.12,60.86,1199419
61.87,62.29,62.8,61.68,963120
62.01,62.1,62.44,62.01,839197
62.5,61.38,62.56,61.18,1431615
61.39,61.36,61.6,61.05,1174322
61.09,60.765,61.21,60.3,1032338
60.56,60.65,60.97,60,1069807
60.44,59.96,60.58,59.62,1462311
59.51,59.04,60.08,58.86,1909110
59.56,59.74,60.14,59.43,1084889
59.65,58.86,59.9,58.57,1061143
59.52,60.11,60.4,59.33,1286851
60.34,60.68,60.95,60.33,1030904
60.98,60.77,61.655,60.75,1592433
60.94,60.91,60.94,59.47,1289059
60.81,60.55,61.2,60.41,638277
60.32,60.95,60.99,60.05,740965
61.14,61.44,61.77,61.02,927220
61.68,61.82,62.05,61.14,1101144
61.48,60.5,61.65,59.95,1150511
