Open, Close, High, Low, Volume
98.47,98.74,100.03,98.36,226970
99.39,98.6,100.37,97.82,169598
98.53,99.7,99.85,98.35,195820
99.63,100.32,100.7,99.2624,146832
100.27,99.76,100.71,99.2301,173244
99.97,99.54,100.49,98.8656,289627
99.49,99.16,99.95,98.96,104099
99.21,99.39,100.2,98.56,82829
99.66,99.07,99.66,98.45,79346
99.02,98.69,99.68,98.63,202642
99,99.56,99.81,98.43,239399
99.68,99.64,99.99,99.09,129354
99.87,99.589,100.16,98.85,216188
99.9,100.81,101.34,99.76,115300
100.81,101.37,101.63,100.17,112523
101.78,102.31,102.55,101.2701,171914
102.22,100.19,102.49,99.86,136763
100.05,99.09,100.05,98.56,378022
99.29,97.75,99.29,97.44,324316
98.15,97.81,99.3,97.46,254422
97.92,99.37,100.09,97.3401,685298
99.57,98.58,99.81,97.64,306067
98.48,100.61,101.13,98.28,286783
100.11,100.28,100.52,99.87,145275
100.32,100.46,101.66,100,293442
100.3,100.31,100.95,98.91,473271
100.9,100.98,101.815,100.27,172410
101.16,101.53,101.72,100,195456
101.14,102.46,102.8,101.02,206581
102.06,100.81,102.24,100.23,212591
101.69,100.2,102.51,99.91,297859
100,100.15,101.16,99.65,224121
99.85,98.81,100.1,98.75,149625
98.53,95.31,98.75,95.06,237552
93.99,94.25,95.05,93.13,298439
94,94.2,94.96,93.4497,243395
94.31,90.41,94.639,90.11,312274
91.39,91.23,92.49,89.26,304328
91.52,91.96,92.63,90.62,528939
91.86,93.02,93.08,91.04,417605
92.77,95.08,95.33,92.17,465652
94.08,88.35,94.08,87.07,851900
86.61,87.45,87.61,85.69,516568
87.18,89.65,90.115,86.3801,633108
89.56,87.09,90.48,87.06,381689
87.42,86.76,87.83,86.39,398747
87.22,86.58,87.51,85.86,398497
87.1,86.22,87.3,86,279770
86.47,87.28,87.51,85.65,312787
87.49,87.22,88.36,87.16,266247
87.04,85.51,87.125,85.09,172489
85,85.85,85.9099,84.715,227791
85.45,87.19,87.49,85.36,176482
87.31,89.7,89.94,87.17,504489
89.1,88.93,89.85,88.69,361765
89.42,89.66,89.83,88.76,190738
90,92.04,92.9,90,391490
92.27,92.02,92.67,91.23,230467
92.36,92.07,92.68,91.04,402276
92.39,92.17,92.57,91.49,268762
92.06,91.32,92.37,90.93,290541
91.29,90.94,91.59,90.12,274978
90.98,90.04,91.07,89.29,142264
90.02,90.93,91.48,87.68,163775
90.93,90,91.2,89.6,187651
89.41,88.88,90.53,88.84,156904
88.53,86.1,88.87,86.0201,317738
86.91,87.4,87.4,85.28,264290
87.39,86.25,88.18,85.8,280703
86.42,86.47,87.43,85.975,199307
86.96,88.26,88.92,86.546,319641
88.07,85.08,88.23,84.89,314082
85.36,84.1,85.61,83.09,512243
83.32,85.9,86.24,83.25,276202
86.38,85.03,86.59,84.72,334719
84.79,83.32,85.705,82.74,324836
83.9,84.64,85.47,83.34,192794
85.51,87.16,87.52,85.26,256191
86.61,87.33,87.54,86.26,253055
87.43,88.15,88.56,87.135,180751
88.48,88.88,89.39,87.75,291338
89.1,89.5,90.17,88.49,315627
89.69,91.2,91.5,89.13,307314
90.75,91.98,92.81,90.18,512485
91.62,91.75,92.21,91.01,258708
91.71,91.03,92.21,90.88,136027
91.37,92,92.02,90.73,144122
91.96,92.01,92.79,91.22,368958
89.6,88.03,89.6,85.6,668296
88.25,90.17,90.19,87,756515
89.97,88.96,89.97,88.46,900281
89.06,88.245,89.83,88.15,362238
87.87,87.75,89.07,87.09,440972
87.65,85.61,87.94,85.5,393588
85.5,86.12,86.23,84.91,247787
85.93,88,88.59,85.7,204826
88.04,87.64,88.7299,86.84,173427
87.36,87.64,88.28,87.28,151933
87.73,87.87,88.16,86.0669,163468
88.16,89.18,89.58,87.87,253292
89.22,90.08,90.12,88.6901,200122
90.15,90.09,91,88.93,222524
89.61,89.21,90.02,88.845,158165
89.4,88.85,90.16,88.54,204715
88.58,88.41,89.12,88.04,153477
88.85,89.23,89.64,88.27,237621
89.73,90.14,90.5,89.2801,140724
90.29,90.11,90.67,89.955,120170
89.85,90.86,90.99,89.41,169449
90.96,91.24,91.64,90.34,218708
91.22,91.5403,92.9,90.98,259318
91.07,92.21,92.32,90.63,250768
92.9,94.16,94.77,92.475,311293
94.37,93,94.53,92.95,437068
93.68,92.99,94.23,92.99,295586
93.12,95.31,95.34,92.66,261133
95.31,95.02,95.8,94.69,245858
95.03,96.37,96.52,94.67,124529
96.53,95.32,97.19,94.52,135391
95.45,96.71,96.8,94.92,204499
96.64,97.27,97.46,96.07,192647
97.3,98.38,98.53,96.89,307464
98.75,98.81,99.14,97.77,190838
98.87,100.06,100.08,98.6,314329
100.15,101.03,101.2,99.53,428657
101.09,101.47,101.59,99.955,178890
100.67,101.67,101.8433,100.295,177825
101.75,101.89,102.14,100.98,146401
101.85,100.92,102,100.6101,190369
101.5,101.01,101.87,100.4301,275859
101.06,98.63,101.22,98.33,139330
99,99.31,99.64,98.25,221774
99.14,98.03,101.4397,97.97,268700
97.85,98.71,98.71,96.85,207687
98.79,99.3,99.86,98.4,398296
98.55,98.65,98.81,97.9,274999
99,98.95,99.6451,98.795,100429
99.38,99.47,100.04,98.04,303379
99.58,100.55,100.8599,99.47,169445
100.91,101.03,101.7899,100.82,229320
101.23,100.8,101.58,100.48,306510
100.55,99.99,100.74,99.89,230297
100.58,100.58,100.86,100.1,328038
100.68,100.12,101.08,99.84,312104
99.91,98.45,100.365,97.5,310860
98.06,98.84,99.19,97.72,259540
98.89,98.01,98.955,96.97,354839
97.95,99.49,99.72,97.85,356150
98.97,99.61,100.02,98.69,258799
99.43,100.06,100.12,98.72,135650
100.69,98.99,100.69,98.51,223599
98.72,99.78,99.9,98.2922,225674
101.11,110.85,113.29,100.5512,1170467
111.84,109.64,112.59,108.44,437008
109.55,109.01,110.4,108.17,342877
109.32,109.65,110.8,108.0101,267383
109.33,111.13,111.5225,109.33,239679
110.85,113.92,114.79,110.85,277471
114,114.75,115.67,113.61,265861
114.28,116.04,116.05,112.49,165103
116.05,116.105,116.71,115.22,408581
115.95,115.6,116.69,114.71,183752
115.66,115.35,116.24,115.22,100707
114.43,114.8,116.035,114.43,133852
114.69,115.13,116.56,114.31,156288
115.34,117.26,117.75,114.77,362503
117,114.89,117.115,114.43,238727
114.85,114.75,115.36,113.94,311194
114.5,116.01,116.38,112.79,95456
116.16,115.39,116.69,115.035,180532
115.42,115.92,116.43,114.66,146391
115.59,115.95,116.13,114.81,124355
115.88,116.11,116.37,115.31,92116
116.33,116.85,117.05,115.55,132287
117,117.4,117.67,116.82,207800
118.05,117.16,118.05,116.06,291892
116.88,117.39,117.84,116.37,363793
116.8,117.08,117.4,116.21,142535
116.83,117.05,117.51,115.88,139581
116.87,116.17,117.28,115.24,237809
116.44,116.41,116.98,115.07,158263
116.19,116.57,117.05,116.08,302445
116.47,116.23,117.17,115.61,164899
116.87,117.09,117.5,116.565,143008
116.64,116.52,117.23,116.1319,122396
116.45,117.73,117.76,115.95,195508
118.34,118.87,119.45,118.21,256788
118.85,120.58,121.14,118.85,274140
120.58,118.99,121.055,118.06,213582
118.86,119.73,120.29,118.56,193425
119.68,120.32,120.34,119.01,257936
120.98,120.11,122,119.83,378609
120.03,121.59,121.99,120.03,268293
122.12,122.77,124.51,121.79,410901
123.04,122.59,123.47,121.175,172430
122.77,122.3,123.8921,121.23,254183
122.66,122.71,122.97,121.49,206397
122.4,123.48,123.91,122.4,243042
124.22,123.01,125.09,122.75,170131
122.72,121.74,123.54,121.2,152443
122.49,123.98,124.76,121.08,389390
123.07,119.57,123.07,119.2,304158
119.35,120.39,121,118.79,160272
