Open, Close, High, Low, Volume
53.4,51.75,53.51,51.53,3636809
51.97,51.48,52.41,51.26,3087733
51.61,50.92,51.86,50.7,5910770
51.14,51.38,51.89,50.42,5432963
51.88,50.9,52.59,50.8401,6963008
51.1,48.61,51.33,48.4924,2620873
48.64,49.54,49.64,48.16,4561266
49.13,49.6,49.6,48.22,4058655
49.59,49.3,50.12,49.13,4272033
49.35,49.135,49.51,48.73,3081416
49.16,48.205,49.24,47.95,3598412
48.27,48.15,48.675,47.87,4760838
47.7,48.48,48.57,47.7,3716957
48.26,48.305,48.58,47.95,2427934
48.26,48.875,48.89,48.09,2446154
48.87,48.435,49.01,48.26,3080102
48.38,49.27,49.315,48.24,3197126
49.15,49.275,49.325,48.81,2846569
49,48.92,49.17,48.29,2807190
48.93,49.89,50.08,48.83,2530295
49.75,50.25,50.29,49.44,2163709
50.44,50.62,50.73,50.17,2580294
50.9,50.61,51.005,50.51,3030665
50.77,50.64,51.19,50.14,2713211
50.63,51.12,51.12,50.51,2361694
51.15,51.4,51.425,50.6,2380675
51.34,50.49,51.579,50.44,2952674
50.54,50.43,50.81,50.1,1796829
50.71,50.63,50.93,50.41,2334401
50.39,50.955,51.33,50.39,2730261
50.95,52.515,52.58,50.6,4303829
52.27,52.15,52.5,51.5282,2791670
51.96,52.36,52.38,51.57,2054829
52.41,52.43,52.51,52.02,2031140
52.36,52.44,52.67,52.08,1427540
52.06,53.095,53.16,52.06,1881510
53.11,53.405,53.5,52.74,1678819
53.49,53.54,53.73,53.335,1721472
53.68,53.475,53.905,53.1901,2600787
53.45,53.265,53.51,53.03,2085179
53.3,53.31,53.76,53.04,4164947
53.66,53.45,53.7,53.265,2110004
53.57,53.82,53.84,53.345,2422300
53.77,54.1,54.185,53.44,2197009
53.96,54.76,54.89,53.73,2356560
54.97,55.27,55.27,54.59,2309522
55.21,54.7,55.36,54.5,2273004
54.88,54.48,54.9,54.42,3687822
54.32,54.39,54.56,54.13,2286104
54.32,54.86,54.9,54.13,2206782
54.87,54.92,55,54.29,2667604
54.89,55.09,55.1,54.405,2816510
54.97,54.9,55.12,54.7,2331351
54.93,55.08,55.23,54.715,2258843
55.25,55.51,55.7,55.16,2795524
55.66,55.67,55.9,55.2,3099517
55.66,56.05,56.08,55.62,2083700
56.21,56.47,56.56,55.99,2202839
56.47,56.64,56.76,56.31,2143420
56.29,56.16,56.5,55.94,2257914
56.45,56.55,56.89,56.37,3089999
56.45,56.14,56.61,55.865,1947026
56.07,55.68,56.24,55.43,2010115
55.8,55.84,56.4,55.56,2019579
55.79,56.47,56.61,55.69,1733589
56.78,57.079,57.51,56.64,2457290
57.1,57.07,57.28,56.82,1555103
56.98,57.35,57.48,56.93,1834790
57.48,56.91,57.48,56.58,1822584
56.89,56.16,57.13,55.88,2152448
56.18,56.21,56.27,55.81,2816251
56.25,55.57,56.25,55.095,1848480
55.78,55.58,55.9797,55.335,3375627
55.58,55.35,55.65,55.005,3071411
55.59,55.27,55.61,54.735,2256451
55.35,55.7,55.72,55.14,2113714
55.71,55.32,55.75,55.11,1777623
55.24,55.74,55.77,55.2,2451616
55.88,55.35,56.32,55.24,2432737
55.44,55.7,55.715,55.29,3119001
55.59,55.89,55.97,55.12,1992765
55.91,55.78,56.21,55.66,1696958
55.76,54.87,55.98,54.77,2319655
54.95,54.76,55.09,54.595,2410808
54.93,54.68,55.27,54.64,2911333
54.5,54.77,54.86,54.46,1728477
55,55.17,55.31,54.6,2150120
55.24,55.44,55.67,55.09,1922921
55.09,55.99,56.29,54.71,1744891
56.2,55.92,56.71,55.87,1947054
55.69,55.45,55.92,54.9401,1253401
55.43,56.49,56.53,55.34,2094480
56.19,55.9,56.58,55.88,1943450
55.87,55.92,56.2,55.45,1815418
56.02,56.58,56.65,55.82,1228313
56.63,56.52,56.775,56.28,2065203
56.37,56.58,56.94,56.32,3820352
56.47,55.89,56.49,55.84,2570993
55.78,56.06,56.195,55.26,2133150
55.9,57.21,57.23,55.86,2165501
56.9,57.79,57.82,56.9,3143745
57.71,57.32,57.85,57.22,2325128
57.33,57.22,57.58,57.1,2010945
57.04,57.74,57.925,56.97,1382694
57.62,58.2,58.48,57.46,1771399
58.27,58.4,58.685,58.2,1856301
58.42,58.1,58.74,57.97,1919531
58.34,58.51,58.535,58.03,3172827
58.5,59.09,59.1,58.4,2236370
59.15,59,59.62,58.94,1562867
59.14,58.03,59.2,57.93,1721016
58.15,57.18,58.19,57.045,2278707
57.29,57.37,57.6,57.15,1628005
57.6,57.34,57.73,57.1,3058159
57.65,57.92,58.03,57.11,2843751
57.87,57.78,57.968,56.37,1927508
57.98,59.3,59.46,57.77,2632624
59.47,59.8,59.885,59.24,1299774
60.12,59.44,60.56,59.38,1728910
59.36,59.26,59.41,58.83,1662154
59.2,58.69,59.33,58.36,1638826
58.98,59.53,59.63,58.69,1594145
59.29,59.46,59.52,58.95,4538064
59.52,60.03,60.16,59.33,3487641
60.22,59.87,60.33,59.48,2323414
60.29,60.09,60.4,59.615,3872188
59.77,60.81,61,59.77,2720669
61.13,61.295,61.5,60.62,2725674
61.27,61.51,61.63,60.64,4201901
61.97,61.26,61.97,61.14,2605698
61.32,60.99,61.41,60.73,3349004
60.72,59.44,61.1,59.38,5405325
59.45,59.27,59.705,59.005,2171138
59.3717,59.5,59.84,59.11,2259017
59.7,59.43,59.7,58.8,2217317
59.5,60.16,60.24,59.46,1840213
60.38,60.7,61.08,60.2748,1039884
60.13,60.7,60.78,59.39,1451511
60.56,60.84,60.98,60.43,1489430
60.82,60.89,60.93,60.5,2006399
61.14,61.16,61.54,60.92,2167331
61,61.19,61.52,60.505,2490117
61.25,60.81,61.3,60.56,1547837
60.83,61.18,61.255,60.52,1473663
61.05,61,61.32,60.68,2844363
61.37,61.27,61.66,61.12,2106094
61.42,61.94,61.98,60.93,1935727
61.9,60.78,62.03,60.735,3439291
60.89,60.71,60.95,60.24,2338986
60.87,60.42,60.87,60,2624459
60.64,60.46,60.65,59.975,2331458
60.37,60.19,60.7,59.93,2720280
60.22,60.51,60.76,60.1,6781702
60.79,60.99,61.17,60.59,2363093
60.61,60.59,61.31,60.23,2145688
60.35,59.63,60.72,59.14,5140034
58.9,60.78,61.22,58.74,4078922
60.89,59.8,61.325,59.69,3630878
60.07,59.64,60.96,59.42,3838574
59.41,60.4,60.71,58.94,2774814
60.52,60.79,61.14,59.5,2303182
60.82,61.62,61.8,60.09,2330648
61.61,61.79,62.02,61.37,1778101
61.94,61.51,62.02,61.21,1417295
61.39,61.39,61.7,60.86,2223152
61.53,60.79,61.64,60.57,2397052
60.74,61.51,61.7,60.5,2370197
61.61,61.8,62.17,61.46,1850017
61.83,62.16,62.52,61.58,1453052
62.35,62.41,62.51,61.77,2612215
62.34,63.01,63.03,62.2,2011246
63.01,63.29,63.41,62.68,2811945
63.37,62.51,63.68,62.04,3151454
62.65,63.54,63.54,62.46,2026763
63.8,63.99,64.41,63.75,2296730
64.14,63.97,64.53,63.71,2643268
