Open, Close, High, Low, Volume
83.16,82.99,83.28,82.87,12852666
83.18,82.95,83.6744,82.91,6960803
83.03,82.43,83.17,82.33,7301209
82.6,82.87,83.14,82.5201,7163335
83.35,83.87,84.27,82.96,10856441
83.88,83.97,84.02,83.6,7188600
83.96,83.97,84.36,83.9,3693534
83.99,83.88,84.1,83.74,4507926
83.98,83.99,84.05,83.8,4799377
84,83.8,84.2,83.78,4778420
83.82,85.0457,85.195,83.66,8932356
85.16,86.7,86.965,84.82,11158484
86.78,86.81,87.22,86.43,8186390
86.75,86.69,86.88,85.705,8326333
86.7,87.08,87.15,86.6034,5989082
86.94,86.81,87.15,86.65,5859616
87,86.07,87.19,85.98,7995388
86.36,86.91,87.37,85.93,10889662
87.2,87.51,87.99,87.18,7392055
87.74,86.93,87.76,86.6,7223710
87.2,88.02,88.21,86.93,8070136
87.77,87.44,88.19,87.34,5978330
87.57,87.14,87.76,86.61,8339935
87.17,88.29,88.29,87.05,6314943
88.25,88.31,88.46,87.74,6368236
88.49,88.57,88.918,88.01,6676037
88.55,88.39,88.87,88.2,8254291
88.64,88.98,88.99,88.47,5353874
88.59,88.02,89.3,87.95,6090145
87.54,86.79,88.38,86.78,9244154
86.7,87.32,87.47,86.33,8756711
87.5,89.11,89.25,87.35,14785585
85.13,84.29,86.01,82.9978,23846268
83.28,79.72,83.99,78.13,24040966
78.51,78.35,80.35,76.9,30633854
78.44,76.93,79.41,76.92,17255270
77.44,76.0399,77.58,76.03,20935479
76.25,75.8,76.48,73.9,23052098
77.05,76.37,77.621,75.78,14127965
76.1,76.31,76.75,75.73,9488711
75.79,76.46,76.66,75.165,12931933
76.68,76.22,76.7,75.45,11137459
76.15,76.55,77.12,75.85,10709440
76.47,75.73,77.47,75.461,9398748
75.82,74.9,76.435,74.87,8465085
75.3,75.87,76.84,75.185,10108811
76.05,77.54,77.62,75.95,9691325
77.74,78.87,78.93,77.56,11683296
79,77.52,79.87,77.52,10371621
78.16,75.7,78.25,75.7,9831966
75.53,75.15,76.6808,74.855,11453075
74.89,75.55,75.87,74.48,10377488
75.23,76.27,76.56,75.18,9649640
76.67,76.19,76.98,75.861,8352624
75,74.28,75.24,73.56,22385975
74.5,74.13,74.77,73.69,14736235
74.82,74.54,75.06,74.21,15509446
74.87,75.25,75.58,74.69,11037389
75.33,74.53,75.82,74.25,10793494
74.64,73.64,74.79,73.53,11709556
74.33,74.43,75,74.1,11448712
74.36,74.93,75.107,74.36,12788208
75,74.17,75.01,73.865,9410207
74.22,74,74.7,73.95,9645878
74.23,75.02,75.64,73.98,11347578
74.42,73.5,74.7,73.39,13323693
73.81,72.89,74.21,72.67,15236426
73.65,74.02,74.15,72.7548,10288539
74,73.69,74.8949,73.275,11323687
73.74,72.83,74.01,72.78,14194021
73.33,74.62,74.89,73.26,10564281
74.27,73.2,74.4,72.155,13819228
73.45,75.01,75.14,73.1,11728076
74.05,74.89,75.06,73.44,9741086
75.06,76.01,76.32,75.02,10097930
75.64,74.87,76.12,74.215,11165761
75.22,74.89,75.79,74.8,7611713
76.08,77.07,77.77,76.06,15235794
77.11,77.42,78.04,76.75,11486373
77.86,77.2399,78.14,77.005,8485346
77.8,77.84,78.19,77.6,8327338
78.12,78.54,79.085,77.71,8585298
78.54,78.33,78.76,78.04,7198681
79.04,79.23,79.76,78.94,9178163
79.32,79.41,79.82,78.81,8760809
79.32,79,79.4,78.335,9142165
78.92,79.56,79.6,78.75,8136946
79.8,78.35,79.93,77.97,11326739
78.2,79.5,79.62,77.485,10696278
79.6,80.85,80.9,79.53,10143312
76.95,77.7608,78.65,76.48,13041426
77.94,77.78,78.56,77.74,9171046
77.26,76.91,77.26,75.98,10774461
76.45,76.77,77.23,76.3,10420906
76.39,76.535,76.605,75.4038,9284135
76.13,76.9,77.22,75.94,7394858
77.74,77.71,79.08,77.4,12401251
77.9,78.1,78.16,76.37,13536682
78.98,79.94,80.24,78.95,13954941
80.64,81.75,81.79,80.5,14993410
81.18,81.27,81.97,80.91,11662725
81.7,81.89,82.3232,81.61,9614946
81.85,81.79,82.03,81.4,9832428
81.76,82.01,82.045,81.17,7359417
82.2,81.89,82.28,81.44,9032599
81.53,81.3,81.81,81.26,6332888
81.73,82.3,82.35,81.52,6612542
82.44,81.66,82.65,81.35,8693165
80.95,82.14,82.23,80.57,11064307
81.35,80.26,81.36,79.95,9966548
79.28,78.7,79.33,78.09,10994921
78.15,78.4,78.73,77.53,10346262
79.25,81.51,81.66,79.22,12728594
80.81,81.24,81.55,80.69,9428701
81.87,81.82,82.35,81.55,7586274
82.05,80.96,82.53,80.805,8900414
80.59,80.7,81.65,80.41,8504063
81.48,82.06,82.09,80.87,8503575
82.73,82.85,83.29,82.56,9257341
83.11,83.58,83.66,82.5,10164061
83.73,83.14,83.79,82.93,8112677
83.11,82.42,83.75,82.32,8535145
82.31,81.53,82.6,81.47,8219641
81.94,81.96,82.2999,81.5,7143541
81.72,80.67,81.82,80.51,14273498
80.4,80.83,81.38,80.3,6276139
79.89,80.7,80.9601,79.71,5678816
80.85,80.47,81.13,80.27,6586557
80.02,79.69,80.38,79.325,7518287
81.16,81.39,81.9401,80.92,9661698
80.78,79.73,81.24,79.3,7659923
80.15,80.63,81.0146,79.97,7381921
81.06,81.71,82.48,81.06,8828683
81.73,81.97,82.07,81.03,7497146
82.45,82.83,83.54,82.29,12202018
81.89,81.72,82.13,81.32,7521166
82.58,82.34,83.45,82.08,5668729
82.59,82.33,82.77,82.05,6777871
81.96,82.32,82.7,81.66,5170271
82.81,82.89,83.125,82.555,5265564
83.7,83.66,84.12,83.51,6759012
83.03,82.57,83.53,82.025,8065694
83.01,82.67,83.24,82.31,6846200
82.68,83.31,83.75,82.56,6638164
82.52,82.48,82.79,82,6356681
82.26,82.33,82.75,82.04,4905575
81.8,82.23,82.32,81.49,6564325
82.2,82.01,82.62,81.72,5814918
81.72,81.4,81.9332,81.25,7007821
81.95,81.4,82,81.18,6546420
81.52,83.01,83.02,81.48,9016871
83.01,83.6,83.74,82.51,7323297
83.83,84.23,84.4,83.37,9612854
80.96,81.92,82.38,80.805,14523032
82.13,81.74,82.13,80.711,8680829
81.64,81.52,82.15,81.44,7056678
80.89,80.42,80.93,80.225,6945888
79.89,79.9157,80.255,79.45,6775749
79.97,80.16,80.3,79.63,6299573
80.25,80.16,80.43,79.74,6643366
80.91,81.28,81.59,80.31,8167218
81.02,80.72,81.23,80.35,5037224
80.73,80.3197,80.905,80.11,8141916
79.51,79.44,79.524,78.855,8359578
79.45,78.59,79.75,78.43,7177968
78.99,78.315,79.07,78.08,5699448
77.78,76.94,77.9,76.51,13338164
77.28,77.93,78.1,77.2,8089091
78.35,78.26,78.49,77.8,7340372
78.26,78.81,79,78.17,5707311
79.05,78.82,79.58,78.67,6788311
79.11,79.96,80.05,79.02,7180208
79.56,79.09,79.63,78.895,5164447
79.52,79.61,80.05,79.42,4515917
79.91,80.395,80.47,79.8592,4983390
80.58,80.28,80.82,80.2,6515605
80.44,80.86,81.04,80.095,5789592
80.45,80.5,80.78,80.12,5906013
80.24,80.13,80.46,79.77,7018102
80.37,80.31,80.69,79.81,7000961
79.9,81.37,81.43,79.6,9313915
81.11,80.47,81.64,80.34,9996998
80.15,81.84,81.93,79.82,12330527
82.2359,81.72,82.74,81.655,7629741
81.96,82.86,83.19,81.63,9153171
83.25,83.12,83.78,82.87,8393417
83.15,82.3,83.25,82.01,6917755
82.42,82.92,83.15,82.27,6576675
83,83.41,83.61,82.99,5333782
83.9,83.65,84.13,83.45,6040200
83.64,84.57,84.77,83.64,7689938
84.85,84.82,85.34,84.54,8147792
85.01,85.15,85.43,84.52,15455118
85.79,86.6,87.085,85.72,10208242
87.0312,86.49,87.36,86.37,7853008
86.02,85.79,86.5,85.69,6912061
86.085,85.775,86.375,85.59,5708528
85.25,85.02,85.9299,84.99,6045626
85.35,85.83,86.03,85.255,5928784
85.8,86.45,86.665,85.622,5563456
86.53,86.14,86.89,85.975,7321693
85.5,85.57,86.0753,85.25,7286508
85.31,85.34,85.7,84.9324,6592541
84.79,86.18,86.305,84.65,7910995
86.38,86.51,86.88,85.74,7168544
86.73,84.61,86.82,84.5,12661098
83.94,81.6,84.17,81.17,16028700
82.13,81.36,82.24,80.27,10601464
81.38,80.82,81.735,80.82,6292012
80.51,81.17,81.265,80.01,6765474
80.94,81.49,81.52,80.34,7914950
81.2,81.87,82.47,81.2,12910799
81.66,81.97,82.4636,81.51,7723195
82,81.14,82.18,80.64,6777084
80.06,79.83,80.46,78.715,12362337
80.13,77.62,80.26,77.55,11829652
78.49,78.31,79.05,77.74,9329406
77.87,77.54,78.41,76.96,13857941
78.07,77.11,78.43,76.22,12204534
77.62,78.8,79.03,77.42,13392995
79.34,79.68,80.3501,78.9,10791078
79.83,80.6,80.75,79.3,10773853
81.76,81.93,82.45,80.23,13441405
82.5,81.6,82.87,81.44,11012726
81.74,82,82.1,81.35,7744350
82.21,83.02,83.14,81.6599,10935448
83.13,81.74,83.745,81.535,12740371
80.26,80.88,81.4,79.695,10900917
81.66,79.89,81.73,79.73,8649786
79.8,78.03,79.85,77.64,11662914
78.86,77.43,79.09,76.75,15262465
76.67,78.18,78.18,75.91,15613055
78.37,78.99,79.19,78.1,10488374
78.46,79.24,79.36,78.43,8157078
78.42,76.95,78.9,76.37,13682024
77.43,77.56,78.38,77.26,8120203
76.05,75.49,76.2,74.7,9601882
76.24,76.98,77.32,76.11,10726458
76.57,77.04,77.45,76.4,8811476
77.04,78.43,78.45,76.84,8772551
78.22,79.08,79.53,78.195,8355838
78.45,79.48,79.6,78.32,9742589
80.24,81.25,81.46,80.14,12251968
81.38,79.44,81.95,79.35,12747523
78,78.37,78.44,76.92,17525188
79.39,77.67,80.36,77.335,13052846
77.86,76.54,77.86,74.797,14804212
77.7,76.68,77.8,75.68,10638687
78.04,76.03,78.2,76.015,11218852
76.03,76.94,77.22,75.95,9386370
76.72,75.62,76.88,74.76,10112336
75.26,74.01,75.6,73.48,11191813
73.63,71.9969,73.86,71.62,15435715
72.45,70.78,73.27,70.2953,17221782
70.09,68.62,70.66,68.05,23846526
68.14,68.14,70.37,67.67,27540616
66.87,65.55,67.53,65.44,12155372
66.18,68.64,68.655,64.65,21044654
67.74,68.93,68.94,66.08,17437757
69.18,68.13,69.58,66.6676,16303213
68.32,67.93,69.1453,67.66,12402446
67.35,69.63,69.87,67.255,13192420
70,68.82,70.25,68.355,10483468
69.64,71.105,71.27,69.36,12307095
71.25,71.595,72.1,68.64,8646369
72.54,72.08,72.59,71.94,8691356
72.6,72.37,72.6,71.645,10903042
72.07,72,72.07,71.12,8801698
71.85,71.605,71.89,71.07,7542138
71.21,71.61,71.78,71.12,7122787
71.95,71.51,72.36,71.32,7264502
71.42,71.75,72.375,71.31,8070601
71.19,72.1,72.34,70.8994,8126356
73.27,72.905,73.29,72.125,12347021
72.39,71.745,72.71,71.68,9621362
72.01,71.32,72.2966,70.93,9632518
71.1,71.295,71.97,70.6394,8586700
72.07,71.64,72.27,71.535,6887389
71.02,71.23,71.26,70.37,9157609
71.7,71.545,72.19,71.52,7688315
71.77,72.35,72.57,71.505,7807667
72.29,73.185,73.23,72.02,12602639
74.92,75.86,76.49,74.32,19002840
75.76,74.83,75.76,74.4,12352689
75.18,75.54,75.59,72.13,9901107
75.58,75.285,75.77,74.674,8752653
74.95,74.645,75.19,70.53,11885187
