Open, Close, High, Low, Volume
37.36,36.51,37.46,35.92,3298789
36.5,35.96,36.84,35.63,2807984
35.95,35.48,36.1546,34.94,2645099
35.68,35.65,36.3,35.37,3295939
35.53,35.48,35.87,34.93,1151678
35.58,37.19,37.24,35.24,2096552
36.66,37.12,37.12,36.12,1749145
37.33,37.13,37.67,36.9,1528598
37.28,37.08,37.545,36.76,1324820
36.96,37.83,38.57,36.63,2429943
37.98,37.95,38.55,37.54,2035474
38,38.975,39.62,38,2385909
38.99,39.74,40.105,38.98,2000913
40.25,39.44,40.6,39.32,1835153
39.5,39.63,40.37,39.5,2405169
39.48,40.035,40.125,39.17,1637352
39.82,40.72,40.81,39.65,1778476
40.34,40.1199,40.52,39.89,1741020
40.11,39.79,40.2,39.685,1554581
39.82,40.14,40.55,39.585,1221290
39.98,40.25,40.56,39.67,1082390
40.53,40.78,40.95,40.0301,1692651
40.83,40.685,40.83,40.31,987483
40.87,40.98,41.2135,40.66,1810427
40.93,40.59,41.04,40.51,939257
40.84,41.37,41.57,40.74,1485178
41.07,40.435,41.2762,40.26,1359228
40.72,41.07,41.3,40.59,1860005
41.11,41.605,41.71,40.83,1195018
41.53,41.925,41.97,41.4,996817
42.15,42.1,42.4334,41.76,1373003
42.27,42.775,43.13,42.09,2002369
42.94,43.2,43.54,42.85,1922341
43.27,43.26,43.51,43.07,770038
42.96,42.825,43.17,42.62,1149807
42.66,42.57,42.86,42.18,806168
42.65,42.93,42.99,42.43,663084
43.14,42.99,43.435,42.9,2448148
43.18,43.85,44.16,43.11,1807296
43.6,43.645,43.803,43.45,947713
43.92,43.61,43.92,43.58,1595064
43.75,43.825,44,43.36,1776991
42.53,42.69,43.01,42.16,2557994
42.62,41.77,42.94,41.5,2742670
41.98,41.62,42.21,41.58,2764943
42.12,41.535,42.12,41.53,1540571
41.57,41.22,41.61,41.075,1739025
41,41.25,41.43,40.86,2179660
41.26,41.78,41.97,41.175,1878769
46.99,49.14,49.45,45.87,9586540
49.21,48.7,50.1778,48.11,3113342
49.13,48.95,49.13,48.6,1676564
48.92,47.74,49.05,47.655,1868977
47.68,48.25,48.32,47.375,1349502
48.09,48.56,48.58,47.5,1144461
48.76,49.47,49.655,48.5,1182931
49.5,49.28,49.89,49.24,1142776
49.35,49.56,49.685,49.15,967500
49.58,49.18,49.58,49.06,651007
49.1,49.09,49.61,48.8,1410337
49.87,49.5,50.24,48.94,2187169
49.48,49.45,49.74,49.31,1090435
49.44,49.01,49.465,49,894849
48.96,50.02,50.14,48.95,1015028
49.76,49.26,50.07,49.13,790777
49.25,49.36,49.45,48.74,1127273
49.59,49.46,49.73,49.125,682738
49.38,49.22,49.6799,48.81,1044659
49.22,49.34,49.67,48.94,640032
49.57,49.59,49.66,48.87,1670759
49.79,49.81,49.95,49.43,857077
49.75,50.14,50.35,49.645,1965583
50.37,50.36,51.1,50.17,1181066
50.34,50.26,50.38,50,1582004
50.49,50.4,50.85,50.34,813765
50.36,50.33,50.49,49.99,551717
50.11,50.43,50.54,50.11,667270
50.51,50.63,50.72,50.23,793211
50.7,50.48,50.7,50.38,741319
50.51,51.23,51.455,50.51,962974
51.46,51.24,51.46,50.84,721736
51.35,50.4,51.5,50.17,1132890
50.57,48.76,50.7799,48.57,1607586
49.01,49.72,49.76,48.49,1980120
49.42,49.31,50.2,49.1,956054
49.59,49.76,50.2,49.22,1286899
49.87,50.4,50.55,49.57,893844
50.12,50.18,50.29,48.9,1025269
50.19,50.9,51.08,50.06,952403
50.9,50.59,50.97,50.33,861469
50.68,51.1,51.355,50.48,1041842
50.99,50.36,51.03,50.08,1316874
50.43,51.5,51.52,50.295,1795886
53.45,55.05,55.88,53.3,4156139
54.28,54.73,54.92,53.56,1796871
54.22,54.81,55.01,54.22,2162151
54.95,54.96,55.15,54.09,2195161
54.59,54.98,55.125,54.39,1786802
54.76,55.01,55.39,54.24,2467843
54.23,54.88,54.95,54.078,1435339
54.87,54.87,55.71,54.62,992649
54.75,54.97,55.19,54.17,973884
55.03,54.89,55.62,54.65,1912459
54.32,54.41,55.14,53.85,1746936
54.27,54.41,54.725,53.87,1260038
54.7,54.91,55.36,54.48,1160842
54.95,54.61,54.95,54.42,1747926
54.28,53.73,54.35,52.46,1718288
54.18,53.73,54.32,53.35,1448814
53.5,53.66,54.44,53.5,2623107
53.34,53.72,53.9907,53.21,2072211
53.85,53.5,53.9,53.31,846270
53.41,53.89,54.1,53.01,1465909
54.03,53.849,54.16,53.67,1556120
54.22,54.4,54.52,53.95,2940105
54.79,55.4,55.47,54.28,1387888
55.45,55.64,55.83,55.05,1169547
55.8,55.94,56.12,55.63,776940
56.15,57.09,57.18,55.85,988264
57.32,57.28,57.48,56.61,1051836
57.23,56.91,57.71,56.86,908974
57.11,56.96,57.16,56.58,1338004
56.94,56.78,57.44,56.704,1021341
56.76,56.65,56.88,56.32,573672
56.86,56.84,57.15,56.6,605072
56.79,57.75,57.83,56.63,766389
57.9,57.42,58.38,57.39,2169721
57.65,58.88,59.395,57.07,2774123
58.63,57.66,59.4,57.545,1116427
57.76,57.88,58.18,57.65,1066165
57.94,57.61,58.5,57.24,954516
57.51,57.61,57.77,57.15,873007
57.5901,58.36,58.415,57.47,1351185
58.56,58.36,59.225,57.92,1446950
58.32,58.18,58.68,57.96,678783
58.62,58.29,58.74,58.08,588913
58,57.8,58.24,57.42,862960
57.76,57.65,57.94,57.12,1807956
57.59,57.575,57.75,57.335,979521
57.77,57.28,57.9244,57.19,854069
57.45,56.76,57.6101,56.615,1195582
57.07,56.9,57.5,56.64,1393187
56.77,57.08,57.19,56.68,982336
57.23,56.47,57.33,56.26,1307643
56.37,56.93,57.04,56.0101,1043253
56.81,57,57.19,56.47,997692
57.12,56.68,57.14,56.67,919403
56.72,56.22,56.86,55.89,768208
56.48,56.52,56.64,56.07,495839
56.31,56.61,56.71,55.88,902282
56.37,55.86,56.37,55.0113,1122735
56,56.01,56.19,55.405,852648
56,56.35,56.43,55.85,1110089
56.06,56.68,56.885,55.87,969829
56,54.44,56.33,53.9784,2143609
54.3,53.3,54.605,52.27,2677619
50.5,52.78,53.08,49.12,3121052
52.51,51.49,53.09,51.445,2473360
51.12,51.61,51.64,50.02,2738330
51.16,51.52,51.655,50.55,2146670
51.86,52.37,52.785,50.4267,2078880
52.16,52.37,52.905,52.16,1199359
52.1,52.29,52.91,52.07,1294961
52.33,53.37,53.54,52.21,1551950
53,52.15,53.05,52.05,1168568
52.15,52.26,52.52,50.7601,985635
52.75,52.32,52.9,52.23,1182054
52.82,53.53,53.69,52.55,1590919
53.55,53.13,53.73,52.87,971111
53.49,53.38,53.49,52.98,1242863
53.49,52.94,53.7,52.64,1262867
52.9,51.7,53.18,51.495,998157
52.01,52.06,52.08,51.27,723902
52.31,51.56,52.32,51.36,896713
51.28,51.72,51.8,50.91,893296
52.07,52.02,52.19,51.415,1023052
52.15,52.15,52.25,51.51,1031621
51.81,51.74,52.47,51.39,1137554
52.21,51.3,52.21,50.73,1467674
51.73,51.64,51.82,51.27,976789
51.63,50.68,51.79,50.64,1977256
50.86,50.84,51.25,50.535,1308552
50.75,51.15,51.32,50.39,1317575
51.09,51.12,51.65,50.84,1307361
51.27,51.72,52.2,51.27,1166482
51.67,51.9,52.4145,51.58,1030260
51.72,51.43,51.72,51.16,810463
51.38,51.39,51.68,51.2,1816721
51.39,49.87,51.49,49.4,1565235
49.85,49.89,50.225,49.37,1346537
49.9,51.12,51.21,49.51,2333642
50.69,52.28,52.46,50.54,1698747
52.55,53.05,53.65,52.28,1794236
52.88,53.2,53.35,52.44,1549360
53.24,53.36,53.73,53.16,995178
53,52.87,53.5,52.625,1478148
53.02,53.32,53.53,52.69,1047453
53.57,53.48,53.77,52.94,1197875
53.39,51.741,53.46,51.66,2147317
51.81,52.46,52.57,51.35,808989
52.84,53.62,53.715,52.0295,2033258
53.44,53.94,54.035,53.3,2299700
53.83,53.33,53.88,53.065,4144542
53.58,53.58,54.41,53.01,1725830
53.58,53.9,53.985,53.3,1261035
54.41,54.11,54.65,54.08,1754512
54.16,53.48,54.23,53.35,1504852
53.55,53.76,53.99,53.32,1544600
53.77,53.91,54.24,53.49,2239282
54.03,54.97,55.065,53.88,1991247
54.86,54.89,55.445,54.81,2591596
55.215,55.06,55.5,54.92,1004343
55.04,54.4,55.31,54.245,1087805
54.28,54.37,54.65,54.18,916828
54.63,53.08,54.73,52.82,1393203
52.79,53.075,53.445,52.745,928347
53.25,53.34,53.66,53.165,827196
53.17,54.1,54.35,53.14,914003
54.18,55.34,55.355,54.08,990674
55.17,54.79,55.32,54.495,757098
54.96,55.44,55.8365,54.96,697685
55.75,56.14,56.44,54.86,1077499
56.25,54.89,56.29,54.79,1597244
55.05,55.61,55.915,54.86,1692838
58.15,57.08,60.15,56.76,4496300
57.11,57.42,57.51,56.65,2495764
57.11,55.7,57.57,55.6,2148656
55.7,56.16,56.35,55.29,2779799
56.38,56.48,57.16,55.98,1568984
56.24,56.03,56.91,55.71,889794
56.18,56.63,56.93,55.86,931437
56.57,56.26,56.81,55.73,807415
56.42,56.38,56.71,56.14,902261
56.21,56.63,57.05,55.8718,835113
56.61,57.12,57.22,56.21,860531
57.18,57.28,57.48,56.96,811696
57.36,57.67,57.69,57.24,745459
57.55,57.04,57.88,56.89,1323545
57.26,57.11,57.28,56.93,557934
56.95,56.55,57.025,56.4,463513
56.695,56.7,56.81,56.15,1305682
56.56,57.14,57.4,56.14,1137520
57.02,57.59,57.82,56.76,1408611
57.75,58.3,58.53,57.75,1247116
58.46,58.02,58.65,57.97,990051
57.93,57.31,57.98,57.09,663676
57.37,57.38,57.49,56.92,760069
56.25,56.75,57.09,56.18,1050677
57.02,56.92,57.99,56.635,727029
56.86,56.38,57.83,56.11,678356
57.25,57.51,58.01,57.075,1139480
57.68,57.54,57.92,57.26,668106
57.65,57.38,57.66,57.01,668909
57.67,57.46,57.69,57.255,728094
57.52,56.84,57.8059,56.695,1908193
56.86,57.17,57.36,56.67,948627
57.03,57.185,57.38,56.19,554004
57.12,56.53,57.22,56.22,564512
56.44,56.84,56.98,56.3,516975
56.69,56.39,57.225,56.26,815028
56.37,56.6,56.7,55.95,891370
56.83,56.94,57.51,56.13,940121
56.24,56.3,56.77,55.85,675654
56.04,56.61,56.68,56.01,589709
56.35,56.91,56.98,56.29,655060
57.15,57.51,57.71,57.07,816516
57.53,57.56,58.11,57.39,707005
57.67,57.79,57.97,57.19,727701
58,58.07,58.26,57.65,687018
58.1,58.75,58.78,57.63,655592
58.66,59.11,59.78,58.56,1094590
59.5,60.13,60.27,59.34,1289217
60.02,59.97,60.37,59.665,913002
59.93,60.34,60.615,59.75,1676524
60.49,60.7,60.87,60.14,4426282
60.64,59.69,60.64,59.19,1436650
59.63,59.66,59.75,58.47,1724984
59.15,59.73,60.45,58.97,1052700
59.77,59.07,59.87,59.06,827292
59.29,58.94,59.38,58.88,862265
58.71,57.62,58.71,57.13,1072829
57.38,55.99,58.49,55.64,1209815
56.24,55.63,59.17,55.5,778716
56.14,56.57,56.81,55.99,821136
56.97,57.19,57.56,56.64,693397
56.61,57.6,57.83,56.61,693534
57.56,57.08,57.69,57.07,935244
56.86,57.45,57.48,56.65,391661
57.48,58,58.26,57.06,379737
57.99,58.02,58.215,57.59,974984
58.04,58.12,58.21,57.31,770898
57.84,57.84,58,56.38,980193
57.91,57.92,57.99,57.03,631178
58.25,58.59,58.9,58.125,770023
58.49,57.43,58.49,56.92,913552
57.15,56.85,57.405,56.26,1197269
55.78,54.72,55.98,54.71,1387213
54.69,51.49,55.8539,51.43,1886580
51.99,50.87,52.5,50.83,2013847
50.46,50.21,51.48,50.04,3210507
49.18,49.24,49.54,47.33,2639849
49.57,49.65,50.6,48.2,3385289
49.13,47.22,50.51,46.75,2418629
47.93,47.82,48.28,46.97,3181579
46.99,45.33,46.9938,44.97,2178171
43.9,44.73,45.1,43.45,4067354
42,42.09,42.85,41.865,2815406
42.99,44.33,44.37,42,1924434
43.06,42.51,44.31,41.845,2099307
40,39.95,41.85,39.21,3802018
41.29,40.45,42.25,38.02,2183271
36.28,35.19,37.4127,34.37,5227494
35.95,34.51,36.78,31.7001,5114828
32.17,32.8,33.53,31.71,9499668
32.41,35.17,35.55,31.7943,3872925
35.42,32.84,36.23,32.3,3907124
32.78,31.9,33.45,31.575,3797490
33.44,33.78,34.2,32.02,5991145
33.87,35,36.13,33.265,8813511
35.36,39.4,39.675,34.86,3622060
37.58,37.91,40.12,37.12,3817695
37.99,39.19,39.4775,36.67,2782653
