Open, Close, High, Low, Volume
25.28,24.74,25.42,24.55,1965850
24.5,24.43,24.74,24.38,2513570
24.3,21.27,24.3399,21.08,11040162
21.59,21.08,22.07,20.74,5822334
21.25,20.67,21.65,20.36,5147369
20.58,19.56,20.625,19.37,6371288
19.72,19.28,20.02,19.101,5171521
18.98,18.91,19.48,18.71,1755254
19.01,19.71,19.72,18.575,3125953
19.5,19.66,19.6614,18.67,3571286
19.57,19.62,19.99,19.49,3611596
19.7,19.67,19.82,19.14,2939538
19.48,20.13,20.285,19.33,3214644
19.92,19.75,20.13,19.35,2992128
20.12,20.45,20.75,20.02,3984182
20.49,20.9,21.12,20.43,2897944
21.09,21.59,21.6,21,2873314
21.69,21.855,22.07,21.66,3031289
21.74,22.15,22.18,21.65,2679734
21.94,22.1,22.14,21.48,3592842
21.91,22.29,22.46,21.83,2769905
22.36,22.8299,22.885,22.33,2480200
22.72,23.095,23.13,22.53,2467924
23.1,23.11,23.245,22.73,2354875
23.27,23.42,23.82,23.2,4076579
23.38,23.32,23.56,23.17,3139881
23.41,23.525,23.56,23.23,2243101
23.59,23.95,24.39,23.52,2125674
24.22,24.495,24.54,24.17,2088262
24.21,24.34,24.47,24.02,2594818
25.66,27.06,27.285,25.59,9572788
27.6,28.15,28.31,27.07,6429346
28.06,28.15,28.605,27.91,4744462
28.34,28.49,28.67,28.22,3955301
28.55,28.67,28.67,28.29,2498594
28.74,28.98,28.99,28.31,4329930
29.06,29.435,29.52,28.82,3090479
29.2,28.98,29.49,28.75,2630020
28.73,29.07,29.24,28.7,2110350
29.28,29.285,29.55,29.18,1905570
29.45,30.1,30.3,29.45,2891481
30.22,30.02,30.35,29.94,2746691
29.72,29.865,30.11,29.67,2667275
30.1,30.455,30.49,29.99,2443464
30.47,30.655,30.94,30.4301,2423230
30.74,30.88,31.01,30.62,2575659
30.9,31.33,31.39,30.88,2755834
31.03,31.495,31.75,30.98,2770218
31.7,31.48,31.96,31.42,1815339
31.41,31.47,31.76,31.32,2158215
