Open, Close, High, Low, Volume
41.31,41.19,42.22,41.05,3510086
41.47,40.77,41.9,40.4,2954275
40.85,40.13,41.51,39.895,3329118
39.83,39.74,40.5,39.43,3033568
39.75,39.06,40.31,38.91,3113019
38.77,38.52,39.2,38.11,1441839
38.61,40.52,40.52,38.08,2800789
39.85,40.46,40.46,39.1821,2286065
40.67,40.37,41.03,40.09,2312672
40.49,40.56,40.96,39.94,2141052
40.03,41.53,41.575,40.03,1959535
41.53,41.41,42.14,41.2,1867858
42.13,42.61,42.805,41.88,1946034
42.27,42.82,43.39,42.1,2125609
43.31,43.17,43.33,42.46,2491410
43.33,43.51,43.95,42.98,2282446
43.44,43.75,43.95,43.18,1810326
43.48,43.985,44.14,43.26,1529915
43.67,44.315,44.56,43.54,1536050
44.15,44.775,44.83,43.78,1540262
45.14,45.745,45.92,44.97,2556403
45.54,46.61,46.61,45.15,3529613
46.85,47.01,47.21,46.07,3720699
46.8,46.405,46.96,46.18,3921029
47.4,48.055,48.485,46.72,5367029
47.77,48.63,48.74,47.71,2833491
48.81,48.68,49.1973,48.55,2567836
48.28,48.77,48.95,48.11,2395150
48.78,48.245,49.185,48.235,1570729
48.4,47.955,48.63,47.92,2083551
47.74,47.585,48,46.82,3390608
47.8,48.29,48.38,47.44,1996265
48.36,49.03,49.03,48.01,2211290
48.95,48.82,49.19,48.25,2715107
48.59,48.975,49.08,48.52,1740995
49.67,49.29,50.23,49.02,3087484
49.06,48.9699,49.27,48.35,2545507
49.3,49.4,49.65,49.14,1676410
49.8,49.875,50.22,49.57,2299895
49.69,49.555,50,49.31,1924528
49.22,49.02,49.29,48.6,2099612
49.24,50.07,50.145,48.13,2493008
49.73,50.73,50.86,49.73,1600596
50.69,51.29,51.33,50.42,1722024
50.77,50.89,51.1666,50.68,2917933
50.93,51.17,51.21,50.72,2263054
51.42,51.01,51.72,50.95,1701928
50.8,50.41,51.11,50.39,1928865
50.54,51.09,51.23,50.26,2473761
51.1,51.1,51.39,50.995,1521950
51.44,51.15,51.81,50.715,1781813
51.23,50.86,51.7,50.44,1714732
50.87,50.79,51.24,49.98,1822002
50.72,49.67,50.7901,49.53,1812377
49.51,48.71,49.56,48.46,1852155
48.28,48.7,48.84,48.15,1551364
48.91,48.855,49.25,48.53,2092897
49,48.93,49.2,48.53,2000501
49.17,49.12,49.255,48.77,1646054
49.2,49.09,49.38,48.83,2124484
49.25,49.17,49.67,49.1,1186778
49.24,50.07,50.16,49.24,1809085
50.34,48.98,50.54,48.88,1629447
48.72,47.1,49.01,47.1,2236304
46.83,46.05,46.91,46,3674918
45.47,43.63,45.6,43.18,5586094
43.69,43.76,44.17,43.335,3494367
43.92,44.98,44.98,43.92,3851012
44.96,44.86,45.06,44.51,1954353
44.92,45.375,45.4,44.67,1473983
45.8,45.42,45.86,45.15,1574895
45.71,46.73,46.83,45.71,1038767
46.49,46.93,47.27,46.43,2170000
47.55,47.16,47.93,47.03,2462521
46.25,47.68,47.78,46.25,2075333
47.71,47.58,47.9,47.27,1486892
47.41,47.61,48.035,47.32,1344035
47.45,46.9,47.57,46.77,1402967
46.98,47.15,47.2,46.42,1138765
47.43,47.5,47.92,47.135,1283140
48.2,48.43,48.89,47.65,2067381
48.39,47.65,48.43,47.5,1221061
47.8,48.26,48.35,47.16,1584134
48.51,48.37,48.55,47.86,1440894
48.32,47.29,48.33,47.215,2311443
47.09,46.69,47.34,46.65,2542853
46.62,48.85,49.08,46.6,3327070
48.79,48.4,48.79,47.52,1756531
48.21,48.375,48.72,47.91,1083649
48.36,48.76,48.81,48.01,897953
48.92,49.42,49.84,48.92,1502779
49.38,49.32,49.5186,48.87,1419653
49.34,48.57,49.86,48.5,1611594
48.62,49.49,49.64,48.62,1277285
49.73,50.06,50.195,49.655,1310473
49.19,49.68,49.98,49.11,1378550
49.12,48.72,49.18,48.46,1678459
48.46,48.19,48.76,48.16,1541513
47.61,48.26,48.45,47.31,1762414
47.93,48.46,48.67,47.6,1556865
47.45,46.02,47.79,45.92,2297987
46.12,46.46,47.03,45.92,2094018
45.59,45.15,45.81,44.74,2388558
45.17,45.56,46.03,45.17,1461920
45.15,45.1,45.875,45.03,1872622
45.04,44.9,45.54,44.64,1572067
45.35,45.77,45.915,45.17,2166548
45.47,45.43,45.67,44.82,1878018
44.97,44.93,45.4,44.37,3120348
45.2,45.34,45.45,45.045,1308965
45.18,44.24,45.52,44.22,2747770
43.94,44.61,44.73,43.59,1866593
44.63,43.98,44.92,43.62,1180138
43.42,43.07,43.49,42.94,2199137
44.02,44.4,45,43.96,2472900
44.47,44.18,44.51,43.58,1677265
44.1,44.22,44.42,43.68,1741526
44.17,43.62,44.17,43.49,2140164
44.11,43.83,44.535,43.82,1699362
44.22,44.43,44.7,44.21,2338806
44.05,44.16,44.57,43.86,1291458
44.33,44.75,44.87,44.22,3094255
44.71,44.88,45,44.09,2357623
44.88,44.05,45.09,43.84,1118793
44,45.05,45.23,43.69,1903689
45.24,44.36,45.75,44.33,1507002
44.6,44.38,44.85,43.45,1671987
44.34,44.44,44.97,44.34,1556482
