Open, Close, High, Low, Volume
72.14,72.39,72.99,72.055,1143800
72.25,71.77,72.46,71.57,1047080
72.21,71.96,72.27,71.52,1529057
71.96,72.64,72.92,71.91,1120520
72.82,72.81,73.58,72.73,1281299
72.68,72.73,73.16,72.17,1319504
72.99,72.29,73.31,72.27,864568
72.27,72,72.37,71.79,953612
72.4,72.33,72.55,71.9,560305
72.59,72.45,72.69,72.25,648571
72.65,72.37,72.65,72.14,464442
72.55,72.1,72.76,72.05,921095
72.54,71.79,72.59,71.465,1643729
71.77,72.09,72.18,71.34,1846979
72.82,72.54,72.9128,72.26,1902648
73.19,73.34,73.92,72.57,1634874
73.43,74.25,74.42,73.1607,1686774
74.7,75.12,75.475,74.465,2200716
74.58,73.9,74.8,73.28,1797290
74.65,74.6,74.68,73.72,1170300
74.94,75.4,75.69,74.77,1466760
76.06,75.55,76.4,75.21,2021227
75.81,76.76,77.03,75.39,2083878
76.65,76.33,76.65,75.85,1715000
76.69,76.62,76.91,76.22,2444310
76.67,77.52,77.58,76.62,3649673
77.3,77.61,78.32,76.97,1840811
78.16,78.35,78.51,77.6,2048369
78.69,79.3,79.38,78.345,1847554
79.49,80.07,80.13,79.38,2032652
79.81,79.19,79.95,79.11,2028542
78.44,78.34,78.69,77.91,3007054
78.49,76.74,78.77,76.54,3335099
76.84,77.82,78.27,76.56,2477189
77.53,76.77,78.12,76.73,2066561
76.64,73.83,76.92,73.18,2157874
72.74,73.28,74.56,72.13,3879689
73.14,73.85,75,72.69,2760021
73.96,71.51,74.56,71.5,1781486
72.23,72.35,72.88,70.2,2519080
72.94,73.19,74.04,72.6,1998031
73.11,73.24,73.79,72.96,1638529
72.79,74.46,74.57,72.78,2395938
79.26,78.5,81.4,75.75,5190075
78.15,79.75,80.08,78.15,3161478
79.21,80.34,81.47,79.07,2901283
80.37,80.49,81.78,80.31,2649710
81.03,80.76,81.68,80.51,1660227
81.17,82.83,82.93,81,1946089
82.73,83.33,83.46,82.73,1746961
83.35,81.68,83.37,81.61,1705398
81.88,80.84,82.48,80.84,1294118
80.86,80.42,81.57,79.83,2104908
79.93,81.25,81.5,79.86,1489639
81.06,81.89,82.57,80.7,1422280
82,81.51,82.14,80.93,1597066
80.98,81.73,81.96,80.97,1604864
82,82.54,82.85,81.9336,1475499
83.06,84.51,85.05,82.9814,2134346
84.89,84.39,84.95,84.09,1345004
84.9,84.55,85.54,84.33,1478051
85.13,84.36,85.48,84.09,1278575
84.32,84.71,85.35,83.96,1261353
85.02,84.58,85.42,84.58,1687889
83.82,83.15,84.32,82.36,1866860
83.32,84.65,84.79,83.28,2087504
84.87,84.12,85.73,84.07,2436366
83.35,82.06,84.13,81.8,2524021
82.12,80.56,82.8,80.32,1789799
81.88,83.76,83.87,81.53,2379839
84.08,81.85,84.45,81.21,2038656
82.09,80.98,82.55,80.28,2020643
81.49,83.13,83.45,81.09,2305712
83.17,81.2,83.29,80.68,1820493
81.78,82.86,83.18,81.39,1630881
81.58,82.86,83.06,80.73,2393195
83.29,83.51,84.33,82.85,1986599
82.75,80.95,83.12,80.06,2133058
81.81,81.89,82.99,81.56,1985960
82.95,83.09,83.47,82.28,1749323
82.57,83.07,83.51,82.56,1212640
83.57,83.93,84.38,83.4,827297
84.25,83.58,84.43,83.22,802579
84.49,84.39,84.85,83.855,1294484
84.98,85.67,85.94,84.82,1387774
85.7,85.98,86.38,85.2,1809818
85.42,85.4,85.89,84.82,1774540
85.39,85.48,85.93,85.14,1181812
85.59,85.3,85.76,85.01,984044
85.83,84.33,85.9,83.48,1445894
84.12,84.56,84.56,83.44,1142971
84.57,84.75,85.26,84.36,1378816
84.78,84.83,85.205,84.39,825478
84.89,83.49,85,83.37,2016117
83.48,83.41,84.04,82.89,2637669
77.67,79.9,80.45,77,5900527
79.78,80.41,80.89,78.44,3203773
80.02,81.56,81.83,79.62,2318987
81.74,82.11,82.46,81.22,1592520
81.84,81.99,82.49,81.11,1630751
82.1,82.26,82.56,81.18,2003110
83.32,83.47,84.37,82.83,1575303
83.62,84.44,84.465,83.58,1452803
84.54,84.05,85.17,83.37,1526857
83.53,83.03,83.72,82.78,1167584
82.55,82.85,83.17,82,2184612
83,82.94,83.1,82.08,1403445
82.7746,84.39,84.66,82.71,1708008
84.88,85.37,85.44,84.4,1263147
85.39,84.38,85.64,84.21,1243585
84.3,84.88,85,83.74,1241518
84.88,84.75,85.56,84.17,611876
84.75,83.68,85.05,83.55,1347514
82.98,83.14,83.42,82.4,1262445
83.79,84.46,85.29,83.79,1388149
84.45,83.71,84.65,83.61,1236828
84.32,85.4,85.43,84.32,983359
85.54,85.39,86.1,84.97,947918
85.39,84.79,85.76,84.455,1259385
85.07,85.46,85.6,84.55,1363007
85.79,85.66,85.98,85.035,1146046
85.69,86.77,87.39,85.45,1733925
86.78,87.07,88.16,86.7305,1642577
87.06,87.13,87.54,86.61,1795718
87.445,87.35,87.95,87.18,1797967
87.44,88.18,88.25,87.26,1989115
87.5,89.2,89.25,87.5,2759901
88.5,88.93,89.18,88.34,2959069
88.05,87.26,88.425,86.63,1899754
87.28,87,87.5716,86.6,2510806
86.79,87.03,87.795,86.7,1927039
87.39,86.34,87.56,86.2,3476063
86,84.71,86.35,83.92,2374162
84.81,84.02,85.19,83.97,2176721
84.33,83.36,85.25,83.36,1520627
83.36,84.85,85.28,83.34,1296138
85.48,85.23,86.41,85.14,2510546
84.78,85.63,85.67,84.2,1251620
85.83,86.14,86.96,85.52,911094
86.72,86.15,86.79,85.64,1519656
86.15,86.85,87.0968,86.1,1305781
87.24,87.48,87.71,86.62,1273828
87.23,86.23,87.34,86.09,2094070
86.06,84.5,86.22,84.49,2302494
84.89,85.47,85.71,84.58,2339316
85.49,86.14,86.29,85.32,1370081
86.14,84.59,86.72,84.5,2016515
84.3335,85.79,86.07,84.3335,1755940
85.64,85.95,86.075,85.31,1279189
85.38,85.42,85.62,84.775,959247
85.03,85.31,85.91,85.02,1512006
85.14,83.95,85.16,83.8,2446403
84.52,83.51,84.99,83.31,2380875
83.25,85.64,85.78,83.25,1914020
85.79,85.58,86.15,85.145,1387178
85.63,85.2,85.65,84.4,1996287
85.23,84.5,85.4,84.21,1630587
84.82,86.48,86.75,84.82,2437394
86.05,86.02,87.17,85.97,2151494
85.78,91.52,91.8,85,4034590
91.43,91.64,91.99,89.26,3452151
91.93,92.58,92.85,91.21,2082837
92.94,92.5,93.03,91.965,1582485
92.5,93.24,93.57,92.25,1527319
93.37,92.39,93.67,92.03,1502938
92.18,91.7,92.712,91.48,1286179
91.71,91.26,92.45,91.16,871619
91.635,91.37,91.895,91.11,1498132
91.07,90.85,91.28,90.41,1505522
91.31,91.54,92.09,90.875,1962940
91.44,91.46,91.79,90.67,2237087
91.6,92.17,92.59,91.6,816762
92.54,92.1,92.97,91.87,805564
89.56,89.68,90.41,89.15,2188888
89.8,89.67,90.2,89.245,1148567
89.82,89.6,90.2,89.31,978258
89.92,89.38,90.03,89.29,1038093
89.51,89.55,89.58,88.66,1377572
89.51,89.83,90.101,89.03,1100998
89.77,89.8,90.5129,89.31,850379
89.76,90.61,90.77,89.68,1088628
90.81,89.98,91.21,89.69,1264910
89.77,89.05,89.77,88.85,1319080
89.31,89.77,89.97,88.955,1138719
89.35,89.44,89.66,88.92,1438437
89.83,88.87,90.06,88.59,919652
88.56,88.27,88.88,87.93,1535641
88.45,88.8,89.015,88,978369
89.22,89.7,89.89,88.84,1723901
89.71,88.98,89.72,88.85,1731080
89.06,88.3,89.28,88.03,1213398
88.17,89.19,89.485,88.15,1206462
89.14,89.07,89.69,88.79,1757154
89.44,90.07,90.5,89.315,2327432
90.03,89.83,90.9341,89.79,2680902
89.56,89.66,89.97,88.99,1072830
90.21,90.25,90.87,90.13,1245781
90.45,90.4,91.33,90.26,1186763
90.83,91.2,91.5,90.59,954578
91.08,91.56,91.79,90.77,994209
92.03,91.66,92.07,91.21,1425094
91.6,91.83,92.09,91.2,1273503
92.32,93.53,94.31,92.2,2455108
93.28,91.07,93.5,90.5673,1883265
91.21,91.95,92.94,91.21,1276455
91.64,91.49,92.5,90.73,916421
91.23,92.58,93.03,91.03,1426848
92.77,89.64,92.815,89.53,1340040
89.84,87,90.16,86.4,2322723
88.15,88.9,89.27,87.59,1490032
90.29,90.05,90.98,89.365,1814230
90.52,91.8,91.96,90.29,1524620
91.79,92.79,92.98,91.52,1463537
92.48,91.86,92.94,91.21,1130967
91.72,91.51,92.68,91.24,1108951
91.73,92.77,92.93,91.1635,1919171
91.3,91.46,92.38,89.91,2001669
91.38,88.76,92.41,88.61,2208757
88.96,90.47,91.12,88,1209744
89.42,88.87,90.06,87.75,1529996
89.8,89.67,91.265,88.44,1420205
89.25,90.18,91.045,89.04,1679136
91.19,90.21,91.49,90.07,2824846
93.77,94.25,96.57,91.955,3447340
94.36,92.74,95.3,91.64,1772366
93,92.73,93.27,90.5,2843355
92.79,92.77,93,91.78,1926243
93.49,95.18,95.46,93.49,2104175
94.86,94.9,95.895,94.52,1243903
