Stock, Predicted Gain, Predicted Price, Price
MMM, -2.196, 167.38, 171.14
ABT, -2.2, 110.63, 113.12
ABBV, -1.738, 109.12, 111.05
ABMD, -7.766, 322.76, 349.94
ACN, 0.594, 259.11, 257.58
ATVI, -5.426, 89.9, 95.06
ADBE, 0.093, 473.44, 473.01
AMD, 3.694, 93.89, 90.55
AAP, 2.548, 169.87, 165.65
AES, -4.752, 26.02, 27.32
A, -0.691, 126.21, 127.09
APD, 0.975, 286.44, 283.68
AKAM, -6.801, 103.26, 110.8
ALK, -5.322, 51.88, 54.8
ALB, 3.638, 182.34, 175.94
ARE, -2.763, 166.17, 170.89
ALXN, -0.662, 157.15, 158.2
ALGN, 1.387, 556.68, 549.06
ALLE, 2.779, 118.23, 115.03
LNT, -1.31, 49.13, 49.78
ALL, -1.585, 109.55, 111.32
GOOGL, -7.022, 1757.38, 1890.12
GOOG, -6.82, 1766.44, 1895.74
MO, -1.269, 41.29, 41.82
AMZN, -5.308, 3144.84, 3321.15
AMCR, 2.128, 11.46, 11.23
AEE, 3.801, 75.0, 72.26
AAL, -2.265, 15.39, 15.75
AEP, -2.731, 79.0, 81.22
AXP, -3.58, 122.38, 126.93
AIG, -1.981, 40.57, 41.39
AMT, -1.649, 217.08, 220.72
AWK, -2.274, 156.37, 160.01
AMP, -5.032, 202.72, 213.47
ABC, 2.65, 106.74, 103.98
AME, 2.621, 122.98, 119.84
AMGN, -5.9, 236.71, 251.55
APH, 1.301, 135.09, 133.35
ADI, -1.313, 156.59, 158.67
ANSS, -1.561, 366.33, 372.14
ANTM, 2.411, 331.81, 324.0
AON, -3.234, 204.75, 211.59
AOS, -2.104, 56.89, 58.11
APA, 4.285, 17.13, 16.43
AAPL, -5.075, 129.27, 136.19
AMAT, -8.421, 98.05, 107.07
APTV, 0.653, 145.2, 144.26
ADM, -1.832, 52.17, 53.15
ANET, -1.076, 307.18, 310.52
AJG, -0.69, 118.79, 119.62
AIZ, 0.064, 139.04, 138.96
T, 0.567, 29.06, 28.9
ATO, 0.502, 89.62, 89.17
ADSK, 3.012, 315.25, 306.03
ADP, 3.462, 166.71, 161.13
AZO, 0.709, 1249.65, 1240.85
AVB, -3.999, 158.31, 164.91
AVY, 0.782, 160.26, 159.02
BKR, 0.376, 22.41, 22.33
BLL, -1.02, 90.49, 91.42
BAC, 3.37, 32.9, 31.83
BK, 7.624, 45.55, 42.33
BAX, 1.325, 81.03, 79.97
BDX, -0.94, 259.1, 261.56
BRK.B, -0.996, 232.55, 234.89
BBY, -4.172, 110.56, 115.37
BIO, 4.25, 613.43, 588.42
BIIB, -2.167, 262.73, 268.55
BLK, 1.96, 756.63, 742.09
BA, 0.453, 208.2, 207.26
BKNG, 3.312, 2219.47, 2148.32
BWA, -7.074, 40.01, 43.06
BXP, -0.061, 91.39, 91.45
BSX, -3.933, 36.08, 37.56
BMY, 0.144, 64.19, 64.1
AVGO, -5.422, 441.49, 466.8
BR, 2.186, 154.58, 151.28
BF.B, 4.668, 76.28, 72.88
CHRW, -2.444, 96.47, 98.89
COG, -0.291, 18.01, 18.06
CDNS, -3.369, 134.01, 138.68
CPB, 0.046, 46.36, 46.34
COF, 3.571, 110.9, 107.08
CAH, 1.911, 55.81, 54.77
KMX, -14.07, 104.02, 121.05
CCL, -1.054, 20.39, 20.61
CARR, 4.221, 40.92, 39.27
CTLT, -5.011, 112.93, 118.89
CAT, 1.356, 195.01, 192.41
CBOE, 1.513, 97.65, 96.2
CBRE, -4.846, 61.88, 65.03
CDW, -3.171, 132.56, 136.9
CE, 4.426, 137.33, 131.51
CNC, 6.582, 67.19, 63.04
CNP, -3.096, 20.93, 21.6
CERN, -0.738, 79.09, 79.68
CF, 1.138, 43.96, 43.47
SCHW, 0.698, 59.06, 58.65
CHTR, -3.911, 625.58, 651.05
CVX, 0.048, 91.67, 91.63
CMG, -7.764, 1384.53, 1501.1
CB, -1.166, 155.93, 157.77
CHD, -0.188, 84.94, 85.1
CI, -3.9, 219.13, 228.03
CINF, 1.556, 90.2, 88.82
CTAS, 1.624, 338.04, 332.64
CSCO, -0.546, 44.75, 45.0
C, 5.671, 65.8, 62.27
CFG, 2.053, 39.87, 39.07
CTXS, 1.498, 130.65, 128.72
CLX, -0.627, 195.87, 197.11
CME, 5.671, 197.79, 187.18
CMS, -0.142, 57.92, 58.0
KO, 1.839, 49.82, 48.93
CTSH, -1.021, 80.4, 81.23
CL, 3.343, 82.05, 79.4
CMCSA, 3.026, 50.34, 48.87
CMA, -0.343, 62.5, 62.72
CAG, 0.719, 34.1, 33.86
CXO, -3.415, 63.68, 65.93
COP, 5.334, 45.64, 43.33
ED, 0.796, 69.76, 69.21
STZ, 0.048, 227.58, 227.47
COO, -2.72, 368.54, 378.85
CPRT, 2.687, 119.71, 116.58
GLW, -2.55, 37.22, 38.19
CTVA, 1.806, 43.24, 42.47
COST, 0.611, 365.23, 363.01
CCI, -3.776, 152.99, 158.99
CSX, 3.06, 94.41, 91.61
CMI, -6.071, 235.94, 251.2
CVS, 1.475, 75.12, 74.03
DHI, -10.474, 67.86, 75.8
DHR, 3.286, 241.11, 233.44
DRI, -0.173, 124.08, 124.3
DVA, 1.8, 121.61, 119.46
DE, -2.428, 296.0, 303.37
DAL, -1.523, 40.04, 40.66
XRAY, 1.09, 58.48, 57.85
DVN, 2.82, 18.81, 18.29
DXCM, -0.78, 367.59, 370.48
FANG, 0.755, 58.3, 57.86
DLR, -5.554, 132.88, 140.7
DFS, 3.323, 97.37, 94.24
DISCA, -4.378, 35.36, 36.98
DISCK, -6.357, 30.49, 32.56
DISH, 0.772, 32.49, 32.24
DG, 3.409, 215.43, 208.33
DLTR, 4.218, 112.34, 107.79
D, 1.005, 72.6, 71.88
DPZ, 0.749, 383.15, 380.31
DOW, 2.833, 59.15, 57.52
DTE, -1.906, 120.03, 122.36
DUK, 0.365, 90.53, 90.2
DRE, -3.15, 38.5, 39.76
DD, -0.065, 81.32, 81.38
DXC, -3.137, 28.58, 29.51
EMN, 1.435, 106.84, 105.33
ETN, 0.935, 126.84, 125.66
EBAY, -1.411, 54.72, 55.5
ECL, 2.982, 220.96, 214.56
EIX, 4.301, 62.19, 59.63
EW, 1.091, 88.6, 87.64
EA, -4.098, 139.38, 145.34
EMR, -2.04, 82.42, 84.14
ENPH, -1.527, 207.92, 211.15
ETR, 1.399, 95.25, 93.94
EOG, 4.375, 59.16, 56.68
EFX, 0.935, 181.32, 179.64
EQIX, -4.385, 685.66, 717.12
EQR, -3.768, 59.03, 61.34
ESS, -3.275, 233.97, 241.9
EL, -0.604, 256.76, 258.32
ETSY, -9.895, 192.83, 214.01
EVRG, 0.185, 53.41, 53.31
ES, 2.1, 88.86, 87.03
RE, 1.464, 237.57, 234.14
EXC, -1.681, 42.24, 42.97
EXPE, 2.926, 142.67, 138.62
EXPD, -0.216, 94.45, 94.66
EXR, -3.524, 110.54, 114.58
XOM, -2.42, 46.74, 47.9
FFIV, -5.039, 190.11, 200.2
FB, -5.614, 257.05, 272.34
FAST, 4.805, 50.55, 48.23
FRT, -2.095, 84.75, 86.56
FDX, -2.621, 248.24, 254.93
FIS, 0.488, 133.96, 133.31
FITB, 2.224, 31.25, 30.57
FE, -2.501, 30.47, 31.25
FRC, 4.275, 160.36, 153.79
FISV, 2.393, 111.91, 109.29
FLT, 0.72, 272.92, 270.97
FLIR, -2.228, 53.1, 54.31
FLS, -3.617, 37.16, 38.55
FMC, 4.42, 120.61, 115.5
F, -19.895, 9.36, 11.69
FTNT, -2.287, 146.42, 149.85
FTV, 1.641, 71.3, 70.15
FBHS, -4.958, 87.52, 92.09
FOXA, -1.54, 30.6, 31.08
FOX, -0.194, 29.92, 29.98
BEN, -2.522, 26.08, 26.76
FCX, 1.492, 30.67, 30.22
GPS, -5.049, 21.75, 22.91
GRMN, -2.699, 120.79, 124.15
IT, 3.632, 165.76, 159.96
GD, -0.017, 151.77, 151.8
GE, 2.828, 11.44, 11.13
GIS, 1.965, 56.17, 55.09
GM, -15.072, 47.17, 55.54
GPC, 2.334, 104.21, 101.83
GILD, -6.257, 62.81, 67.0
GL, 0.22, 96.31, 96.1
GPN, 5.177, 200.36, 190.5
GS, 1.719, 294.42, 289.45
GWW, 0.979, 394.96, 391.13
HAL, 5.791, 20.75, 19.61
HBI, -0.762, 15.51, 15.63
HIG, -0.661, 50.87, 51.21
HAS, -0.041, 96.96, 97.01
HCA, 1.686, 170.86, 168.03
PEAK, -2.956, 28.82, 29.7
HSIC, 3.713, 71.63, 69.07
HSY, 0.366, 149.85, 149.3
HES, 2.594, 61.08, 59.54
HPE, -1.502, 12.04, 12.22
HLT, 2.794, 111.76, 108.72
HFC, -8.05, 26.29, 28.59
HOLX, 3.447, 78.39, 75.78
HD, -2.98, 271.1, 279.43
HON, 1.45, 209.24, 206.25
HRL, -0.826, 44.75, 45.13
HST, -1.698, 14.52, 14.77
HWM, 4.923, 28.18, 26.86
HPQ, 1.516, 25.64, 25.26
HUM, 2.694, 425.37, 414.21
HBAN, 0.613, 14.63, 14.55
HII, 1.937, 170.46, 167.22
IEX, 4.728, 204.01, 194.8
IDXX, 0.507, 497.76, 495.25
INFO, -1.638, 87.55, 89.01
ITW, 1.784, 208.03, 204.39
ILMN, -7.52, 374.53, 404.99
INCY, -2.97, 90.58, 93.35
IR, 1.384, 46.61, 45.98
INTC, -8.446, 54.54, 59.57
ICE, 3.196, 116.97, 113.35
IBM, -1.65, 128.71, 130.88
IP, 0.101, 51.5, 51.45
IPG, -1.056, 24.52, 24.79
IFF, 2.975, 119.69, 116.24
INTU, -2.631, 369.23, 379.21
ISRG, 0.592, 804.32, 799.59
IVZ, -8.283, 19.29, 21.03
IPGP, -4.927, 239.8, 252.23
IQV, 0.481, 189.59, 188.68
IRM, -4.209, 28.69, 29.95
JKHY, 4.947, 161.23, 153.63
J, 1.984, 113.48, 111.27
JBHT, 0.249, 148.35, 147.98
SJM, 1.343, 114.48, 112.97
JNJ, -0.809, 159.99, 161.29
JCI, -2.96, 50.64, 52.19
JPM, 1.749, 137.27, 134.91
JNPR, -5.444, 23.91, 25.29
KSU, 0.787, 213.88, 212.21
K, 3.961, 59.77, 57.49
KEY, 0.772, 18.42, 18.27
KEYS, -1.416, 144.71, 146.79
KMB, 0.41, 131.54, 131.01
KIM, -5.179, 15.65, 16.5
KMI, -1.242, 14.92, 15.11
KLAC, -4.55, 287.9, 301.63
KHC, 0.434, 32.81, 32.67
KR, -3.462, 32.08, 33.24
LB, -1.085, 45.81, 46.31
LHX, 0.004, 183.98, 183.97
LH, -4.632, 218.02, 228.61
LRCX, -6.526, 522.09, 558.55
LW, -0.438, 76.57, 76.91
LVS, 3.075, 56.55, 54.86
LEG, -1.068, 44.41, 44.89
LDOS, -3.704, 104.93, 108.97
LEN, -10.669, 74.63, 83.55
LLY, -10.311, 179.46, 200.09
LNC, 0.871, 52.17, 51.72
LIN, 4.96, 266.86, 254.25
LYV, -1.27, 73.0, 73.94
LKQ, 1.619, 38.24, 37.63
LMT, 0.515, 341.83, 340.08
L, -0.151, 46.66, 46.73
LOW, -3.475, 167.2, 173.22
LUMN, -3.01, 10.79, 11.12
LYB, 5.563, 97.67, 92.53
MTB, 0.902, 145.46, 144.17
MRO, -3.129, 7.91, 8.17
MPC, -2.629, 44.06, 45.25
MKTX, 4.189, 534.21, 512.73
MAR, 1.24, 128.37, 126.8
MMC, -0.263, 112.83, 113.13
MLM, -0.918, 306.65, 309.5
MAS, -4.911, 55.22, 58.08
MA, 2.697, 343.72, 334.69
MKC, 2.555, 93.84, 91.51
MXIM, -1.348, 94.28, 95.57
MCD, -0.979, 211.89, 213.99
MCK, -0.141, 181.98, 182.24
MDT, 0.178, 118.28, 118.07
MRK, 3.194, 83.6, 81.02
MET, -2.804, 49.87, 51.31
MTD, -2.249, 1221.58, 1249.7
MGM, -2.861, 30.6, 31.5
MCHP, -2.07, 147.99, 151.12
MU, -5.14, 79.22, 83.51
MSFT, -4.095, 216.75, 226.01
MAA, -5.306, 125.27, 132.29
MHK, -3.865, 146.39, 152.28
TAP, 0.074, 50.71, 50.67
MDLZ, 2.929, 57.65, 56.01
MNST, 3.726, 92.75, 89.42
MCO, 0.855, 276.27, 273.93
MS, 1.074, 75.3, 74.5
MOS, -2.549, 27.54, 28.26
MSI, -0.041, 172.81, 172.88
MSCI, 4.701, 437.99, 418.32
NDAQ, -1.482, 139.51, 141.62
NTAP, 0.539, 65.18, 64.83
NFLX, -10.828, 510.2, 572.17
NWL, -4.094, 23.53, 24.53
NEM, 0.318, 62.62, 62.42
NWSA, -3.953, 18.6, 19.36
NWS, -3.637, 18.2, 18.89
NEE, -4.525, 80.79, 84.62
NLSN, -2.289, 21.37, 21.87
NKE, 1.593, 144.22, 141.96
NI, 1.088, 22.09, 21.85
NSC, 2.422, 252.76, 246.78
NTRS, 2.944, 97.88, 95.08
NOC, -1.426, 294.65, 298.92
NLOK, 0.727, 20.95, 20.8
NCLH, -2.857, 24.55, 25.27
NOV, 13.443, 15.16, 13.36
NRG, -3.336, 39.64, 41.01
NUE, 3.241, 56.49, 54.72
NVDA, -1.624, 535.78, 544.63
NVR, -9.443, 3963.62, 4377.0
ORLY, 1.785, 477.37, 469.0
OXY, -2.365, 21.15, 21.66
ODFL, -3.78, 201.29, 209.2
OMC, 1.459, 64.39, 63.46
OKE, -2.333, 41.65, 42.65
ORCL, 1.377, 62.45, 61.6
OTIS, 2.871, 65.93, 64.09
PCAR, -10.771, 88.44, 99.12
PKG, 2.133, 143.7, 140.7
PH, 0.719, 283.11, 281.09
PAYX, 2.584, 89.98, 87.71
PAYC, 3.26, 420.5, 407.23
PYPL, -4.909, 237.13, 249.37
PNR, -1.087, 56.7, 57.32
PBCT, 0.222, 14.19, 14.16
PEP, 2.105, 142.54, 139.6
PKI, 2.731, 155.1, 150.98
PRGO, 3.994, 44.96, 43.23
PFE, 2.486, 37.14, 36.24
PM, 0.957, 82.07, 81.29
PSX, -2.224, 71.3, 72.92
PNW, 1.424, 78.05, 76.96
PXD, 2.73, 130.65, 127.18
PNC, 3.541, 158.98, 153.54
POOL, 2.864, 376.99, 366.49
PPG, 5.293, 150.37, 142.82
PPL, 1.461, 28.04, 27.64
PFG, -1.734, 52.12, 53.05
PG, 4.742, 137.48, 131.26
PGR, -1.11, 94.14, 95.2
PLD, -4.324, 95.25, 99.56
PRU, -2.027, 81.52, 83.21
PEG, -1.681, 57.44, 58.42
PSA, -0.853, 220.61, 222.51
PHM, -10.677, 42.07, 47.11
PVH, 3.738, 103.4, 99.67
QRVO, -2.17, 179.79, 183.78
PWR, -1.984, 75.96, 77.5
QCOM, -5.008, 155.66, 163.87
DGX, -0.974, 124.71, 125.94
RL, 3.015, 111.11, 107.86
RJF, -0.668, 102.04, 102.73
RTX, 2.579, 69.98, 68.22
O, -0.744, 58.52, 58.96
REG, -3.452, 45.24, 46.86
REGN, -6.762, 498.19, 534.32
RF, 0.018, 17.8, 17.8
RSG, 0.434, 95.03, 94.62
RMD, -0.567, 215.52, 216.75
RHI, -6.695, 63.96, 68.55
ROK, -1.024, 262.69, 265.41
ROL, 7.399, 39.92, 37.17
